Time,12,12.1,12.2,6,6.1,6.2,6.3,3,3.1,3.2,1.5,1.5.2,1.5.1,0.75.2,0.75,0.75.3,0.75.1,0.38.2,0.38,0.38.1,0.38.3,0.19,0.094
27,0.1442796412401819,0.0010544832825747,0.2140792656656435,0.1420592248401868,0.2329475986738627,0.2451042114649274,,0.0812781786855558,0.1505924894592492,0.1177419958825179,0.1165115368951779,0.1109190069554545,0.0771902909522983,0.2204967685452816,0.0697246858950342,0.0003365730042379,0.000429421983085,0.1725133981833244,0.0780139067725998,0.0963458816146782,0.0003931857772268,0.1150693176729501,0.1119926190838685
30,0.1967490839818278,0.0174894603659297,0.2329778019625784,0.1684642804635287,0.2229270202269932,0.203939489655746,,0.0846780869391673,0.0875211858386364,0.1179726336125764,0.1208997870851302,0.0974093593448347,0.0342934871909098,0.2265380039473122,0.0759903273923645,0.000361670605107,0.0003688968502554,0.166941164056289,0.0769890084095398,0.0981233923270368,0.0003953696189009,0.119273081286253,0.0004227456100743
32,0.2474592560986677,0.0339244374492847,0.2550401048986224,0.1652513344950228,0.2129064417801236,0.0018939776775813,,0.071123897677924,0.0244498822180237,0.1117178293211342,0.1301890716258968,0.0638175673824675,0.0731363591684823,0.2140306690015058,0.083516520367392,0.036207813576287,0.031042784218797,0.1697986820895803,0.0759412239176229,0.0731006848241902,0.0004616263551083,0.1225543597743287,0.0135628689166905
35,0.2205115373902382,0.0009971607391591,0.2526233281063334,0.1620383885265169,0.2550472821757889,0.2305221041235543,,0.0803406532596361,0.1515932754864819,0.1171304778521215,0.1111668403406933,0.0429733030669901,0.0727867803991465,0.1620249180914802,0.0682412581043449,0.0005420346670957,0.0007575901804408,0.1840768664768331,0.0761973424073283,0.0679423361823018,0.0003333523553249,0.1421992737402419,0.0267029922233067
38,0.2147246268161474,0.0010024473815039,0.1543734302996457,0.158825442558011,0.238064221259238,0.2183190493137052,,0.0033158879360358,0.1635828190886009,0.1328353502545469,0.1095707774272701,0.0421926983541352,0.0687679862743,0.2117198655327063,0.087138155363248,0.0482471702244135,0.0004384298286029,0.1753800799381652,0.001188144507457,0.0724374052322857,0.0003364686465804,0.1243901047136987,0.0398431155299229
40,0.1057875609471935,0.001147163915431,0.2819650675699145,0.1759200703241181,0.2667537734810771,0.2129113177651807,0.0889966207937691,0.0704512179654982,0.1948558609825663,0.1391962908681672,0.1054611543374933,0.0083188632835404,0.0647491921494535,0.0224344647593729,0.076365689813356,0.0446867014094596,0.0033173113260159,0.166142860305345,0.0801773723853429,0.058396365408797,0.0003949578691791,0.1266124217845804,0.0319319370669057
43,0.2421882706794056,0.0172712728484034,0.1846612539063271,0.1729925823709484,0.0014271406094681,0.2210187039038935,0.0993583340517231,0.0676778911428954,0.1824857943371873,0.1624242132576949,0.0750727841268387,0.0013022957783721,0.0550563955236649,0.2123726650220659,0.0616679737784503,0.000862270149768,0.000412889099341,0.0030095154258769,0.0793581916850366,0.0674393892224795,0.0005108545234815,0.1252141171936961,0.0240207586038885
45,0.2219229693868638,0.0333953817813759,0.1775290639222167,0.1833579971711669,0.1699131015176197,0.0840676010972295,0.1181655444142273,0.0805621882520764,0.1998659782025206,0.1287844925348621,0.0745121603932907,0.0007619560396431,0.0585171646448255,0.0889888709500991,0.0691393757885388,0.0440631700606106,0.0006132199706421,0.1767422543072491,0.0785515397582398,0.0725100169201942,0.0004693141319795,0.1174567149352327,0.0161095801408713
48,0.1901431318192383,0.0328320057188457,0.1864516787334732,0.1581333550146399,0.1367080605448137,0.1752028414854389,0.1178028475087154,0.0984430319731511,0.174416128685784,0.1443129947803168,0.0739515366597426,0.0006715511871597,0.0609212269996271,0.1927258957922433,0.0796452731778466,0.0482552661537342,0.0004298705995929,0.1954307800980727,0.0853344628301044,0.0775806446179089,0.000409574843948,0.1332314725783219,0.0081984016778541
51,0.1887023733804607,0.0084687601480816,0.1856630878268417,0.1780694018866393,0.21555785261187,0.0856270845013522,0.1174401506032035,0.0777150287713346,0.0012364551478691,0.1337520012162713,0.0714285457438593,0.0025184339768915,0.0633252893544286,0.1808229021839472,0.0712178392397445,0.0472590798031766,0.0004911611326786,0.1775857529741207,0.0921173859019689,0.075471478253271,0.0004614676380336,0.1314826769932643,0.0002872232148368
