Time,20,20.1,20.2,10,10.1,10.2,5,5.1,5.2,2.5.2,2.5,2.5.3,2.5.1,1.25,1.25.2,1.25.1,0.63.1,0.63.3,0.63,0.63.2,0.31.3,0.31.2,0.31.1,0.31,0.16.3,0.16.2,0.16.1,0.16
27,0.0005876818272328,0.0010262085392774,0.0445869561105732,0.1059281605698548,0.1104685145343023,0.0004497840066322,0.1083525168776314,0.1231929558117274,0.042974997961288,0.1164694107068101,0.001665805632331,0.064796365601875,0.0471714034444543,0.1151462019213027,0.0653018165710948,0.0666926757198476,0.0923245662883658,0.0757259773417695,0.0006177272200165,0.0008498332417535,0.1345734879609347,0.1314451276356322,0.0560090443405813,0.050027137026784,0.122800828276009,0.1432320600569894,0.11007940236461,0.0395368319147605
30,0.0371539757691137,0.0011915399908489,0.0413455196171535,0.0527458965550356,0.0977488301130553,0.0005083451873183,0.1018604423510274,0.1363328504936747,0.0466712550175629,0.120773721462764,0.0812108191502509,0.0708630577209576,0.0435209604628751,0.107175286301022,0.070328282184617,0.0903361720151954,0.0889864815806849,0.0768366425302423,0.0329758696606969,0.000346162002633,0.1293945450637449,0.1264578643556107,0.0544730383786132,0.0508510777926688,0.1178278397381179,0.1202070382122804,0.1230435016143575,0.0429306262706929
32,0.0339171225858841,0.0035315793199414,0.0398603444482891,0.0896971467360313,0.1117747961364924,0.0004739969518442,0.1025619595971792,0.1299018760153325,0.0433308258593815,0.118044900470419,0.1566061628809513,0.0722362921916336,0.0434367685028254,0.1178226335134151,0.0717778730527576,0.0635904332439417,0.0114014810714986,0.0799322721105092,0.0005017790999482,0.0004052348959689,0.1589911092636304,0.1545406038134542,0.0506805045598705,0.05042587804125,0.1292788742053742,0.0898385466958233,0.1073518220721627,0.0408863944055343
35,0.036937352717251,0.0402886793283525,0.0424580401348337,0.1238427561988919,0.1064057150548502,0.0004396487163701,0.0453209891907888,0.1213690963533756,0.0517593363261611,0.1404216470262378,0.1057009232036189,0.0629237457415364,0.0419068483440564,0.138952849608831,0.0725009419190374,0.0240474437345553,0.091284471368734,0.0953329142309656,0.0201688562634903,0.0004001966390369,0.1503589062951349,0.1417460927545484,0.062264449843275,0.0518611190867151,0.1270707650860123,0.0833497777576656,0.1017796916278188,0.0190014306355385
38,0.02805974466168,0.0671966118633888,0.0508720819134211,0.1138460179636521,0.0956575716722784,0.0004313040255735,0.092788953788863,0.1228050094102592,0.0422135653738469,0.1213698576840671,0.1149492199340164,0.0038741381008239,0.0465555003130791,0.1180216559753161,0.0762896259948342,0.0696660596601185,0.0945781979375487,0.0929121716053396,0.0398359334270324,0.0003472834741221,0.1220998974656634,0.1283959944477469,0.05895144436562,0.0497928524820107,0.1322122223509044,0.0698976927171641,0.0621407681995641,0.0387032084063283
40,0.0022847061657126,0.0839913812794281,0.050558002431981,0.1009207449427678,0.0968064937156095,0.0004235082624489,0.0858754333745431,0.122726107478838,0.0443880026312067,0.1128247603049199,0.142586736533738,0.0662703150276498,0.0495425634173373,0.1243432280269592,0.0327623201629091,0.0613396108868826,0.1005492437304432,0.0736920616600611,0.0376966723685321,0.0002943703092074,0.1542163795182331,0.1263416007041748,0.0616296802261645,0.0439282112899067,0.1092174240940673,0.068034970281043,0.0964442886951726,0.0005580837023139
43,0.0369325277494961,0.0742376475958268,0.0559079707207625,0.1124986754494804,0.0909369114979428,0.0005736955536797,0.0460247489708209,0.1183935419653502,0.0026871030342245,0.1232428757139878,0.1445125814392848,0.0662222118733563,0.0440448324528843,0.1209392145137331,0.0660948076318436,0.0645540026034702,0.0958616484671886,0.036073371587851,0.0387180931447322,0.0004951631722616,0.1552198419497272,0.1198037299376109,0.0644300192216131,0.0471108879812599,0.1100675267196673,0.076918767589309,0.0963190909168017,0.0323352595575555
45,0.0368429793910169,0.0870971721894896,0.0598587345808932,0.0996018678947868,0.0870906792133538,0.0005193445519462,0.1085849552682,0.0022912470610847,0.0140731896770473,0.1098391183769629,0.1103755881592513,0.064419337341998,0.0425585340220109,0.1196833542694777,0.0658117036602197,0.0638721859968854,0.0731264768582914,0.0791561737424775,0.036430294852229,0.0584432901049836,0.1115987060966,0.1178544594613046,0.0716278085692015,0.0531294361906809,0.1028237188191503,0.0709121244055992,0.098526435072,0.0318709962756673
48,0.03511590944159,0.1031989461293029,0.0686201528526728,0.1002278203405552,0.1070844833372392,0.0004666026560172,0.0893394834279155,0.1097957008221862,0.0254592763198702,0.1029591333094906,0.1337870860774716,0.0706181650383345,0.0411546086452955,0.1396111100804767,0.0155427146882156,0.0686977639386277,0.0810783963731861,0.0797299685394381,0.0345011609883807,0.0006920595669805,0.1058031289189554,0.1091855107916026,0.0712832359129565,0.0507193645633084,0.0993076616906864,0.070417646047027,0.0892831106908933,0.0318119125909803
51,0.035238806975833,0.1159728844827603,0.0647820973593619,0.1008537727863235,0.0883186825220571,0.0007103851837456,0.087590616003582,0.1150444850092757,0.036845362962693,0.0990010276549852,0.134836837585462,0.0658132977203479,0.0406145452999964,0.1225443668079316,0.0612711102043536,0.026258419705028,0.0988321657532629,0.0777460156907754,0.0365803529537677,0.0426553526261412,0.135218685821106,0.1160342765392707,0.0343860238169835,0.0491578105382273,0.103727964948097,0.0825894665970957,0.0911622793251284,0.0409211434000682
