,10.0,5.0,5.0.1,5.0.2,2.5,2.5.1,2.5.2,1.25,1.25.1,0.63,0.63.1,0.63.2,0.31,0.31.1,0.31.2,0.31.3,0.16
59,68.8721482923279,55.80648646616048,46.62280267369698,62.05252006905096,47.76854883649862,39.58161980686216,41.248076458622194,31.247501160433583,51.01247782870399,55.768995413603264,53.30182020405879,26.729910999164836,6.5312172089829525,38.83025551280386,16.978615291017054,33.334175683464764,11.749473639863384
61,70.6225074454231,56.71785604204922,48.32061970748242,62.89991614844624,48.42665519268038,39.83633275672819,41.6947028537048,31.562148380755325,51.568063596949465,55.82022272656231,53.12490210676928,26.79131672515973,6.569253596509937,37.8230205075698,14.990569724654383,33.39624863177042,11.51678823299679
64,72.04269128413308,57.54661289204992,49.78862127591312,63.61611797321594,48.85840642801567,40.06263848002204,42.470855086504166,31.849539198212092,51.89859225284453,55.78938684636199,52.911974835385806,26.909889295544247,6.58832509677076,36.60631712793846,13.41649587475764,33.32290111565785,11.419144519460007
66,73.25190249284908,58.33333228214769,50.85833357902915,64.42028391329363,49.01927951332792,40.265310494856976,43.19849073169033,31.968732803663066,52.09730832112618,55.7222399693989,52.776386485286324,26.978181619182568,6.60378886002574,35.48643096769287,12.102758442131114,33.073466566664116,11.293730761363571
69,74.08856250605247,59.132170093659035,51.84194334783509,65.4450012103994,49.02501382215354,40.38486767371072,43.69798399412674,31.83468056276029,52.14017712163138,55.60937375482213,52.71700514286675,26.8717559403615,6.63476515177182,34.78005881401906,11.285604539180929,32.60343428529398,11.202134722037883
72,74.70540537820682,59.907381487215865,52.82985333431148,66.55031682088253,48.91264397950726,40.496073217982925,44.05896294838508,31.581236926630645,52.00762828612966,55.4019274314695,52.669451921959705,26.832449368219056,6.699572703675839,34.339226232261026,10.890051380890094,31.852787196002453,11.09724662666691
74,75.3486755601544,60.64849323320785,53.80128445200702,67.65515516977804,48.71771074394292,40.6024921865476,44.13926233224553,31.233121749988737,51.69738174902004,55.13742003194418,52.50950604899551,26.74370403891625,6.804929205051729,33.94402193870418,10.546991844470828,30.799058194051238,10.960553043753624
77,75.93489385348214,61.340336512901445,54.69168281959904,68.7938373144575,48.51745056374924,40.60570580932152,43.912226075112876,30.76940806717779,51.28743231991752,54.82172735318736,52.18668701115743,26.306149922987128,6.909613239937703,33.50233810844743,10.196401684319987,29.533152970785032,10.830916951297947
80,76.44435227314752,61.9017322318532,55.507633054614345,69.81835003071336,48.314180868161664,40.65024278760167,43.5279372362061,30.3273181490677,50.89913859478774,54.45686498578919,51.65364763550923,25.615982469778334,6.995776420151291,32.774005813423344,9.891242173898316,28.302271826163405,10.678227768720522
82,76.96859512627096,62.28692040464059,56.279398919944825,70.67677604046037,48.09153937573616,40.89626372446228,42.984494878888164,30.021093147949077,50.538564357345656,54.144067496376685,51.00493918163537,24.87939238699241,7.055101418143042,31.741060401719405,9.462764726399325,27.214493124950522,10.48770984452405
85,77.45978897757188,62.60854203504828,56.980258948046384,71.55734703730126,47.95575740780998,41.18905413735824,42.32975792441082,29.807031278660236,50.146044755557114,53.92903072515974,50.38959384997223,24.184353772914996,7.071426392221837,30.46823691181445,8.91962580463079,26.250933054469886,10.310997509533797
88,77.78183462950511,62.860053399444354,57.5771197432014,72.45225632336499,47.945003822517876,41.41143692408546,41.72962476766737,29.652277681684705,49.769139677822004,53.78471707708577,49.85227126782386,23.459414482991086,7.040508866153684,29.19929935169789,8.343580058565623,25.502079366402857,10.124251373615566
90,77.97730360276522,62.93339635309037,58.020482105608444,73.27684608656055,47.97430429169253,41.73075645691105,41.16779353473536,29.50803029598542,49.39305643040008,53.63774674993581,49.32398824759467,22.844698001932237,6.9855373404871335,28.062564351721363,7.750207376700749,25.14998215123037,9.92812915452949
93,78.17191704180813,63.01839617799696,58.46286756062535,74.11589180760028,48.00138578905763,42.050267339839394,40.592632097080944,29.366838706493,49.00426572308648,53.483297754901365,48.796188109505714,22.267628697211936,6.934225911418518,26.9477471800908,7.155870603707427,24.867883086616786,9.739541827861213
