Time,10,5,5.1,5.2,5.3,2.5.1,2.5,2.5.2,1.25,1.25.1,1.25.2,0.63,0.63.2,0.63.1,0.31,0.31.2,0.31.3,0.31.1,0.16.1,0.16.2,0.16
30,0.2450046666410487,0.1614116311370508,0.2434413289220695,0.0991343345353754,0.2701960991445175,0.0717803001403647,0.07363318712098,0.0474978826948144,0.2095424367761107,0.150948940496402,0.1248850319424152,0.1089154192143829,0.0828935932769717,0.0695904039554222,0.0575667478912667,0.0794103167254956,0.0633332290849834,0.0291125094785337,0.1267533379579798,0.1029596812087945,0.0004499407936801
32,0.2328796124853187,0.1318693062593254,0.2301981107801412,0.1420950353409238,0.2523957395368374,0.0742321720669169,0.0745747594811652,0.0401564960653282,0.2167233624626992,0.1690892596841696,0.1079298812544776,0.1363468698707957,0.0826773992333323,0.0805862856386179,0.0648614573991027,0.0767740380008691,0.0703235250186433,0.0166206480005622,0.1186428345206679,0.1040580201009975,0.0004445655561043
35,0.2560063270517329,0.1454016659357293,0.2269901972268844,0.0682247346343085,0.3098710341149731,0.0868505283630716,0.0713646913569262,0.0423828011440582,0.1774556060333853,0.1687392216750654,0.1085100270043517,0.1637783205272086,0.0826263733228873,0.0011548647983518,0.0683162033308471,0.0726353662075173,0.0569319558343938,0.0341848112528903,0.1340193708335027,0.1029765129639872,0.0004437542320063
38,0.2318526484589092,0.1334152255998087,0.2694332611616329,0.0617757517820224,0.3028575876167368,0.0900913578418004,0.0571976605697979,0.0476060267588027,0.2014432852888764,0.1748509532065688,0.1085717527306323,0.1444265919795414,0.084123687354738,0.0834224088544963,0.061391219537951,0.0678133253900486,0.0723699027458229,0.0400795270507629,0.1175244242402339,0.1064835123196598,0.0004429429079084
40,0.2521066236427263,0.136951871851031,0.2661460019041625,0.0553267689297362,0.2692804568521615,0.0959714412295581,0.0601208284682135,0.0463482378378066,0.1923877667610282,0.1663741899389927,0.1022716150135532,0.1411221961775681,0.0752337736162546,0.0812750223733961,0.0633521734028214,0.0665999870997745,0.0627278852769978,0.0185093362374319,0.1163851929726469,0.1096975054871685,0.0004555161401016
43,0.2216869641184121,0.1472072497411406,0.2306178688464048,,0.3130467021466289,0.0900038039693387,0.057393483242712,0.0555987306808066,0.2179321481880332,0.1671237747938043,0.0995527155838765,0.1371847593872501,0.07200984799413,0.0812339251944894,0.075240515515499,0.0697142247344263,0.0542821661885276,0.0357553869150771,0.13156858299982,0.1008802002105495,0.0004680893722949
45,0.2154867812861567,0.1250324882489899,0.2859517627026441,,0.2753452987224209,0.0835848797930193,0.0631000152512398,0.0516275126152179,0.1949895704641188,0.1661258573881795,0.0865323336556013,0.1589089435373975,0.080711117314393,0.0845659296311816,0.0712765750060751,0.0353650869237045,0.0632227727680372,0.0402462292621173,0.1192909714833977,0.1012295577564628,0.0128690120047848
48,0.245073245984359,0.1610827316581513,0.2269203752902701,,0.2457622384918388,0.0383011325914428,0.0515657810217823,0.0539225738714292,0.2134384969490727,0.1503700342646067,0.0747670985773847,0.0039904280449264,0.0828687201006915,0.000950247870028,0.0696138409320665,0.0010159491129827,0.0737941820292756,0.0386076383502741,0.1328608474710115,0.0988624414272778,0.000598133743535
51,0.1924643763635537,0.1515646695703706,0.2235179422391204,,0.2675289644422801,0.0822805535784367,0.0665535197440664,0.0270093470517132,0.1725471851398787,0.1862544967018279,0.0637274516875698,0.1919939698132473,0.0909586925163958,0.0696755130061921,0.0730058959074244,0.0596561367331467,0.0553405207730883,0.0392821836345112,0.1242424412199639,0.0494644757211926,0.0004345726261902
53,0.1732483265244198,0.1475337320758465,0.2331743524713655,,0.2391873791752546,0.0857718126828057,0.0677333136894679,0.0395715389327466,0.1864181841343577,0.1695041687865995,0.0680901516233986,0.1591882382703832,0.0867164670286073,0.0732027093794766,0.0801448089705726,0.0662190567006178,0.0615203930067726,0.0492337317729212,0.1132322195223158,0.1168049553860611,0.0005011291597807
