# Equation: Modified Hill (Simple) (Eq10)
# R(C,t) = R_0 + E_{max}(1-e^{-\kappa C^n (t/\tau)^m})
# Parameters: ['R0', 'Emax', 'kappa', 'tau', 'n', 'm']
#
Drug,Contractility,,,,,,,,,,,,,O2,,,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,Emax,kappa,tau,n,m,Cmax_used,R2,N_points,,R0,Emax,kappa,tau,n,m,Cmax_used,R2,N_points
Daunorubicin,false,true,most,0.1100541115064126,0.0894706537931821,0.0407942642292321,59.022409245406735,2.221406389113355,0.5000000000000001,0.24,0.7708889217008406,259,,9.832274943604489,70.6751592265949,0.1456805155554802,95.3326275279091,0.8229136764472968,1.1855167913205815,0.24,0.8366432957255832,259
Ibuprofen,false,true,most,0.0046288468337124,0.0032459616314661,0.3024432421266316,53.22602337077175,5.9999999999768,3.185461876417936,150.0,0.0783893470704252,648,,25.0,19.194792948925706,8.533818527163987,64.6715395622471,0.966438612656135,0.5000000000000001,150.0,-0.0873520359732644,648
Rosiglitazone,false,true,most,0.0037292574892966,2.3528201607826597e-12,1.0000052553509171e-06,95.99999989741016,0.5000000004879122,5.999999917469221,0.85,-6.661338147750939e-16,612,,25.0,19.79798109588347,2.5541168331909616,73.87795675724439,0.5000000000000001,0.5000000000000001,0.85,-0.0104812818915043,612
Vioxx,false,true,most,0.0038925459334612,2.2305939924227326e-10,1.0000000224042158e-06,95.95675903194598,0.500107442217102,5.957970648266559,0.66,-1.8429702208777602e-14,588,,24.99999999999053,7.26208976583196,999.9999980268713,0.0100000000000486,3.763198427165058,0.6799438854049542,0.66,0.1067647452389057,588
Mexiletine,true,false,most,0.071271400178259,0.0547232010850059,78.40565267543604,0.5363654726019916,5.999999999999999,0.5000000000006587,3.6,0.2894915007280891,272,,17.7219616449584,24.27733934398134,1.341831072955807,83.40112563655205,0.5057332442903774,0.8157987098793579,3.6,0.320290565565597,272
Amiodarone,true,true,less,0.0696843291205239,3.1559271030281425e-10,1.0550196663645071e-06,95.99999601510916,0.5000000003688025,5.999987907400582,2.8,-1.7763568394002505e-15,255,,20.01755879619233,43.514912344355686,0.0597000649369217,24.30343493373336,1.7409534990804396,1.367866535516968,2.8,0.7402366446149196,255
Chlorpromazine,true,true,less,0.096607782277228,1.3080957490610153e-12,1.0088749630690837e-06,95.9966197880036,0.5000193245036869,5.982177580575126,2.5,0.0,272,,19.19996761604186,43.26497537697193,0.0141318686017312,95.80846086808673,3.732433085672763,0.8725796477109553,2.5,0.7781510216499253,272
Gemcitibine,true,true,less,0.0747160237540559,0.0146496927946234,48.47100804856826,0.5962391150400289,5.999999961855449,0.5000000000000017,20.0,0.0573712551843855,264,,23.46062915492277,20.068241393400317,1.3949589358298136,26.832321249771383,5.9999999999999885,2.9317198047587563,20.0,0.2609714262483699,264
Nifedipine,true,true,less,0.0474567138294032,0.0286213653342766,110.45135954944725,0.0136589285421937,5.99999956710836,0.5000001458946044,0.39,0.1417874221724911,272,,19.416758094633828,51.92630323349412,0.0002649725280345,77.67261403853796,2.838083581062178,0.5000000000000001,0.39,0.6159370078274208,272
Vincristine,false,true,less,0.0702375074354019,0.0223002765754951,1.0000000000000002e-06,95.8783034807082,3.648477573519477,0.5000000000000007,0.063,0.1157135768848308,263,,18.35420540165196,99.9999999996954,1.0000000000000002e-06,96.0,2.4417846401773646,0.5000000000000001,0.063,0.5414430975013013,263
