# Equation: Gaussian Ridge (Eq5)
# R(C,t) = R_0 + A \exp(-(C-\mu_c)^2/(2\sigma_c^2))(1-e^{-\kappa(t/\tau)^m}) - B \exp(-(C-\mu_{tox})^2/(2\sigma_{tox}^2))(1-e^{-\lambda t})
# Parameters: ['R0', 'A', 'B', 'mu_c', 'sigma_c', 'mu_tox', 'sigma_tox', 'kappa', 'tau', 'm', 'lam']
#
Drug,Contractility,,,,,,,,,,,,,,,,,,O2,,,,,,,,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,A,B,mu_c,sigma_c,mu_tox,sigma_tox,kappa,tau,m,lam,Cmax_used,R2,N_points,,R0,A,B,mu_c,sigma_c,mu_tox,sigma_tox,kappa,tau,m,lam,Cmax_used,R2,N_points
Daunorubicin,false,true,most,0.1907055179220478,0.0443195051770595,0.0893305578752119,0.9516984963402262,0.0731967933915676,0.7018729108606268,2.0,13.684272097639658,74.9901226695585,1.1302844898930875,0.9999999999995892,0.24,0.6717650745956594,259,,25.0,21.101116215962417,20.65952010665665,2.0,1.301778496161304,1.774020231066105,1.9999999998581584,4.427080306057635,49.382696500054976,5.99999985619413,0.9999960881333256,0.24,0.1384081680460314,259
Ibuprofen,false,true,most,0.0046454651453419,0.332573688189262,0.3999998727495975,0.7700430151859029,0.1766035703440208,0.58231557590888,0.0996094056141851,23.244344303393213,52.655938992568665,0.9860797960905624,0.4656201025494269,150.0,0.128237697755367,648,,5.000000035628698,47.30228419487354,100.0,0.7881181109587697,1.040649821402627,0.1803321392482935,0.3567246337185399,55.33827071403135,8.552852144756606,0.1445142324620865,0.0019728200558804,150.0,0.5214285070419368,648
Rosiglitazone,false,true,most,0.0033242874017464,0.2460123680863019,0.0192162139796948,1.650925542931942,0.2055485788932791,1.5705268835774442,0.3901003185329268,27.18811235154975,2.2873260621438734,2.9415299804911847,0.0249115498562771,0.85,0.5040415565574434,612,,25.0,99.99990400545208,66.879652998622,2.0,2.0,1.6734697943207366,1.7356223120146252,0.963348391791856,48.4960831276613,0.5255050343398209,0.020501079745049,0.85,-5.676418388888165,612
Vioxx,false,true,most,0.0027183416452532,0.0046586180754015,0.0042635387478826,1.5074802077593656,1.7519927273539044,1.0505832324861732,0.8561554224509442,54.45797089251376,6.33766737913506,0.1519427844743793,0.078389912375601,0.66,0.1750074003364363,588,,25.0,72.30721824491452,99.99998714636304,0.9359497014594156,0.8874509930664997,0.8972874498087012,1.1575699468520064,1.4564570858270502,74.24536242012475,0.6477369049109221,0.0072878055660264,0.66,0.3434761865409262,588
Mexiletine,true,false,most,0.1357459503018288,0.3999999999999999,0.3593074949400046,1.1134145497976946,0.5129154188255861,1.306612520254666,0.8435148333344658,4.446604847410885,44.645809804227454,1.3816313341573887,0.0593299805448406,3.6,0.5526927226599794,272,,25.0,99.99999999999945,78.80484937684774,1.8018276172239496,0.561870763095964,1.390799753300744,0.0798470746472395,2.5717566411460178,54.65591539903195,1.7126074644710474,0.0418542569008452,3.6,0.3947670956725667,272
Amiodarone,true,true,less,6.292235867208363e-13,0.156969439756417,0.1275349796412661,0.3803726762526497,1.4828583583191697,0.5738854780520354,0.3880656612435922,8.347109851563378,48.26591555808884,0.7168328886308871,0.0789196556443568,2.8,0.8207978297148616,255,,23.65360798631559,99.99999999978893,89.03272198807413,1.824788838391417,1.999999999999996,1.2041746573687804,1.644115243974282,2.3282643492516444,58.34933717948065,1.4499908116266602,0.0359447622999807,2.8,0.7824152228937313,255
Chlorpromazine,true,true,less,0.0908612152104712,0.3999999999999771,0.3783669011718926,4.4001095730107555e-35,0.4521673038582305,0.2239362049116768,0.3070869038229842,61.06124352271237,3.5980066026629127,0.3237656406282577,0.8592337447387095,2.5,0.5516782210635782,272,,25.0,17.31497441791687,15.587741642014636,3.8275528577002534e-18,0.1146668382626663,6.101005210175251e-10,0.3591103328052882,30.792119941885066,56.47229310445062,4.189020615556297,1.0,2.5,0.0409282548981146,272
Gemcitibine,true,true,less,0.0828045844164687,0.0942341061599117,0.3999999999983393,0.5817006595101557,0.1702269195500504,0.55031574042674,0.2452340141166858,28.59076258622613,56.21653744079448,1.3736945126139806,0.0032903775471951,20.0,0.3249193523680967,264,,16.88671881812464,37.28085246902056,99.80065892182655,2.0,1.1147611575376153,1.9984129903600605,0.0112237137054726,5.372947075780192,35.75578417552297,5.999999999998178,0.0001028550129828,20.0,0.2900577499806068,264
Nifedipine,true,true,less,0.0652790779051682,0.3999999994082244,0.3999917319623063,0.4547844353859877,0.0651432492151213,1.998878912950236,0.030309968951677,99.99999969472452,0.1000000000136077,0.1000000000000073,0.0003366992897987,0.39,0.3938161842956859,272,,25.0,79.56314256196136,99.99999996471392,2.0,2.0,1.850310939917388,1.7446996876298977,5.559159968622397,92.3366211212573,1.703744658687949,0.027447656549255,0.39,0.201323919696558,272
Vincristine,false,true,less,0.0802276824377639,0.3999050247010869,0.3408336921609456,1.7445384012533531,0.5410491684146583,1.9999259033545849,1.1378340986349709,0.0191789862701204,34.19677121556885,0.9181295414647545,0.0010522855706528,0.063,0.0120047278076049,263,,24.88425622509049,67.53296822469147,99.99999950967889,2.0,1.690464840418732,0.700691494872503,1.9999999351971585,4.842114121396053,63.45926112939155,1.752512278337202,0.046362982407677,0.063,0.1282366325287248,263
