# Equation: Adaptive Response (Eq6)
# R(C,t) = R_0 + E_{max} C^n/(EC_{50}^n+C^n) \cdot e^{-t/\tau_{adapt}} (1-e^{-t/\tau_{onset}})
# Parameters: ['R0', 'Emax', 'EC50_norm', 'n', 'tau_onset', 'tau_adapt']
#
Drug,Contractility,,,,,,,,,,,,,O2,,,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,Emax,EC50_norm,n,tau_onset,tau_adapt,Cmax_used,R2,N_points,,R0,Emax,EC50_norm,n,tau_onset,tau_adapt,Cmax_used,R2,N_points
Daunorubicin,false,true,most,0.0975567265558622,0.1999999999999999,2.0,1.9583751528072968,20.58117139910639,96.0,0.24,0.7930384864880649,259,,8.112710429950537,99.99999999971229,1.9999999999988072,1.2101069724132765,50.13481767070165,95.99999999999989,0.24,0.544121022178069,259
Ibuprofen,false,true,most,0.0045866216758498,0.0112747664085142,0.8158015509880067,5.999999998590975,95.9999999997859,95.99999994583176,150.0,0.0703950375983761,648,,25.0,81.8947626650843,1.9999999999026443,0.2493380112426278,4.042403943267251,67.26414015996605,150.0,0.3117653596444931,648
Rosiglitazone,false,true,most,0.0030699775016262,0.0047058484652166,0.6154527016874454,5.99999999999664,3.780454588510888,20.72193894974166,0.85,0.1129170167581884,612,,25.0,67.77980373268477,1.9999999990727115,0.1630104953327822,17.581340603178692,96.0,0.85,-0.1369301819115886,612
Vioxx,false,true,most,0.0036229954502328,0.0023263516780399,0.0185610628738359,5.999994770061112,0.8172718416518492,16.739768520808965,0.66,0.0565675513494207,588,,25.0,66.80128671094853,0.028117626413974,5.999999999999999,36.01029976152663,28.57242025492191,0.66,0.2806970248817066,588
Mexiletine,true,false,most,0.0723941989569883,0.0906916581869731,0.3087256872464425,5.999999999999999,3.047663945302188,96.0,3.6,0.3077137469261445,272,,24.95771204044448,87.42599546540747,2.0,5.999999999999999,95.9999970191878,76.64991339080986,3.6,0.3193822286281704,272
Amiodarone,true,true,less,0.0626886280806841,0.0582758207674559,0.01,5.999999999999999,7.021712081197066,19.97420383044383,2.8,0.0481969980691896,255,,21.025300561196666,100.0,1.714972711360798,2.876313701838929,56.41707522737584,96.0,2.8,0.6472289924913689,255
Chlorpromazine,true,true,less,0.0861128649611568,0.0532431958342116,0.01,5.999999999999999,3.101900020274098,26.758089892563827,2.5,0.046100797073913,272,,18.173519477094768,99.99999999999972,2.0,3.497485281983746,45.010068471973646,96.0,2.5,0.6728895364686014,272
Gemcitibine,true,true,less,0.0738193794123438,0.1999999999999999,0.2638993561977837,5.999999999999999,19.802085448752347,17.870926802494647,20.0,0.1408935046015171,264,,23.51254761554244,99.99999996176386,0.6554815944138513,5.999999999999999,89.51983949064517,74.20532391488241,20.0,0.2432778451341141,264
Nifedipine,true,true,less,0.0524863297959254,0.03794616103346,0.2038052722144122,5.999999999999999,0.3373888959762625,95.99627301198556,0.39,0.1245646865792462,272,,12.717796129321933,100.0,2.0,0.9690500538236676,76.56574748427693,95.99999999999632,0.39,0.3404354871433087,272
Vincristine,false,true,less,0.0690345407249037,0.1493561754380412,2.0,0.3556494584297349,83.71015809270023,35.9762173386987,0.063,0.0142435075316554,263,,8.248478535283752,81.30972447830175,2.0,5.999999999999985,95.99999999994992,95.99999997642668,0.063,0.1212329367567039,263
Vorinostat,false,true,less,0.0567719380362469,0.0791066268324341,0.04919659113832,5.999999999999999,15.088985226468273,13.262058516148128,1.5,0.0581291534131804,296,,12.471080342204209,99.9999999999996,0.164952271742264,0.7217679022267949,85.09742902436533,96.0,1.5,0.3285905597764684,296
Dactinomycin,false,false,no,0.0660892635122118,0.0719302672035908,1.9999999999499356,0.4249107929738916,1.4775989709842714,38.29528801872976,0.034,0.098754454416733,272,,25.0,100.0,0.3736923453988938,1.367414243727344,48.57553852457428,96.0,0.034,0.5718193689164677,272
Erlotinib,false,false,no,0.0691460594054449,0.0497121503974644,1.633448804182123,5.999999999999999,95.99999944943464,95.99999999999817,0.65,0.0733685232350713,296,,13.48609006393078,100.0,1.5727864108376437,0.7467798499855193,56.63438179566993,96.0,0.65,0.4999887104987677,296
Etomoxir,false,false,no,0.0624230972854125,0.0238420931157584,0.013640128602471,5.95112534013477,1.2652657703736463,16.45821020330703,0.1,0.0112308237148697,272,,18.26381587713821,99.99999323110484,1.9999999999993776,0.4664051423505631,79.26848501375609,95.99999999998812,0.1,0.2227206107499825,272
Plicamycin,false,false,no,0.0429561174109621,0.0515576469921886,1.4177117796268377,5.999999999999998,2.0726391665246355,95.99987818246218,0.15,0.1030528990438702,272,,16.548131954076023,99.99999985305682,1.9999999997342228,0.7688159612092895,69.13497131666318,95.99999999999876,0.15,0.3706857967729333,272
