Drug,R0,Emax,mu_c,sigma_c,tau,m,E_tox,n,TC50_norm,tau_tox,Cmax_used,R2,N_points
Ibrutinib,0.11829184818683869,0.045462509535764146,0.2586694746054558,0.020911013427913513,41.57020972817847,2.2065500143389576,0.012005108411585506,0.10000000000000006,0.010000000000367045,95.95892327055668,0.53,0.0159600309030985,296
Ibuprofen,0.0047771824541964865,0.19999972284397272,1.1052709118386563,0.2038324658327548,3.015560433860491,1.5172880939160736,0.19999937583667174,3.3511350410825056,1.3079161370575407,4.400486901766194,150.0,0.13743963236541024,648
Isoproterenol,0.10123204961186362,0.053824529509566635,1.9176810882836306,1.9998971048550847,61.73641440021923,5.586939850680138,0.02753283041350613,0.7358314308765626,1.9999999999999998,84.71026811061633,0.013,0.014788127663407757,238
Mexiletine,0.1204593289289157,0.14474595393272663,1.0131535270067453,0.29958882504229695,7.760229155620646,1.8353314654009847,0.0687316479631023,5.999999999999999,0.05359019445765844,49.55824566355045,3.6,0.4003211737838517,272
Nifedipine,0.08208983667608727,0.08345971369277133,0.32690099450733917,0.011048591529457853,0.10000000000008223,0.10000000000000002,0.03359676723597742,0.10000000000000002,0.010000000000000047,29.378792821787396,0.39,0.4099134832008081,272
Panobinostat,0.12063441421613975,0.19999999994766351,0.7399883747999704,0.12393850978647428,0.10000000025201161,4.945161926982279,0.03376747984458392,0.10000000000000002,0.010000000000000002,95.99999999999999,0.063,0.14963464546031913,259
Plicamycin,0.07746472088605606,0.0785492936431843,1.9706020505497355,0.13254069359704007,0.10002278785114946,0.10000000003420603,0.02202491011837077,5.999349301177874,0.010917691665008618,50.80617936207068,0.15,0.11072733780431898,272
Rosiglitazone,0.004575351583277676,0.029655472649943986,1.040394698013299,0.07126161773290152,0.10000000000000002,0.10000000000000002,0.004143730214925123,5.999998362095968,0.3197260030177857,95.99999999999937,0.85,0.48806445226286443,612
Sotalol,0.11040625619558417,0.007921327138720412,0.44165344988927335,0.03937540275513762,0.10000000000000002,0.10000000000000002,0.06017490089481451,0.10000000000000002,0.010000000000000002,95.99997059605076,3.2,0.055725248099840474,272
Sunitinib,0.09977711091439054,0.1477562356081163,1.2528642878179845,0.3432618021361221,3.181939561517733,5.075540065430553,0.06895228790839135,5.999999999999999,0.24620905704630186,4.200590479714719,0.15,0.8388269765495215,296
Vandetanib,0.15306419911679534,0.1999999997480101,1.1708810722981982,0.2677793466003531,4.127249010871858,3.2200255936428555,0.07137908757094043,5.999999999999999,0.11085688792449523,14.141156221068808,1.2,0.7115594739477571,296
Vincristine,0.08176989318832611,1.7454488227637263e-05,0.03417570478331948,0.038369213971513466,89.75859470736096,0.186047980602478,0.008032742385859718,5.703914298118361,0.03013719483547678,95.99801597441238,0.063,0.0021025219550810936,263
