# Equation: Bivariate Gaussian (Eq2)
# R(C,t) = R_0 + A_1 G_1(C,t) + A_2 G_2(C,t)
# Parameters: ['R0', 'A1', 'A2', 'muC1', 'muT1', 'sigC1', 'sigT1', 'rho1', 'muC2', 'muT2', 'sigC2', 'sigT2', 'rho2']
#
Drug,Contractility,,,,,,,,,,,,,,,,,,,,O2,,,,,,,,,,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,A1,A2,muC1,muT1,sigC1,sigT1,rho1,muC2,muT2,sigC2,sigT2,rho2,Cmax_used,R2,N_points,,R0,A1,A2,muC1,muT1,sigC1,sigT1,rho1,muC2,muT2,sigC2,sigT2,rho2,Cmax_used,R2,N_points
Daunorubicin,false,true,most,0.1563070080437977,0.0006756050661638,0.0034049662722062,0.0205346573308813,24.44543994375637,0.0244376965163155,0.1789656031445829,-0.8736825275416069,0.2549734914599761,22.157208926100417,0.0277708098596861,0.381745941705327,0.8601623584682385,0.24,0.0,259,,25.0,0.1312404051027418,41.05036928170078,0.0317933653996095,85.89478282130712,0.1284313834810093,2.154025120303577,0.815547211052515,1.864748095429781,81.22589173207895,0.177487196819464,0.7963538515368945,0.8905052300753111,0.24,-0.0135181425879118,259
Ibuprofen,false,true,most,0.0045280542627396,0.1153078349358137,0.2284663383834335,1.8133634933081544,16.487350104177825,0.1782149530756327,4.911753244769003,0.8430305902899597,1.010152474186985,50.96173054945755,0.1160151297198388,17.978201359221057,0.3178027284532648,150.0,0.1256146728772138,648,,24.84486391841972,20.927068216222896,30.381511678347056,0.3380537942498582,20.845338297272622,0.3667126325113769,26.470528606798148,-0.029209696821889,1.0376210194501232,56.842225980978334,0.4221182798533744,96.0,-0.5295482944067356,150.0,0.5644434203659825,648
Rosiglitazone,false,true,most,0.003052679733117,0.0041271046036307,0.0459005457763537,2.0,2.1921393077084653e-17,2.0,12.797741149227662,0.5058690740241644,1.4132172741326847,0.0076787242669341,0.1554246220794191,95.99308927856256,0.3430847359124961,0.85,0.5408582472100947,612,,25.0,18.634721477571556,21.53276372417382,0.1381783034570873,13.77443340559232,0.0930175738816295,14.085547105868162,0.5161651682545781,2.0,40.78645900175041,2.0,68.64952544150418,0.2425903821524767,0.85,-5.801096841779219,612
Vioxx,false,true,most,0.003452918916833,0.0029014722263243,0.0341823515460318,1.6340781499492345,16.826684915950306,2.0,44.1167019495766,0.8781418408875883,1.6225436947639005,66.75750200415294,0.1314995724273827,54.00933552834052,0.7228305534284428,0.66,0.1227446939726976,588,,25.0,18.401534068321865,18.25446787154793,0.6512685179039341,25.752621092451907,0.5301573490196516,25.962954622625844,-0.1011239396312815,1.3803048255425674,53.15169286977855,0.5523352002330835,34.595216999625286,-0.7469609829462619,0.66,0.324201681625918,588
Mexiletine,true,false,most,0.0832020491041169,0.3999999999998307,0.0886235388128853,0.5379935440489233,41.17059608964498,0.0841986153894942,95.99999997247508,0.0963132633598333,1.3809395431543825,33.515159623689634,0.1185842689746796,44.22832219305469,-0.6914501088426601,3.6,0.3655208865541042,272,,24.470354006757795,26.770972286539784,22.25224932986504,0.7519731599936507,43.7645788079042,0.0598639344073114,35.66540144963011,-0.4717918378224942,2.0,96.0,2.0,71.82542257506725,-0.8999999999999999,3.6,0.3116755209743346,272
Amiodarone,true,true,less,0.01547950638792,0.0929236797923788,0.3999999999991654,3.2473361385145254e-35,43.181148215585466,0.3513968248483295,96.0,-0.5684826041004156,1.380337290162339,48.10267499409057,0.2368170968536867,96.0,-0.1723292106609539,2.8,0.8496281030015808,255,,25.0,99.94403394939827,99.98693590880924,0.1649511351267966,94.99451637486727,0.0759035133450705,0.8258176412551668,0.8999811862897875,1.3853252203396382,76.03285033409352,0.2244898379320311,20.51696600601028,0.058931763984061,2.8,0.1353505171555431,255
Chlorpromazine,true,true,less,0.0751391135553296,0.1436493450783343,0.3999999999999999,0.0715290438923719,4.088064459001422e-06,0.0199239134208732,95.99999999766209,-0.5987061353301938,1.4671660253689511,5.236378890699402,0.2438106557589785,41.22939719949434,-0.0267497873777884,2.5,0.8511957925964954,272,,25.0,0.0862824312868319,49.791099162236016,0.008409703405992,0.4755331878748814,0.0125765351976393,95.3809661330443,-0.899859810718287,1.8874351587183609,61.37840235131858,0.1820411448048178,1.2831500932107138,0.7821661266088064,2.5,-0.0345118749116044,272
Gemcitibine,true,true,less,0.0716413823713294,0.0642104781374066,0.2350631341959073,0.5509113290522001,19.787491651129063,0.2216647366855042,29.80118884812216,0.3310126164013902,1.917615438186565,91.80057775808145,0.1487602764099596,5.3246688787092005,-0.7748965418199116,20.0,0.2516959188035909,264,,14.156368552148574,36.918454340026,19.007588134926344,0.8804641306670562,58.36283793245614,0.3147411739713205,34.435323114278525,-0.3494924588376036,0.0358088060180061,62.90152930461556,0.0641464939358362,26.281537927697286,0.1430604496258934,20.0,0.4659845996124583,264
Nifedipine,true,true,less,0.0604407356184025,0.3999999999999999,0.1254353350487559,0.4543415185222741,43.14399153355088,0.0728689285384605,53.04999006712466,0.3021854956078005,1.832205177633848,46.50556952727199,0.4860458084951958,29.3174478708852,-0.899999999999994,0.39,0.687598204057436,272,,24.54438342559939,2.2968775425172714,21.407807949980374,1.910923418169978,95.98779733436947,0.0536720634190957,1.0056080528947668,-0.8431683039552254,1.426329331374418,47.89580551203546,0.1658079249077089,0.4287899844834896,-0.2065840366298147,0.39,0.0038630883555617,272
Vincristine,false,true,less,0.0785931018005006,0.2132868821795863,0.0207480093261724,1.0154889997209966,8.833677917037415,0.4892188763011538,0.7761958106783758,-0.4050747603038082,1.223525783240602,19.089729028786373,0.328141954203904,2.921500276138357,-0.5141684996403231,0.063,0.0004163261350157,263,,23.95046671656789,0.0136278704984491,6.295852604553264,0.0012230602803309,67.89742958778315,0.010705183288908,4.744605805167276,0.1546016459871536,0.9364351212666034,44.80579113005533,0.1320662886328203,2.2271780190981025,-0.0661313765584258,0.063,-1.0014211682118913e-13,263
