# Equation: PKPD Elimination (Eq11)
# R(C_0,t) = R_0 + E_{max}(1-e^{-\kappa (C_0 e^{-k_{elim}t})^n (t/\tau)^m})
# Parameters: ['R0', 'Emax', 'kappa', 'n', 'm', 'tau', 'k_elim']
#
Drug,Contractility,,,,,,,,,,,,,,O2,,,,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,Emax,kappa,n,m,tau,k_elim,Cmax_used,R2,N_points,,R0,Emax,kappa,n,m,tau,k_elim,Cmax_used,R2,N_points
Daunorubicin,false,true,most,0.1054798399908165,0.0967476135073991,0.8058480168459975,1.637432130990324,2.243915524502204,33.78916862931288,0.0332180229605795,0.24,0.8009290754198926,259,,10.826559320692336,63.70828769747873,1.0145055251888917,0.8984295617208985,3.473334645882282,56.20062233696039,0.0479821269834651,0.24,0.8533704974180558,259
Ibuprofen,false,true,most,0.0046215682269111,0.1999999998663852,0.1777098816710087,4.275799201185808,5.999999999999999,41.988749819839605,0.0219122463902487,150.0,0.0873331484760919,648,,25.0,28.112223760365985,8.433808468018123,0.2751287426877481,0.5185184980512797,63.79820279829792,0.1295884966937573,150.0,0.3406895306217582,648
Rosiglitazone,false,true,most,0.003043797265452,0.0019302338062504,24.13061885655413,0.1,0.1000000000000071,65.47718049510398,1.0,0.85,0.096256383012283,612,,25.0,45.84369229797213,0.6098365303566925,0.1000000000000038,0.2123818986475873,66.65243321485958,0.0582835066387058,0.85,0.2014751984262377,612
Vioxx,false,true,most,0.0036838420468374,0.0013225880192815,19.57895297690608,0.1605669598048122,0.1,45.88984835133848,0.9999772311993176,0.66,0.0448713332166774,588,,25.0,11.77266614807589,15.079750112862238,0.1000000004734767,1.6840649015159368,17.408009474646622,0.8622520263962306,0.66,0.1647705856099883,588
Mexiletine,true,false,most,0.0709432368758356,0.0552836345295785,99.99999999999922,5.999999999999999,0.4398750323541416,0.1,0.002258914964647,3.6,0.2937448588269943,272,,16.294685941265026,32.58809052027273,1.2173375721321955,0.3403410817487749,2.9098662532320145,24.89054124136089,0.1418669399461065,3.6,0.3477316257667856,272
Amiodarone,true,true,less,0.0647553414402564,0.0156961030491264,99.99999913717885,0.1476282391534124,0.1,0.1000000000612601,1.0,2.8,0.038100382712045,255,,19.955595099165397,44.02627534504795,1.4392413891653555,1.6773118809012335,2.3553033987462086,79.2977284108934,0.0117362510845253,2.8,0.741511559331214,255
Chlorpromazine,true,true,less,0.0888199692534469,0.0221107867878384,36.38049304197861,0.1000000000002439,0.1000000000017458,56.74357684526998,0.9999999999861244,2.5,0.0404834413932738,272,,19.27507699438041,43.4423830068813,0.0242569206703038,3.873025316215175,1.2725222193124317,82.15451041716074,0.003191802371934,2.5,0.7793206620837313,272
Gemcitibine,true,true,less,0.0727099740100441,0.0321635010682231,57.623989785876816,0.9389078947882958,2.503409309486903,11.635090412501746,0.1820511670446028,20.0,0.1259423360194667,264,,23.608384500980847,27.76195281138421,25.3272008353538,3.5134083568922536,5.999999999998449,28.05069727965732,0.034098022220561,20.0,0.2616773511376742,264
Nifedipine,true,true,less,0.0696022798817398,0.0142347598751826,99.99800187762636,0.2310450415327096,0.1,0.1000005720358684,1.0,0.39,0.0357346767384015,272,,19.07167344774891,99.9999999995925,0.0016500638260617,2.171059492171126,0.80076539259529,80.41705345256405,0.0050448083497421,0.39,0.6206809931820754,272
Vincristine,false,true,less,0.0697492469144728,0.0246137063938818,1.0000000065464705e-06,5.978625695708634,4.5991246244691455,95.99231467163249,0.0189064794993321,0.063,0.1503404415919985,263,,9.803032618866997,16.400766826059982,4.618773214160077,5.443629600889649,5.991839545677391,57.50269394601074,0.0202594884099557,0.063,0.1013528795833063,263
Vorinostat,false,true,less,0.0614400402637172,0.0018513831056511,0.0992181923983903,4.646847429179168,5.608215640274471,87.32971559974412,0.7744912219437823,1.5,-7.327471962526033e-15,296,,15.814779557751944,99.99999999985184,13.39219651805708,0.3824486796545016,5.999999989613419,55.59207159856874,0.2003496809985601,1.5,0.553237150641685,296
Dactinomycin,false,false,no,0.0675257146234863,0.028821262984644,3.089154190601016e-06,5.996794973356409,0.1832167159734083,81.85009850723674,0.0017856462666722,0.034,0.2268270508863581,272,,18.157741472357483,56.30879000547787,1.567243877453897,0.3290377605664042,1.5917975900406949,61.131499665642494,0.0187929060411529,0.034,0.9388936689050124,272
Erlotinib,false,false,no,0.0639198874461425,0.0133820448552289,12.595702235046796,3.185208688024278,3.237879570082291,2.383775628938664,0.0563639693937855,0.65,0.055548590187911,296,,13.816345379132414,99.99999999265172,1.1394134069413853,0.4153113967603776,2.6126457096740534,59.07766049474541,0.0831532199634039,0.65,0.7108125960450387,296
Etomoxir,false,false,no,0.062319430551792,0.024326195072241,1.0000000000000042e-06,4.456999577810833,4.832724839286574,96.0,0.0236484322902226,0.1,0.0344702958963888,272,,22.162402139593468,22.749919209756364,2.685983959373769,0.5178480260192784,4.895795818858317,33.01549150628264,0.1554595153986488,0.1,0.2778440377841977,272
Plicamycin,false,false,no,0.0534746213883415,0.0264651981874607,0.0002188870604898,5.997570053085488,0.913063651587764,95.99705515249724,0.0098380428722988,0.15,0.1174324564311325,272,,17.522643411777853,67.51684549369756,0.1114975001554558,0.5133440934607981,1.7693440643843623,54.82645731408999,0.0105114931152858,0.15,0.746246854473521,272
