# Equation: Dual Exponential (Eq1)
# R(C,t) = R_0 + A_b(1-e^{-k_b C^{n_b}})(1-e^{-t/\tau_b})^{m_b} - A_t(1-e^{-k_t C^{n_t}})(1-e^{-t/\tau_t})^{m_t}
# Parameters: ['R0', 'A_benefit', 'A_tox', 'kb', 'kt', 'tau_b', 'tau_t', 'nb', 'nt', 'mb', 'mt']
#
Drug,Contractility,,,,,,,,,,,,,,,,,,O2,,,,,,,,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,A_benefit,A_tox,kb,kt,tau_b,tau_t,nb,nt,mb,mt,Cmax_used,R2,N_points,,R0,A_benefit,A_tox,kb,kt,tau_b,tau_t,nb,nt,mb,mt,Cmax_used,R2,N_points
Daunorubicin,false,true,most,0.109779684032675,0.1909749461866371,0.1999999999999998,0.0598659382400085,0.1120792594542622,55.549721073111385,34.73167244905012,1.772978781488412,0.8550817281661488,0.6185223579329174,5.999999999952152,0.24,0.8766354987524366,259,,6.679612930851412,100.0,31.38855459487076,0.2015281904457876,0.0977041810460926,24.952510653800807,4.117188689243348,0.865541810526931,2.287068315235889,1.092972939194747,5.999999999999999,0.24,0.8846503311856548,259
Ibuprofen,false,true,most,0.0047154805178708,0.1999999964062924,0.199584184094272,27.993062615542065,100.0,20.811123536469456,21.61701912446341,4.80997123400198,5.85347412035808,5.999999999999999,5.745873681828281,150.0,0.1445745347181627,648,,25.0,99.99999999990888,76.06920793286841,1.7647759714354,27.039692744311907,15.907038531138818,56.27595481188711,0.1427595703978107,0.5127258877142574,0.4445907271152253,0.468593802312617,150.0,0.5173716247782909,648
Rosiglitazone,false,true,most,0.003887716296637,0.1979838721924805,0.1999669599880961,2.146312566066522,1.5764949294545558,14.604668461564357,19.53644726140274,5.999999999999999,5.312434103048961,0.1066034010987804,0.1,0.85,0.5135934264260749,612,,25.0,48.71429717703345,84.42573603927072,0.4847323767183967,96.09540260572462,95.9999999998406,95.99999988088474,0.1,0.4650095902799516,0.1120811026087586,5.999999894524832,0.85,0.2180828579649141,612
Vioxx,false,true,most,0.0046871902105204,0.1897439331447225,0.1907112695184686,25.983310517583,6.352776652110467,95.99902797685036,86.62526618393953,0.4574305377041944,0.1000000024154594,0.1000004073642032,0.105499677545511,0.66,0.16953177024607,588,,25.0,66.65487615032181,100.0,12.870549157233746,1.4593718019821549,18.835356328067,95.99999995126257,0.6148025756312626,0.1,0.4669515713976578,0.3790743035154774,0.66,0.4617142150676971,588
Mexiletine,true,false,most,0.1249146100139176,0.1777191230467487,0.1999999999999999,91.78148155692608,2.310580359146172,9.57712340844382,37.45216151683292,4.311789698585323,0.7303726737865651,0.3510277340301773,0.2092208941741802,3.6,0.5331971293104631,272,,22.538768695876943,99.99991890567976,79.27912383082283,0.5774885581828565,0.4386557431426313,11.788468534791988,6.78572916121522,2.7619650409550967,5.999999999999999,0.670768036695145,0.919419749774102,3.6,0.5385836388476853,272
Amiodarone,true,true,less,0.096275863882846,0.1131975649959148,0.1999999999999999,0.8831619870291428,0.5659206220128433,2.9764068439661537,14.779600220000464,5.999999999999283,1.1074757944732685,0.5111047809118,0.2183435192598243,2.8,0.6922334618889611,255,,10.63098243018946,100.0,24.858206598245168,0.7061898632321358,100.0,24.81264137965572,3.722856697170081,0.524250547986262,3.1883215926697286,0.8367906403340031,5.999999999983141,2.8,0.8243102311116484,255
Chlorpromazine,true,true,less,0.1867857114474221,0.0365237031348806,0.1485455347432839,4.575211818811758,99.99996803893332,1.9878870058673563,95.98662694195625,5.999999999999999,2.089061765312723,4.738215884562415,0.1535063867733193,2.5,0.5618236527080598,272,,18.44123444714852,100.0,44.66765391602097,0.0603472347074037,0.0109601406616631,63.95682873109419,0.9947063163839742,2.534820752483629,5.999999999999999,0.1761369239075005,5.212243024107617,2.5,0.7893170471132747,272
Gemcitibine,true,true,less,0.0865976007201661,0.058943146238342,0.1999999999999999,99.99999999994743,0.7730350106574991,2.2578989843506734,62.13482802288061,4.303584691835571,0.6368274526114239,5.577624967138811,0.8483926141433564,20.0,0.255384103286655,264,,17.20076613553143,99.99999914182368,56.44312281602306,1.6588558722201925,24.607404142860396,11.285766936775348,16.901700727620508,0.554291321706499,1.482447778170083,5.999999972475874,2.633944838645008,20.0,0.416540776537084,264
Nifedipine,true,true,less,0.0829057671216766,0.1832761877957059,0.1999999999999988,99.99999989727092,4.749128071624109,1.8349615613307648,12.215004521139326,3.0997666473878285,1.0761255822133449,0.9786158598832032,0.2114521675897109,0.39,0.5756243861736539,272,,22.254899491365887,100.0,3.297498512825099,0.000649422807677,91.36854367357952,17.755773363362454,0.1397361183676079,2.193175830405494,1.6949129513261876,0.928114325814773,0.1002612894017555,0.39,0.6207203473302434,272
Vincristine,false,true,less,0.0771971756276257,0.1598945245093443,0.1999999046396426,7.233779272679959e-05,0.0088909120269161,37.53916892731557,65.42393959440331,5.999894740720487,2.4414410591109315,1.052641275889228,0.8761596069134985,0.063,0.16930772992992,263,,5.000949566677295,99.99927294689115,76.65724157239555,0.0035514423635496,0.0038731127667066,14.378998937543884,7.623334230145208,5.756552956485484,4.896880817505994,0.5820465968466491,1.0168905730192297,0.063,0.1651912438364425,263
