Drug,R0,A_benefit,A_tox,kb,kt,tau_b,tau_t,nb,nt,mb,mt,Cmax_used,R2,N_points
Ibrutinib,16.860695051845983,99.99999999999999,49.31940891908352,0.38842954314257294,0.39598756061487805,11.261198921565253,5.277542603301896,0.5721517866423883,1.5028046532396289,2.4471450376597836,5.999960770835868,0.53,0.6232209853256326,296
Ibuprofen,24.999999999999996,99.99999999990888,76.06920793286841,1.7647759714353999,27.039692744311907,15.907038531138818,56.27595481188711,0.1427595703978107,0.5127258877142574,0.44459072711522535,0.46859380231261705,150.0,0.5173716247782909,648
Isoproterenol,18.18513221416667,37.1659861632119,52.117223031705734,21.214915697746008,0.3085530021885321,13.790115855129455,95.99977325835738,4.393246027759568,0.8658955769073314,4.858980177776138,0.6952146845871289,0.013,0.2030654198994426,238
Mexiletine,22.538768695876946,99.99991890567976,79.27912383082283,0.5774885581828565,0.4386557431426313,11.788468534791988,6.78572916121522,2.7619650409550967,5.999999999999999,0.670768036695145,0.9194197497741021,3.6,0.5385836388476853,272
Nifedipine,22.254899491365887,99.99999999999999,3.297498512825099,0.0006494228076770525,91.36854367357951,17.755773363362454,0.1397361183676079,2.193175830405494,1.6949129513261876,0.928114325814773,0.10026128940175551,0.39,0.6207203473302434,272
Panobinostat,11.344370060752835,99.99999997288548,15.477108887328972,0.6697057474027754,99.9999999857479,95.99999999580321,5.597672941148443,0.22012420677560826,3.953918218178764,0.7655396828094421,5.999999999999999,0.063,0.3606934098225115,259
Plicamycin,16.40749602220731,99.99999999999999,23.020491726546563,0.15105600410664244,0.04235416933149828,30.58063509874497,4.139541379881411,0.5476814563734523,1.3504874613111024,1.3740341084065641,5.9759161147263455,0.15,0.7591897656272639,272
Rosiglitazone,24.999999999999996,48.71429717703345,84.42573603927072,0.4847323767183967,96.09540260572462,95.9999999998406,95.99999988088474,0.10000000000000002,0.4650095902799516,0.11208110260875861,5.999999894524832,0.85,0.2180828579649141,612
Sotalol,24.999999999999996,99.99999999999788,81.88905184093795,2.173003894171781,6.072355504945831,8.264511897935787,6.009116656630902,1.65011774432645,2.359408960154403,1.4541823127200733,1.7652187679206344,3.2,0.5334703754268103,272
Sunitinib,13.279180841494384,99.9999997694514,40.13949474891347,0.7586274277506335,3.0099531283071776,31.693443380372894,7.04106439345418,0.4165383392590976,1.2406768687802485,0.9039009574877164,2.7464445212663753,0.15,0.631130122202152,296
Vandetanib,17.02755519381277,99.99999999999861,52.90878049279511,0.43482312762999165,0.021129140971002464,12.322710149472737,34.85553351845321,0.7210738054570116,5.129021499289357,5.999999992141843,1.7224096169606091,1.2,0.5963912483449432,296
Vincristine,5.000949566677295,99.99927294689115,76.65724157239555,0.0035514423635496614,0.0038731127667066836,14.378998937543885,7.6233342301452085,5.756552956485484,4.896880817505994,0.5820465968466491,1.0168905730192295,0.063,0.16519124383644257,263
Vioxx,24.999999999999996,66.65487615032181,99.99999999999999,12.870549157233746,1.4593718019821549,18.835356328067,95.99999995126257,0.6148025756312626,0.10000000000000002,0.4669515713976578,0.37907430351547744,0.66,0.46171421506769716,588
Vorinostat,14.846678402221553,99.99999999999999,31.290092700992503,0.5501409798420024,4.149586426879442,17.913046297228217,15.68251918305916,0.6099973039588052,5.999999999999999,5.999999999999999,5.385782428549806,1.5,0.6165229862010881,296
