# Equation: Recovery Model (Eq9)
# R(C,t) = R_0 - E_{damage}(1-e^{-k_{damage} C t}) \cdot e^{-k_{recovery} t}
# Parameters: ['R0', 'E_damage', 'k_damage', 'k_recovery']
#
Drug,Contractility,,,,,,,,,,,O2,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,E_damage,k_damage,k_recovery,Cmax_used,R2,N_points,,R0,E_damage,k_damage,k_recovery,Cmax_used,R2,N_points
Vioxx,false,true,most,0.0041385786811105,0.0031059022013689,0.0007427519260975,1.0000000078318851e-06,0.66,0.0502285774965792,588,,25.0,6.849240295717203e-10,1.0011537457934802e-06,0.999999999978537,0.66,-0.4866178029588996,588
Mexiletine,true,false,most,0.1026823642605136,5.90399905625995e-08,1.000121432696399e-06,0.7197853683547536,3.6,-2.153832667772804e-14,272,,25.0,11.591272442143168,9.999999999999565,0.0997872283301274,3.6,-0.0888405239024539,272
Amiodarone,true,true,less,0.1189725296316862,0.065977702517639,0.1163916677888479,1.000000494605108e-06,2.8,0.3482380613414003,255,,24.99999999999997,14.373229312817978,9.999990296190584,0.0739966951605404,2.8,0.01421357865496,255
Chlorpromazine,true,true,less,0.1613644711388272,0.0774958182720983,0.1992843414792976,1.0000007685392076e-06,2.5,0.238201695605452,272,,25.0,8.406022405955879,9.99999999998101,0.1509672274114349,2.5,-0.039709894310097,272
Gemcitibine,true,true,less,0.0785373607948418,1.5576973934496418e-10,1.0002214327412163e-06,0.9999999991765146,20.0,0.0,264,,24.999999999999996,15.188077547317626,9.999999981493715,0.0814736647646605,20.0,0.0485992893588862,264
Nifedipine,true,true,less,0.076558775022611,0.0193381084643669,0.0014543889630208,1.000000000019928e-06,0.39,0.0431719521249867,272,,24.999999923239265,11.872174051471422,9.999999981951133,0.0622669757443178,0.39,0.0264542726985115,272
Vincristine,false,true,less,0.0788820799327367,0.0107719043631484,0.0490978079445393,0.2861273576966333,0.063,0.0009530023740853,263,,25.0,11.391811955662464,0.4461533282592664,0.0524458199978411,0.063,0.0323745631582123,263
Vorinostat,false,true,less,0.0764317260582417,0.1372148619279645,0.0042661714243934,0.0109999899967362,1.5,0.5209816703184053,296,,24.99999999965274,17.72087792442902,9.999999999999998,0.064231166885899,1.5,0.0626757830358211,296
Dactinomycin,false,false,no,0.0779870229510984,7.961928848239684e-10,1.0009507476909946e-06,0.999999678419256,0.034,-1.9984014443252818e-15,272,,25.0,29.430839879304763,9.999999999915364,0.8380919170869806,0.034,-3.1415014964940005,272
Erlotinib,false,false,no,0.0785467791437504,0.1999999999999999,0.0005875625263154,0.0447436951233276,0.65,0.0884876643813267,296,,25.0,18.98214757940053,1.912970708910484,0.0957772523561273,0.65,-0.0490802617732408,296
Etomoxir,false,false,no,0.1087064190823568,0.0539832353832676,0.0064911792863951,4.831620864064563e-05,0.1,0.1798389226359946,272,,25.0,1.536999718697836,9.999999999,0.2004278597391803,0.1,-0.5510826886145548,272
Plicamycin,false,false,no,0.0687406417471369,3.232849159633174e-16,1.1896111573132744e-06,0.9999610218941244,0.15,1.1102230246251563e-16,272,,25.0,14.273353362688626,0.5509456709815668,0.1174771575155558,0.15,-0.3577014023425064,272
