Equation,Target,Model,Accuracy,AUC,N_samples,N_features,Confusion_Matrix
recovery_model,Arrhythmia,SVM_RBF,0.6,0.6948051948051948,25,8,"[[4, 7], [3, 11]]"
recovery_model,Arrhythmia,RandomForest,0.52,0.6623376623376623,25,8,"[[4, 7], [5, 9]]"
recovery_model,Arrhythmia,GaussianNB,0.48,0.6688311688311688,25,8,"[[11, 0], [13, 1]]"
recovery_model,heart_damage,XGBoost,0.32,0.24999999999999997,25,8,"[[0, 5], [12, 8]]"
recovery_model,heart_damage,SVM_RBF,0.4,0.09999999999999999,25,8,"[[0, 5], [10, 10]]"
recovery_model,heart_damage,RandomForest,0.72,0.2,25,8,"[[0, 5], [2, 18]]"
recovery_model,heart_damage,GaussianNB,0.36,0.31999999999999995,25,8,"[[2, 3], [13, 7]]"
recovery_model,Concern_Binary,XGBoost,0.56,0.6,25,8,"[[5, 5], [6, 9]]"
recovery_model,Concern_Binary,SVM_RBF,0.72,0.6933333333333334,25,8,"[[6, 4], [3, 12]]"
recovery_model,Concern_Binary,RandomForest,0.6,0.5866666666666667,25,8,"[[3, 7], [3, 12]]"
recovery_model,Concern_Binary,GaussianNB,0.44,0.3933333333333333,25,8,"[[8, 2], [12, 3]]"
modified_hill_simple,Arrhythmia,XGBoost,0.68,0.7207792207792209,25,12,"[[8, 3], [5, 9]]"
modified_hill_simple,Arrhythmia,SVM_RBF,0.64,0.6753246753246753,25,12,"[[8, 3], [6, 8]]"
modified_hill_simple,Arrhythmia,RandomForest,0.76,0.7272727272727273,25,12,"[[8, 3], [3, 11]]"
modified_hill_simple,Arrhythmia,GaussianNB,0.68,0.6038961038961039,25,12,"[[8, 3], [5, 9]]"
modified_hill_simple,heart_damage,XGBoost,0.52,0.47000000000000003,25,12,"[[2, 3], [9, 11]]"
modified_hill_simple,heart_damage,SVM_RBF,0.72,0.85,25,12,"[[4, 1], [6, 14]]"
modified_hill_simple,heart_damage,RandomForest,0.76,0.71,25,12,"[[0, 5], [1, 19]]"
modified_hill_simple,heart_damage,GaussianNB,0.72,0.58,25,12,"[[1, 4], [3, 17]]"
modified_hill_simple,Concern_Binary,XGBoost,0.68,0.6,25,12,"[[5, 5], [3, 12]]"
modified_hill_simple,Concern_Binary,SVM_RBF,0.64,0.7066666666666667,25,12,"[[8, 2], [7, 8]]"
modified_hill_simple,Concern_Binary,RandomForest,0.72,0.7,25,12,"[[6, 4], [3, 12]]"
modified_hill_simple,Concern_Binary,GaussianNB,0.76,0.8066666666666666,25,12,"[[8, 2], [4, 11]]"
pkpd_elimination,Arrhythmia,XGBoost,0.72,0.7792207792207793,25,14,"[[8, 3], [4, 10]]"
pkpd_elimination,Arrhythmia,SVM_RBF,0.52,0.564935064935065,25,14,"[[6, 5], [7, 7]]"
pkpd_elimination,Arrhythmia,RandomForest,0.76,0.7954545454545454,25,14,"[[8, 3], [3, 11]]"
pkpd_elimination,Arrhythmia,GaussianNB,0.6,0.5844155844155844,25,14,"[[6, 5], [5, 9]]"
pkpd_elimination,heart_damage,XGBoost,0.6,0.45,25,14,"[[1, 4], [6, 14]]"
pkpd_elimination,heart_damage,SVM_RBF,0.8,0.75,25,14,"[[2, 3], [2, 18]]"
pkpd_elimination,heart_damage,RandomForest,0.76,0.58,25,14,"[[0, 5], [1, 19]]"
pkpd_elimination,heart_damage,GaussianNB,0.8,0.8150000000000002,25,14,"[[2, 3], [2, 18]]"
pkpd_elimination,Concern_Binary,XGBoost,0.6,0.5133333333333334,25,14,"[[4, 6], [4, 11]]"
pkpd_elimination,Concern_Binary,SVM_RBF,0.72,0.7,25,14,"[[6, 4], [3, 12]]"
pkpd_elimination,Concern_Binary,RandomForest,0.68,0.76,25,14,"[[5, 5], [3, 12]]"
pkpd_elimination,Concern_Binary,GaussianNB,0.76,0.8866666666666667,25,14,"[[6, 4], [2, 13]]"
