Time(h) / Well,8.0,4.0,4.0.1,4.0.2,4.0.3,2.0,2.0.1,2.0.2,1.0,1.0.1,0.5,0.5.1,0.5.2,0.5.3,0.25,0.25.1,0.25.2,0.125,0.125.1,0.125.2,0.125.3
27,52.807235144016246,27.980590920493306,29.755399999999998,18.287000000000003,35.46547757679168,24.608978534762162,13.08760692664269,20.462792282762198,17.33192598745572,4.153351450906348,10.384770313710467,7.006784337125164,15.571930640765462,5.829080762822054,6.098911004780297,3.560228205320743,7.9399292586987515,4.40606061230664,11.267415763620638,10.363091657228377,5.249584275565465
30,53.561567161077306,31.951279558420303,33.3963031306712,22.4034,39.01334937350348,26.73600181643553,15.1317920026497,20.932000000000013,18.291190667415364,4.392367260458046,11.089569352582833,7.057423521574462,17.2016513529416,8.821345986192004,6.64559117426947,4.092765122544864,9.42093797461642,5.425738150526911,13.028200954019988,12.047337105885962,5.292417725959222
32,54.235444353797185,35.37397093472217,37.42753968923561,26.91692499999999,43.00622400618099,28.813682530041635,17.115684989408084,30.46850000000002,19.179404502739903,4.5661277285502795,11.889972630749421,7.204377421720798,18.69490340113352,11.63642112313669,7.472136663522729,5.358693421289246,12.132137082751296,5.6941344181917355,15.340909174962306,14.038392034329409,5.363992096291136
35,54.90986439395054,38.533197930122995,41.58088311562384,31.095552813857005,44.98657957889438,30.954972934247465,18.955465747155483,32.916354284212915,19.97637517628992,4.628181675580694,12.843501652949712,8.274729033646883,20.047949165371172,14.26466394309685,9.013505521074455,7.341561120251798,15.25656094096897,5.885209410268275,18.035173972295205,16.327640616362952,5.5228016142546075
38,55.380672542968846,41.43152498203139,46.05938195431177,35.269022949907715,46.66981561253334,33.1241658085141,20.68110552897959,36.65179307598986,20.674631062208135,4.62500891153149,13.938356021759477,11.450290440257604,21.283423992867565,16.11430000000001,11.11177437672857,9.996415404101805,18.79887996206606,6.150515732574395,21.226933602112585,18.19488245640064,5.767768919350148
40,55.67286822954063,43.91636166911336,48.007260648555636,40.48954271323404,48.13041515256345,35.238393374443795,22.274753339835254,40.60706130412349,21.323869335036594,4.6533599309062215,15.101714503117604,14.794446288766984,22.405492254130085,22.522200000000016,13.461207288143509,13.910391529183444,23.01097507574814,6.264441132963247,24.756631601609648,19.60825108432667,6.075745597798991
43,55.78890172200302,46.28461444301141,49.896657777352765,41.49769377067971,49.44570314289981,37.29329517379074,23.687095920945087,44.859164869932016,21.92138914547769,4.768271437914065,16.337207558130483,17.890608140278847,23.31187972399231,20.437660591352817,16.263511584214818,16.344030794976987,27.05326001488949,6.07410662910092,27.45911616539413,20.94735385013139,6.502074776054638
45,55.70637217190632,48.65137218389888,51.760487935962786,42.486827600916165,50.64931390808486,39.22126111677011,25.016426439470244,45.286236204552885,22.501101072328282,4.997680042008826,17.524919579743354,21.520884044518848,24.05015970455493,20.172464114607592,19.295664396109725,18.050864822549702,27.168935491902523,6.00262861728823,29.84922710663978,21.932646106128917,7.020014374649264
48,55.69461942164964,50.895982978188655,53.57719529513164,43.472169004766,51.868991909987614,40.920720013951055,26.304062731611562,45.67206582044899,23.087394612065697,5.365223816603471,18.4899556303495,25.626067805917668,24.592780436847768,20.16463342794538,21.917395371803575,20.06049984716031,27.845059517507174,6.0070690636962345,32.356520892668605,22.28362225865201,7.566596763955622
51,55.95886246937814,52.865105016781634,55.33044755108426,44.422456915862945,53.10680456620196,42.42573741100203,27.489369309667094,46.08480558015559,23.704703121603664,6.524995416604055,19.283155491670268,28.937932476610072,24.867908640549548,19.508119404962923,24.07126089480606,23.611597541376053,28.55663013054103,6.063128827543973,35.847417674343866,22.256244208101215,8.146754528942537
53,56.556312891071045,54.56132264661268,57.03628351111779,45.296382023911214,54.3320667033795,43.76203699410726,28.567864519203543,46.539211602373214,24.28125273887354,8.165327905171075,19.96250298437787,31.040964717529647,24.904299057052707,18.245020989431676,25.715858871688628,18.54603899245517,29.382227158701767,6.220808437025141,35.20688114195469,22.074417866178297,8.770058141489974
56,57.61065098632808,55.966783686530015,58.58985609210573,46.10708479650692,55.47770914413163,44.8814045533805,29.525059437553256,47.06784300505126,24.654519568597664,9.83158069297525,20.563353062730247,32.628524229340705,24.771731899740416,17.317883483070354,26.742117162905338,15.07298217463952,27.553865778473316,6.34902842971597,34.63355073201753,21.691869321902043,8.875428180822993
59,59.1097601421509,57.08458289156982,59.92111999405225,46.88159444899953,56.416206110766836,45.804710227014915,30.34664796607849,47.57590970487092,24.950923630204006,11.595049456151402,21.166787837088364,33.85335732661333,24.492374671504777,16.627689424032233,27.172929035434095,12.747757513725599,26.119571925630527,6.38660281295442,33.935271017967935,21.166580542686216,8.83782239175814
61,60.82206110989361,57.964076786042206,61.10802601223994,47.59738148950476,57.15284861210613,46.587072375763036,31.00986460684133,47.98383653362796,25.146082652627815,13.842220022497788,21.76235011260761,34.534048589324925,24.12018286785299,16.071686773793846,27.061097494322052,11.475476180018367,25.206623140264785,6.36801624337236,33.17571633000431,20.5589262920854,8.802360279754264
64,62.64346261287265,58.65433895874225,62.16685856911983,48.317477334082504,57.79255404209011,47.24261910270984,31.568403360086336,48.31619965745437,25.205719148214342,16.281611954587873,22.285161625335302,34.59628538657723,23.774297201245655,15.577699634881425,26.57547156806347,11.596557131060218,24.45468413883794,6.323835011552825,32.52766137177043,19.876747525753395,8.683619614419339
66,64.54656554675745,59.19674433733524,63.03487004591218,49.08329379016651,58.44333593561265,47.77798331999412,32.016729566439714,48.56092896203103,25.209607767784593,18.54318714191452,22.751776234109798,34.38940120705027,23.491868662226537,15.102095059246121,25.87210198365214,12.843500090324667,23.57959753530306,6.252198055444492,31.76977598571417,19.174115489657797,8.458640957512277
69,66.32636126875298,59.7156597380884,63.8078103159694,49.79426819284949,59.07937954145547,48.21858540616064,32.3799066068093,48.69957563438696,25.194419012343765,19.82755515181126,23.059552133710017,34.07569502741311,23.36380586682399,14.5197635673627,25.02211774082841,14.694321049778157,22.51372899068856,6.199821980932797,30.90639045066908,18.480038941849983,8.240393686720084
72,67.8555842462732,60.24016318439408,64.52072804315068,50.43647005443907,59.724794206835774,48.60299060195766,32.63959130401756,48.84569556407634,25.14661234742489,20.926517894826294,23.148111698866693,33.603447942767744,23.443027418771585,13.821080477706799,24.053502224253588,16.877450667957405,21.05165148593938,6.18083090174976,29.96139473938073,17.714403063415105,8.003010084157616
74,69.25438331705709,60.8565847925977,65.20295510624096,51.02974135438312,60.35833719240502,48.90481665027729,32.81959704384042,49.04531666327627,25.055286020516064,21.652063313804128,23.151615910996046,33.09224404095532,23.600629294175505,13.170060138351872,22.917950341837074,17.75799320137019,19.190443792729162,6.0901440717869075,28.92920289494097,16.848337663016835,7.771212072200361
77,70.57362771870274,61.594599398886366,65.89822435447161,51.38062014340728,61.02070019126803,49.0750933387839,32.951293012814986,49.25023131609497,24.887942898167836,21.814822747725948,23.20890923685196,32.63132040520323,23.61952022348719,12.604575007862735,21.57913317852072,16.890515478810126,17.30264283739667,5.841011376993186,27.880035150653626,15.940508428276523,7.552579493338853
80,71.75170899192236,62.36177622588924,66.58902746200006,51.51433037711764,61.616618312381625,49.17461411326123,33.048195277716886,49.474126709203524,24.635693196503865,21.721572121726506,23.291904537741583,32.23914735075828,23.50096452083012,12.14115509587889,19.999717787837824,15.92506676933512,15.701429829996995,5.509213773931238,26.937101646625504,15.074859760755585,7.433482067052132
82,72.90327964283284,63.032492230521214,67.30681083744543,51.625117856559946,62.076928682760744,49.232783885762636,33.09086352634641,49.79947142620427,24.34718311928494,21.37231782433783,23.571758830157314,31.978472201401125,23.18629220435868,11.793917115599628,18.364699169019335,14.631087468606964,14.46270561921435,5.11742073632431,26.207489937492376,14.370621313450966,7.406672410617152
85,74.05031433157274,63.56157970595997,68.07711532867474,51.755395362275294,62.488434697898946,49.19869777120414,33.16062584590167,50.162719970878264,24.02913015813505,20.777825400456965,25.990873523881085,31.75109446424537,22.607385822215456,11.523519951786842,16.804507465005667,12.140077500209797,13.486139545113351,4.75497863364877,25.71096680465955,13.90802010666517,7.488907772775909
88,75.07969956079414,63.92245511771612,68.81726289487915,51.88593368885541,62.888129088373596,49.094998566032274,33.23082287336146,50.52388348791173,23.72277661537949,20.12447741196359,29.012958119935266,31.50040488556964,21.95245984991327,11.2467443047907,15.461767576001487,9.514722184995273,13.233475277137593,4.4216617775140294,25.358586412223662,13.695148810041882,7.670582735000736
90,75.89062095247671,64.14420403201926,69.43680899693499,52.02842144863935,63.1670752636839,49.01976989797777,33.24880986637348,50.914638912061214,23.413752624025015,19.425448057764278,31.907945386185276,31.294492951036453,21.398384397210577,10.991408457221414,14.458299201255686,7.789341742956468,13.526182454184177,4.1821660432443135,25.078865716400685,13.617942755807634,7.858099496208807
93,76.68668284695991,64.35203929033656,70.05128289781736,52.181420249127726,63.43263222970495,48.9465442315325,33.27175673335323,51.30823119262588,23.101007809968316,18.69851264764301,34.8317236737316,31.08930982187583,20.838466138284943,10.74479960454206,13.503732832402786,6.191937801929795,13.813319271694883,3.959825202226964,24.801387537204405,13.549801451146209,8.043710723351472
96,77.47162634050511,64.55013663598533,70.65857389407665,52.33964925629581,63.69980141720198,48.86927149363959,33.286511399890685,51.69233789172888,22.797730508229368,17.957103553163716,37.80667058071165,30.86720892143404,20.295143750053455,10.492531547871932,12.60236187846609,4.758990369776412,14.106054078427443,3.747823063252013,24.539614184983233,13.48618326051109,8.231056175621944
