Time(h) / Well,8,8.1,4,4.1,4.2,4.3,2,2.1,2.2,2.3,1,1.1,1.2,0.5,0.5.1,0.5.2,0.5.3,0.25,0.25.1,0.25.2,0.25.3,0.125,0.125.1,0.125.2,0.125.3,0.062,0.062.1
27,0.19977309591903916,0.1813,0.2048758923173606,0.23416899174563477,0.2505072694972707,0.24586564745600623,0.0887,0.22408663880354218,0.18507399333735258,0.17418944055667124,0.1655706198251644,0.16414025610154642,0.055,0.18028983484746672,0.18788728143196595,0.12759258549496125,0.06076575985013997,0.20285406798800326,0.16493138943006763,0.11205453107166329,0.024264013660470325,0.20635230238110946,0.10593321403980434,0.07385316023879038,0.0023994751963645434,0.08797918895965165,0.21118543611114146
30,0.20509291750922332,0.23529999999999923,0.20753366121358674,0.2337210288902874,0.2529975254647279,0.27352087711468487,0.0131,0.22602834345850045,0.18658475025441776,0.18416527041533684,0.16190786825013093,0.1663420272693361,0.05398000000000001,0.17931031694979216,0.19094979699897013,0.13017003635299831,0.062201435718032126,0.20363295760166186,0.16649431583739446,0.11844652973642118,0.033471305895971,0.20771597437586017,0.10919560808375976,0.07276019148573963,0.0038703430410986666,0.08841675268427016,0.2143314539996505
32,0.21028126698676633,0.22972631578947394,0.20848125173890214,0.2311192297206658,0.25408270017190526,0.2863629644070787,0.0009,0.22636934007070975,0.19037703083618981,0.1929931970872129,0.16052170801040927,0.16859120815307607,0.05282000000000001,0.17839803705194204,0.1837426313889158,0.13636139296619812,0.06392781477762165,0.20384502568982174,0.16684545966299072,0.12798040661669505,0.037619745550050994,0.20258043540764384,0.11079286295039399,0.0732202549200869,0.0055977371937562135,0.08877916425291855,0.21618739961256653
35,0.21261806955965074,0.22415263157894788,0.20754415455325728,0.22671884446546736,0.24538727524512075,0.2810267164611217,0.0003,0.22373996125780754,0.19476133704433624,0.19747262622362682,0.16201385796444373,0.1706437700368228,0.0509,0.17723748890909807,0.17079786219269152,0.1437496904044346,0.06612607742815761,0.20500595137997893,0.16535439361386065,0.14072049385974858,0.03659589940310065,0.19704191264295745,0.10993369642879688,0.07442174839540489,0.005950078775663531,0.08872867013143153,0.2164025285185804
38,0.21126952182032302,0.21857894736842104,0.2042292592859984,0.22331453270587193,0.23299663156045858,0.2744850350778899,0.0311,0.21817652687337524,0.20092266225400177,0.20618930114261252,0.1644162027715896,0.17502581140879866,0.0505,0.17421006414693635,0.16123305927851797,0.14825384742060083,0.06796770928701967,0.20465628793873591,0.1626596643615129,0.15445165253113088,0.03500076763938902,0.19336511338365334,0.10723724166009396,0.0767070749150118,0.005714629898176085,0.08739570869151592,0.21363149773875065
40,0.207324271816911,0.21300526315789486,0.1999583669472008,0.21852223246669852,0.22514846776825953,0.27170373711151685,0.0006,0.21274756123453317,0.20928110612087414,0.2285732629871111,0.16594939481764312,0.18123964118436445,0.052,0.17446135482054126,0.15655430586846128,0.15404145268133304,0.06856818921507435,0.19957715943091803,0.16132758149371823,0.16678759088196282,0.031615333717131044,0.1871387397668007,0.1025862145915998,0.07869210278737482,0.0041210824701532435,0.08725617010950695,0.20829705751609318
43,0.20366973291490362,0.20743157894736847,0.19820234237604772,0.21209421236475032,0.21964716964503295,0.2684045238393397,0.0012999999999999926,0.208389052182585,0.2173594269918938,0.24721764149226122,0.16722480039747997,0.1879653321295767,0.0434,0.17704535803088348,0.15871977682815513,0.15848782798869998,0.06871939898896282,0.1943580554953983,0.16180538835562713,0.1771836109467776,0.023843417127028265,0.18151092354166842,0.09618026164027546,0.08033188714776372,0.002493343740730115,0.08853593810713983,0.20357851302250307
45,0.19960269695918142,0.20185789473684215,0.1994916827820223,0.20764061119867633,0.213605002336718,0.264525794978366,0.0007499442734933152,0.20270783355918276,0.2234604581263661,0.2639940012025958,0.16862508355457728,0.19287473054542476,0.0456,0.18040000830524897,0.16534517212972139,0.15810890767141747,0.06902006017635083,0.19285543607447198,0.1622219028448488,0.18593698104060516,0.017603342357714432,0.18184307699345947,0.08930295099371051,0.0829682696349204,0.0009538437295954674,0.08971879858747696,0.20069920746291078
48,0.19770638651188355,0.19628421052631576,0.2024960994555472,0.20507235984737027,0.21117031561046126,0.25855474324589667,0.0006051490512624582,0.196828590547992,0.2292016494418148,0.2816911199363361,0.1635090364236729,0.19563636428911196,0.0007,0.1844920108765414,0.1684875817523617,0.15628863756228217,0.06900009587865649,0.19181850810639173,0.1641050114717404,0.18967499603067198,0.010886953632907646,0.1861500799645321,0.08243764370492027,0.08364108775155649,0.0017124378495862627,0.09054435999622507,0.198782119784717
51,0.2007004214183875,0.19071052631578947,0.20780669110845423,0.20447200466978874,0.21193986003225768,0.2533161769621871,0.0005965614343451876,0.1924994958999401,0.23307904438174284,0.2891138252112724,0.15383914887919695,0.19737293478051032,0.0005,0.1866380091301794,0.1725482322653938,0.15474573719616203,0.06740417694025534,0.1906463619661158,0.16493865512942613,0.19086305943292745,0.0033037679465435033,0.19311921379816252,0.07517963319787356,0.0832508821378845,0.00636323343485551,0.0907086778721417,0.19813707449534998
