,8,8.1,4,4.1,4.2,4.3,2,2.1,2.2,2.3,1,1.1,1.2,0.5,0.5.1,0.5.2,0.5.3,0.25,0.25.1,0.25.2,0.25.3,0.125,0.125.1,0.125.2,0.125.3,0.062,0.062.1
27,0.1927239146961345,0.1812799727849048,0.1936026476983688,0.2595518401905837,0.3153976867019686,0.1415141942692105,0.08870538076978855,0.2312937017184861,0.2009836786379495,0.1905328140386556,0.1570073979144156,0.1771612964431906,0.05503069478750428,0.1363048465845412,0.2304880095980985,0.1194942148907391,0.05866058986750478,0.1866551955235108,0.1648357931355631,0.08279958205009993,0.03447202841941539,0.2108702595038636,0.1086294673868301,0.07178158056367369,0.0004759213858413627,0.08605661628393535,0.2145987623481782
30,0.2021974422454444,0.2352695084804705,0.2104199739712317,0.1143587222522553,0.08072920353416761,0.3003412478498375,0.01313105896857631,0.240556550735392,0.185569817429113,0.2037526785275774,0.158560550029375,0.1044353289660668,0.06298039497950914,0.1985497647022274,0.008881790391861977,0.1417710878411005,0.03014292450787289,0.1879346132087981,0.1863642804891901,0.1502550526440639,0.03850807853783484,0.207434564219897,0.1097919744191116,0.06510967756544381,0.0006125319149198967,0.09937944349480572,0.2284724453170657
32,0.2212881922122701,,0.2272373002440946,0.02509324997915162,0.002257773469185939,0.2881102224684432,0.0008511196837299666,0.2364153645563853,0.001934604406790478,0.182325980169518,0.1504253171405369,0.1618226262822761,0.05051896250851528,0.1686604140166263,0.1811535934968834,0.1232883473898189,0.06335628165113176,0.2233868619019985,0.1675123316867247,0.11400549237083,0.03945319407464629,0.2010811292632271,0.1194080632466168,0.07139283386691879,0.03321114507735513,0.09235363968606798,0.2114947392126146
35,0.2258009178511902,,0.2164887824789644,0.2171480021594299,0.2247956232527029,0.3199269034059571,0.0003236384770925928,0.2016126965368061,0.1799966861331738,0.1972099686809115,0.1642190755917321,0.1634250037586817,0.05088523038290482,0.1838722389251199,0.1653584441866284,0.1335286418909119,0.07039208896856503,0.2154289014304657,0.1573262716930652,0.1455617181308714,0.03600528771373703,0.2096363053617651,0.1108836544534944,0.08168530483431637,0.0008445845681031183,0.08532783587733024,0.2254938205459426
38,0.2123679416947465,,0.1935603127930517,0.2072707413536521,0.2533713584050349,0.211378171233098,0.03113428178884707,0.2242192099208007,0.2272358740946489,0.2004196248839086,0.08647908487464184,0.1778953709304771,0.05053277214139226,0.1777731842383619,0.1495632948763734,0.1677370417062384,0.06389085342315218,0.03904645278834061,0.1678964311541134,0.142896127311647,0.03442801243660249,0.1785176385543993,0.112216983382847,0.07736639113936998,0.03167401669086719,0.08650166546289084,0.1939496648912174
40,0.2030886151819167,,0.1928229356969601,0.2329531693709172,0.2108464159411378,0.2540011142232483,0.0005693657055149127,0.03115141020107942,0.2020212284945062,0.2093632764759717,0.1696312101261487,0.1752245946534929,0.05204293354956696,0.1670704043210526,0.1475207718521493,0.1780649139603998,0.07161688477351928,0.190149120400777,0.1540558301487383,0.170991204501352,0.03641709591393007,0.1818145980893355,0.09977139379494962,0.07051108787490117,0.0005089582119766433,0.08857004628457792,0.2356153335257433
43,0.1989398492212441,,0.08056224193508169,0.2370424820091996,0.2147265710158946,0.2708997872063326,0.001030386419250811,0.03137626321095668,0.220394592236924,0.1070983123375923,0.1704005073319483,0.1989607731813964,0.04335583796316379,0.1599079581744418,0.1639814648335587,0.1514089533099348,0.07229786957057893,0.205925851136361,0.1675234293052682,0.2071958818381877,0.02895327575702574,0.2106663798841108,0.09782432767214422,0.08425868316521853,0.0005161335698175268,0.0797159040098817,0.2070835335042261
45,0.1947910832605715,,0.001513534902347014,0.198843981090652,0.2160063355977379,0.3344385379511582,0.0004327448726857078,0.201113184746711,0.001094705289457071,0.3052596259765418,0.1525700761046259,0.1864712278135771,0.04564084752641818,0.185898291411055,0.1441849114936626,0.1596254932685179,0.0656756539213495,0.1836095400575695,0.1505901363777755,0.1830314992463146,0.0004200487992945817,0.1566389883401691,0.09501052499175301,0.03421802677192803,0.0005439036698221802,0.09034166731942717,0.1785517334827091
48,0.2281567871735039,,0.07537498142896791,0.1618072551827842,0.2172861001795811,0.2786373855985034,0.0007205436232261345,0.002151415866904629,0.2290638571956055,0.2917067559768383,0.1792949256233465,0.2075797416609624,0.0006616383952106526,0.1934688035598432,0.1819369078794845,0.003169015375586588,0.06739996029588834,0.180597862160385,0.1809020948551771,0.186400143745331,0.000354489579761929,0.1686178749780946,0.0755822893459616,0.08491676999840357,0.0004695456801846336,0.09643620040467658,0.1967154474948651
51,0.1705327023055528,,0.2068045968254303,0.1220453220550566,0.197157455985394,0.2228362332458486,0.0004320773036631837,0.1911162464102398,0.2347896289600981,0.2781538859771347,0.1780639597858839,0.1124834010600554,0.000511375829043935,0.1953259424275518,0.221214676415985,0.1574703201721931,0.07366772060652298,0.2096365326509619,0.1405249605820399,0.205223022146532,0.001560580663817662,0.1891834676022274,0.07664722246975926,0.005307438205425858,0.000453573478342544,0.09130902591751956,0.1931414964491732
