Time_h,10_mM,5_mM,2.5_mM,1.25_mM,0.782_mM,0.625_mM,0.313_mM,0.156_mM
43.83883883883884,5.0350877166217165,6.829584749705724,8.729654320647361,7.486264505015816,6.403421407652281,7.742030769569448,6.889198123387236,9.63920640905092
43.93393393393393,5.026003812573602,6.825852983207883,8.730637132048697,7.483004403213815,6.397773408964897,7.740792717503325,6.882174319953975,9.642039903400082
44.029029029029026,5.017196022656975,6.822233576296593,8.731602417602401,7.47983676185662,6.392295573747243,7.739591656305719,6.875316426683104,9.64478456279909
44.12412412412412,5.0086799768472074,6.818732922905959,8.732548722917626,7.476767061774975,6.38699757857127,7.738429706010424,6.868635613971766,9.64743545991821
44.21921921921922,5.000448235011605,6.815348007695728,8.733476448483621,7.4737928315306315,6.381874826178636,7.737305886458863,6.8621276378455125,9.649995014963821
44.31431431431431,4.992491163199338,6.812074920564472,8.734386171176743,7.4709108434759655,6.376921361962025,7.736218922684196,6.855786788522799,9.652466346845486
44.409409409409406,4.984799127459575,6.80890975141077,8.735278467873343,7.468117869963353,6.372131231314109,7.735167539719595,6.849607356222087,9.654852574472772
44.5045045045045,4.977362493841486,6.805848590133201,8.736153915449773,7.465410683345172,6.367498479627565,7.734150462598223,6.843583631161835,9.657156816755238
44.5995995995996,4.970171628394242,6.802887526630337,8.737013090782394,7.462786055973803,6.363017152295074,7.7331664163532485,6.8377099035605005,9.659382192602456
44.69469469469469,4.96321689716701,6.800022650800759,8.737856570747557,7.460240760201618,6.358681294709312,7.732214126017838,6.831980463636541,9.661531820923983
44.789789789789786,4.956488666208961,6.7972500525430455,8.738684932221616,7.457771568380997,6.354484952262958,7.731292316625157,6.8263896016084225,9.663608820629385
44.88488488488488,4.949977301569264,6.794565821755769,8.739498752080927,7.455375252864316,6.350422170348686,7.730399713208372,6.820931607694596,9.665616310628227
44.97997997997998,4.94367316929709,6.791966048337507,8.74029860720184,7.453048586003955,6.346486994359177,7.72953504080065,6.815600772113524,9.667557409830074
45.07507507507507,4.937566635441606,6.789446822186839,8.741085074460713,7.450788340152287,6.342673469687107,7.728697024435159,6.8103913850836655,9.669435237144489
45.17017017017017,4.931648066051983,6.787004233202342,8.741858730733904,7.448591287661693,6.338975641725156,7.727884389145065,6.805297736823477,9.671252911481035
45.26526526526526,4.925907827177391,6.784634371282593,8.742620152897759,7.446454200884547,6.335387555865997,7.72709585996353,6.800314117551422,9.67301355174928
45.36036036036036,4.920336284866998,6.782333326326164,8.74336991782864,7.44437385217323,6.331903257502311,7.726330161923728,6.795434817485956,9.67472027685878
45.45545545545545,4.914923805169975,6.780097188231639,8.744108602402894,7.442347013880117,6.328516792026775,7.725586020058821,6.790654126845539,9.676376205719109
45.55055055055055,4.9096607541354915,6.77792204689759,8.744836783496883,7.4403704583575845,6.325222204832065,7.724862159401974,6.78596633584863,9.677984457239827
45.645645645645644,4.904537497812716,6.775803992222597,8.745555037986957,7.438440957958009,6.322013541310861,7.724157304986358,6.781365734713685,9.679548150330497
45.74074074074074,4.899544402250818,6.7737391141052345,8.74626394274947,7.436555285033772,6.318884846855838,7.723470181845136,6.776846613659165,9.681070403900682
45.83583583583583,4.894671833498967,6.771723502444081,8.746964074660779,7.434710211937247,6.315830166859676,7.722799515011479,6.772403262903535,9.682554336859951
45.93093093093093,4.889910157606335,6.769753247137715,8.747656010597236,7.432902511020813,6.312843546715051,7.722144029518549,6.768029972665245,9.684003068117866
46.026026026026024,4.885249740622088,6.767824438084709,8.748340327435196,7.4311289546368435,6.309919031814641,7.7215024503995116,6.763721033162755,9.685419716583986
46.12112112112112,4.880680948595398,6.765933165183645,8.749017602051017,7.429386315137722,6.307050667551123,7.720873502687539,6.7594707346145295,9.686807401167883
46.21621621621621,4.876194147575434,6.764075518333096,8.749688411321047,7.42767136487582,6.304232499317175,7.720255911415793,6.755273367239021,9.688169240779116
