drug,concentration,conc_uM,well,cmax_uM,exceeds_cmax,baseline_used,bpm_change,pct_change,0h_bpm,3h_bpm,4h_bpm,6h_bpm,9h_bpm,12h_bpm,14h_bpm,17h_bpm,19h_bpm,22h_bpm,24h_bpm,27h_bpm,30h_bpm,32h_bpm,35h_bpm,38h_bpm,40h_bpm,43h_bpm,45h_bpm,48h_bpm,51h_bpm,53h_bpm,56h_bpm,59h_bpm,61h_bpm,64h_bpm,66h_bpm,69h_bpm,72h_bpm,74h_bpm,77h_bpm,80h_bpm,82h_bpm,85h_bpm,88h_bpm,90h_bpm,93h_bpm,96h_bpm
doxorubicin,20mM,20.0,B21,0.13,True,0h,,,62.69,53.73,53.73,111.94,44.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doxorubicin,20mM,20.0,B22,0.13,True,0h,,,58.06,40.91,40.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doxorubicin,2_5mM,2.5,G21,0.13,True,0h,-30.38,-48.5,62.69,94.03,94.03,61.76,59.09,101.54,56.52,55.38,50.0,118.18,32.31,50.77,67.16,52.94,95.45,80.6,114.71,72.73,87.69,55.38,31.82,95.45,111.94,67.16,35.82,51.56,,89.55,86.36,113.04,80.6,104.55,111.94,105.88,72.73,116.42,87.1,36.36
doxorubicin,2_5mM,2.5,G22,0.13,True,0h,16.05,22.8,70.31,85.07,85.07,55.38,67.16,118.18,31.34,,85.07,90.91,86.36,111.94,52.38,79.41,52.94,95.45,85.07,44.12,100.0,100.0,30.88,109.09,89.55,116.42,39.71,94.03,57.14,,70.59,,100.0,114.71,44.78,54.55,53.73,110.29,44.78,50.0
doxorubicin,2_5mM,2.5,H21,0.13,True,0h,,,81.82,,,,,,,,,,,,,,,,,,83.82,,,,,,83.08,85.07,107.46,100.0,,59.09,92.31,115.38,82.61,97.06,54.35,39.23,120.0,89.55
doxorubicin,2_5mM,2.5,H22,0.13,True,0h,-26.47,-23.1,114.71,87.1,87.1,69.23,40.3,92.65,96.92,104.55,75.0,55.38,88.24,61.76,58.21,53.73,34.09,30.43,63.64,57.35,39.71,40.91,77.27,,61.76,48.53,39.71,49.25,40.3,76.12,,,60.94,,61.76,31.34,120.0,69.23,88.24,98.51
doxorubicin,5mM,5.0,E21,0.13,True,0h,74.06,167.9,44.12,56.52,56.52,69.57,50.0,52.27,87.1,52.63,86.44,31.34,118.18,30.88,94.03,81.82,83.82,70.59,113.64,32.31,90.91,36.36,114.71,35.29,109.09,34.78,52.94,100.0,107.81,54.55,80.6,79.41,116.42,116.42,,120.0,39.71,31.34,98.51,102.99
doxorubicin,5mM,5.0,E22,0.13,True,0h,16.44,17.7,92.65,119.12,119.12,35.82,60.87,100.0,101.47,83.82,104.55,105.88,109.09,94.03,85.07,43.85,80.6,110.29,89.55,71.64,118.18,105.88,72.73,89.55,,87.69,89.06,109.09,35.29,111.94,52.94,67.16,101.47,67.16,85.07,68.18,111.94,71.64,45.45,92.65
doxorubicin,5mM,5.0,F21,0.13,True,0h,47.2,69.2,68.18,49.25,49.25,94.03,105.88,31.34,79.41,116.42,116.42,116.42,115.38,116.42,116.42,89.55,116.42,,115.38,,,,,,67.16,53.73,60.87,118.18,39.13,95.45,,,,,,,,,,
doxorubicin,5mM,5.0,F22,0.13,True,0h,28.18,31.3,90.0,104.55,104.55,114.71,101.47,101.47,102.99,116.42,119.12,119.12,118.18,98.51,113.64,110.29,114.71,92.65,114.71,95.45,94.03,95.45,31.82,77.27,57.35,67.16,106.15,46.15,79.41,56.25,109.09,66.18,110.29,50.0,71.64,86.36,107.46,116.42,80.6,113.64
