Time,2.4.1,2.4.2,2.4,2.4.3,1.2.3,1.2,1.2.2,1.2.1,0.6.3,0.6.2,0.6,0.6.1,0.3.1,0.3,0.3.2,0.15,0.15.2,0.15.1,0.15.3,0.075,0.075.2,0.075.3,0.075.1,0.038,0.038.2,0.038.1,0.019,0.019.3,0.019.1,0.019.2
27,0.1630293664542184,0.1391802313333725,0.126572131514385,0.0002641612805899,0.0779810897970219,0.1014060868094896,0.0677091619298601,0.0457914899842539,0.1665126345835213,0.1191184942876276,0.1373273728331846,0.1149147001859211,0.1847920993723163,0.0539682796449068,0.0321139308817787,0.0920609122285911,0.0694316375906063,0.1212995712197317,0.0007823759751171,0.2021324191070152,0.2051185146943652,0.0774757804531894,0.032088200250794,0.1610723151514546,0.0004594280888212,0.0651622104596975,0.1626354914820146,0.1142045228693613,0.1058108827023271,0.0437266056164024
30,0.1910136837137699,0.1201404585130639,0.1060355611380741,0.0017944320185959,0.0335139565103151,0.0845601292724468,0.0806252709671228,0.0421341626962968,0.1348512418377805,0.1296566140903105,0.1539949902206655,0.0991134633937957,0.1567067492029785,0.0605124807535514,0.0368920099098691,0.1292290254905933,0.0759549157563186,0.1181449926072578,0.0004350002270593,0.1524617781404884,0.2335184975235837,0.0827952030656664,0.016080312216925,0.2298457612231296,,0.0662771661656314,0.146478098320777,0.1010560481268375,0.0911943777848931,0.0585859439882809
32,0.1633617839798112,0.1104643040465116,0.1061664982266391,0.0003071208241952,0.0950863256904044,0.0797200797964144,0.074176546849814,0.0449999326873033,0.1705870633188839,0.1066279942838291,0.1436934333422784,0.094150088367596,0.0138012990700646,0.0588647427139903,0.0436394150760638,0.0013317360423956,0.0965783114115074,0.0617939799221298,0.0003705819640758,0.1547021303053212,0.2000663664600393,0.0874224919633024,0.0379422324427366,0.1847826526014693,,0.0649704184103742,0.1422633032344712,0.0023596819471552,0.0880991898524817,0.0628903652065566
35,0.1506374426929987,0.1172552433100942,0.1093899182593384,0.0001933707148099,0.0906403426857952,0.1150342538741779,0.0883487474746454,0.039564303196449,0.1490612819406411,0.1029835874537862,0.1200642369291005,0.116613424909451,0.1501690713537451,0.0587231731669141,0.0485613566959253,0.0830336846200561,0.1101445769134363,0.0504598298949661,0.0007823152307611,0.1952164534858379,0.2045283557428943,0.0840140448820488,0.0490340961568715,0.1005377747677516,,0.0592950341753508,0.1333825213921884,0.1088727149859434,0.0835590907995721,0.0671947864248324
37,0.190479774057247,0.1331935197274454,0.1044563385763208,,0.0725010222643965,0.1241693810076919,0.0893306177259209,0.0406116029495327,0.1414298314599295,0.1092128732141235,0.1256780891749584,0.0014999323268142,0.1412802711190006,0.0470025348421888,0.0522932415186124,0.0830096948233369,0.093230626571148,0.0169102583369424,0.0005312606249877,0.1199181292007069,0.2059576749749353,0.0592750380263087,0.0952221647303589,0.0959393318566731,,0.0658426564132572,0.1516692321016651,0.1221873311775997,0.079286303785941,0.0013599651933946
40,0.1582781258998921,0.1461072008762838,0.1184974520276526,,0.0697535891372048,0.1584758121143252,0.0786197022943305,0.0419160555606019,0.1484670561109316,0.110516401966451,0.1228391045001773,0.1369069584775342,0.1206014209129506,0.0468556584351222,0.0003686526089835,0.0737159852197408,0.1041603591834496,0.0003811578805734,0.002876041010414,0.2354031696539046,0.2475180932544885,0.0653815224252159,0.1076091927465728,0.0817686286461557,,0.0003199106614323,0.1561904290698388,0.1186792333906175,0.0016945240393512,0.0072902585389831
43,0.1853218377683643,0.1290590595824976,0.1497929097962628,,0.06501396701157,0.1746177534773968,0.0852609187251681,0.0445237030364439,0.132561587785595,0.1003728198979318,0.0863578996091485,0.1230789873870741,0.1206712537174773,0.0461270222584342,0.0486658747984396,0.1019479376344983,0.1150021671215631,0.0004535596499994,0.0009560437269514,0.2572532118668879,0.2646432358781653,0.0568981911963965,0.0782590467973617,0.0439599490386703,,0.0002891447799182,0.1376946660417099,0.1246057340782517,0.0732960491941058,0.0393824434852456
45,0.1757799629638819,0.1248678617242471,0.0944097423964899,,0.0712715154362675,0.0010177346940037,0.0998283029956486,0.0442676474977284,0.1649990069248423,0.095458864832761,0.0708849343025581,0.0413146550968112,0.1284939774632451,0.0678274467995669,0.0529986482529163,0.0823685807613277,0.104442439395486,0.0645285174156291,0.0003936898759512,0.2863137261226464,0.1807496967746198,0.0615949110059341,0.0715863452409026,0.0479550810529265,,0.000269460007519,0.14370725744006,0.1379581759051879,0.0891135530889894,0.0007251098632107
48,0.1662380881593996,0.1324372289328568,0.072595752650689,,0.0775290638609651,0.1654768842734625,0.0943594425134912,0.0005457745714585,0.1585377988274707,0.1007013109954148,0.0714487974479292,0.0004420682428505,0.1211499274169192,0.1256002869892604,0.0575611198060224,0.0793273765739177,0.103002019604559,0.0549696616547283,0.000817763057683,0.1558458590310701,0.1437187921123765,0.0526048682340112,0.0617864553559193,0.0482683365525105,,0.0003239009178951,0.0663440364002989,0.1234853459507187,0.0873631404134028,0.000768646736403
51,0.1591773302599967,0.1454012433231507,0.0867111778929256,,0.0753533854317003,0.0185204822406079,0.080256542839565,0.0413120918507459,0.1360667748276896,0.1054339792431548,0.0689411039690544,0.0028764809861022,0.1411374709004126,0.108063806917984,0.0579760000802206,0.0781008419442634,0.1044145677377442,0.0142769565598847,0.0004429007859933,0.0253779919394938,0.0721343275726962,0.0469611862735197,0.061845952754777,0.0600332515167925,,0.0003761369016626,0.1415400537079627,0.1465451527474726,0.0877350366892354,0.0007014979535836
