Time,200.0,200.0.2,200.0.1,100.0,50.0,50.0.1,50.0.3,50.0.2,25.0,25.0.1,12.5,12.5.1,6.25.2,6.25,6.25.3,6.25.1,3.125.2,3.125.1,3.125,1.5625,1.5625.1,0.78125.2,0.78125.3,0.78125,0.78125.1,0.390625,0.390625.1,0.195313.1,0.195313,0.0,0.0.1
69,56.09059,26.33864,34.76744,49.95882,46.31882,46.08295,27.10465,18.37126,36.91786,39.82159,35.7,15.19767,39.0954,29.12644,23.21818,22.11951,35.93882,21.42353,21.12235,21.89425,-0.12273,44.47727,32.93049,24.00575,21.23864,24.27412,15.45294,43.45517,29.42614,26.61529,35.64713
74,56.10476,40.07059,34.68736,48.82955,48.11529,46.29419,28.93523,28.56824,37.01235,49.57045,35.08434,17.83103,42.94048,19.05,18.34886,20.2382,37.49545,30.35176,21.55341,24.15294,65.39985,44.26782,33.15663,23.24205,17.43864,28.63452,14.95568,41.00118,30.00814,27.30337,36.51124
75,56.1012,42.99432,34.37907,49.04524,49.45,44.20455,16.71136,32.9253,37.27011,37.94,36.22024,15.21707,41.63558,14.22073,20.5865,21.86207,38.62531,30.52071,21.97349,23.58911,58.52529,43.82356,33.67093,23.51647,21.31928,29.14699,15.64272,43.84718,32.25125,27.68276,36.53315
76,56.43413,43.38186,34.57931,48.63057,48.97029,45.10105,20.24091,25.3189,37.20447,36.0319,36.20659,15.89366,40.33068,21.4723,22.82414,21.47339,39.75517,30.68966,20.69925,23.02529,51.65073,43.37931,34.18523,23.59574,19.31596,28.38269,16.32976,46.69318,31.77847,27.57774,36.55506
77,56.76706,43.76941,34.77955,48.21591,48.49059,45.99756,23.77045,17.7125,37.13882,34.12381,36.19294,16.57024,31.51932,28.72386,15.03636,21.08471,37.91765,31.08046,19.425,23.92159,44.77616,43.4908,33.83171,23.675,17.31264,27.61839,12.90588,42.28875,31.30568,27.47273,36.52299
79,56.21379,22.74824,34.92809,48.32184,49.14253,44.26471,10.05233,13.76522,36.95455,35.17059,34.54659,17.54138,33.708,31.95233,21.78736,20.60674,38.63253,31.37045,21.16386,22.07209,37.9016,42.45341,35.15682,23.68161,20.05682,27.52955,16.50122,46.03448,32.51136,27.30471,36.28068
80,56.29886,33.66844,34.38202,48.38068,47.38636,43.41023,17.48926,13.34795,36.20698,34.54313,34.55698,18.69545,35.89668,32.38,23.04904,21.87931,38.46505,31.48029,21.88471,22.23093,31.02703,41.85398,34.95579,13.54253,19.91839,27.1,14.62892,44.58016,32.31395,27.33908,35.9136
81,55.73679,44.58864,34.2445,48.49732,47.02841,43.32898,24.92619,12.93068,36.65061,33.91566,34.99202,18.54482,38.08537,31.74872,24.31071,21.60477,38.29756,31.59012,21.62303,22.38977,24.15247,41.25455,34.75476,9.112644,20.15181,27.65893,12.75663,43.12584,31.95756,27.61784,35.54651
82,55.17471,45.4625,34.10698,48.61395,46.67045,43.24773,17.04941,12.26818,37.09425,34.6908,35.42706,18.39419,36.1954,31.11744,11.24651,21.33023,37.53636,29.03068,21.36136,23.06786,17.27791,41.88902,34.12381,4.682759,20.38523,28.21786,15.84773,44.75517,31.60118,27.89659,36.71023
84,55.8619,47.32614,33.56932,46.81279,46.46517,43.31882,10.46824,13.31023,35.71667,33.48095,34.40345,18.64405,32.75682,30.95227,23.95795,19.77582,37.14235,30.47727,5.311364,21.62299,16.58712,41.22921,33.94773,18.85059,19.66818,26.41034,14.26588,44.06747,29.47412,27.1,36.03933
85,54.67857,47.11723,32.69054,46.84186,43.85227,42.72955,12.40287,13.06732,35.64302,28.10014,32.50568,9.596429,33.20682,29.89659,23.54505,18.3875,37.11371,29.5576,0.513636,15.40335,15.89634,40.82654,32.74827,20.95625,18.97381,25.85909,13.44146,42.81362,28.99297,26.72674,35.16539
86,54.67126,46.90833,31.81176,46.71525,43.2479,42.05625,14.3375,12.82442,35.0181,22.71932,32.81761,2.09026,33.65682,29.47853,23.13214,18.81099,37.08506,28.63793,5.734404,9.183721,15.20556,40.42386,31.54881,20.91222,18.27943,25.70227,12.61705,41.55977,28.51183,26.35349,34.29146
87,54.66395,48.52045,31.25795,46.58864,42.64353,41.38295,21.98554,13.78372,34.39318,19.38235,33.12955,-5.41591,34.48471,29.06047,23.04118,19.23448,34.90114,27.67349,10.95517,20.86905,14.51477,39.59529,30.71023,20.86818,17.58506,25.54545,11.80706,44.40909,28.03068,11.26429,33.47229
89,53.9037,50.3,33.925,46.8225,46.87273,41.82706,24.56818,19.90114,35.83563,28.49659,34.11977,17.19884,38.08571,31.55714,24.09884,21.59775,36.31136,30.88182,22.7125,25.45977,14.68864,40.33523,32.83176,23.59524,20.5869,27.16136,14.24286,42.25,31.25227,10.24884,35.1253
90,54.57011,49.31235,31.83924,46.37701,45.33647,39.85294,21.13011,20.99261,33.77765,27.29545,32.30575,13.09881,37.91429,29.13882,16.9564,19.55349,34.80215,29.63631,8.464773,23.17875,13.82841,39.6135,32.32968,21.93739,20.11163,26.0142,12.59759,42.55057,29.84637,11.42627,34.69753
91,54.11455,48.32471,29.75349,45.58374,43.99801,39.82015,17.69205,22.08409,32.73538,26.09432,31.48333,12.22764,37.74286,28.37964,9.813953,18.66008,33.29294,28.3908,13.04343,20.89773,12.96818,38.89176,31.82759,20.27955,19.63636,24.86705,10.95233,42.85114,28.44048,12.6037,34.26977
92,53.65898,43.68068,28.96512,44.79048,42.65955,39.78736,13.96941,20.57386,31.6931,29.32759,30.66092,11.35647,36.16437,27.62045,21.05476,17.76667,32.09146,27.38523,17.62209,19.96235,10.16471,37.24565,30.4125,18.5,17.19318,21.89765,9.874713,42.39923,26.92024,18.61932,33.93068
94,53.20341,41.72706,28.9125,43.85287,41.69773,37.2093,16.75568,19.84235,30.62619,29.79024,29.51647,11.42874,33.68118,27.10795,19.02093,17.62273,31.74881,26.98409,16.58916,18.55059,10.40674,36.59146,28.48182,18.94828,18.06023,7.352326,9.303488,41.94733,26.48161,26.90795,33.4381
95,53.22143,35.75588,28.10057,43.94167,41.38588,37.73765,17.8483,19.116,30.2977,29.47637,28.29438,9.900343,33.5851,26.87541,19.51331,17.77764,31.12208,26.80335,16.47987,18.61867,10.68925,36.29975,28.32614,17.57584,16.56862,11.6003,8.458371,41.49543,25.95,27.39191,32.60459
