Time,200,200.1,200.2,100,50,50.1,50.2,50.3,25,25.1,25.2,25.3,12.5.1,12.5,12.5.2,6.25.1,6.25.3,6.25.2,6.25,3.125.2,3.125.1,3.125,1.5625,1.5625.2,1.5625.1,1.5625.3,0.78125,0.78125.3,0.78125.2,0.78125.1,0.390625.2,0.390625,0.390625.1,0.195313.1,0.195313.3,0.195313,0.195313.2,0,0.1,0.2,0.3
29,0.0018544120628726,0.0103118858917374,0.0007846527729093,0.0041458218532882,0.0012795272370837,0.0015741647207626,0.0025414801520969,0.0022088517143109,0.0014951744325833,0.0013070960178961,0.0012264070968029,0.0061830589120806,0.009371756631579,0.0018873439401575,0.0003932014046678,0.0032634658377735,0.0011889343599546,0.0056142831087481,0.0016963089760663,0.0310816248335265,0.0036497728613141,0.000919111640492,0.005331806696665,0.0027971323851101,0.001988798104694,0.0004478801987182,0.0088258470701583,0.0013165726127888,0.002925484046845,0.0022881889223365,0.0154534986928119,0.003273684670522,0.0004215012451503,0.00403372996662,0.0009171414609446,0.0011988352542046,0.0021820952815603,0.0029207352575069,0.0022629366656937,0.0049382769411648,0.0006394605339159
30,0.0019438397764983,0.0011339072069775,0.0006954645110111,0.0075476266582441,0.0013455768876187,0.0012238844044912,0.0018368763792198,0.0028090547707308,0.0101780290090863,0.0014819479589669,0.0005440179974332,0.006398554701815,0.0059924740511048,0.0018065331196038,0.0012631611334998,0.0018069481341498,0.0012338477429238,0.0062938894825002,0.0009579915336459,0.0294116362502573,0.0010772566048612,0.0010504410447429,0.0042298766503122,0.0058885625553743,0.0018957847979135,0.0003376526832971,0.008830780408692,0.0016117663284962,0.0043251307844412,0.0007167730644578,0.0139414037213635,0.003541858993662,0.0017269102106079,0.0028798704866492,0.0006911227314805,0.0011351656722865,0.0015613857178725,0.0018069481341498,0.0018181577693969,0.0042686965615897,0.0006081879909685
31,0.0013231094704846,0.0042239353986656,0.0025338838963378,0.0060315470961753,0.0061862881781168,0.0061938849747956,0.0025223827030575,0.0010485325838621,0.0016044864267942,0.0009580529340441,0.0010348640208604,0.0008010945538396,0.0008575141586078,0.0088933010187205,0.0036556677880715,0.0021868229110845,0.0009974848753515,0.0019921605617278,0.0013608949458183,0.0012241497953759,0.0004748311496004,0.0014983643576025,0.0026045023012793,0.0013584781289801,0.0022477732465489,0.0011472934550257,0.001707014163283,0.0009365329369832,0.0007891115065039,0.0102749738138433,0.0021313936316765,0.0010541446854041,0.0006239956965962,0.0035559367101233,0.0004651040020163,0.0208891574753533,0.0014329432353688,0.001461785386716,0.0038685219891194,0.0009617929413862,0.0005674920124287
32,0.0018611048416348,0.0136368319651784,0.0007830814058277,0.0084233446185556,0.0015166896520607,0.0013705181901161,0.0021616872874827,0.0024453972157924,0.013257579830768,0.0013345932865507,0.0015257100442877,0.0053549940557869,0.0053547013845242,0.0012502126401415,0.0039526908802124,0.0019695459149537,0.0010218292968378,0.0043433164484936,0.0016229912223686,0.0255135748455711,0.0096500478470263,0.0008724366677502,0.0037580332650765,0.0022583570290342,0.0019193135037286,0.0013004095317822,0.0078708573782778,0.0011705829626832,0.0031751676625922,0.000914023452365,0.0163943010706445,0.0035476893442837,0.0003912923631852,0.002981139123924,0.0025006441275462,0.001870272882933,0.001996254019761,0.0037462058995702,0.0018492399172646,0.0036457990725207,0.0005414452647161
33,0.000831228552495,0.0023946508314652,0.0009692245127176,0.00728892602176,0.0057696023969337,0.0080217345133332,0.0011494025260182,0.0035238351332645,0.001541719828669,0.0013346455730202,0.0016503587171457,0.0010095321650137,0.00099805688408,0.0079202251104544,0.0042497139723534,0.0018150923458848,0.0007653179520513,0.0019097588885369,0.0013180269807372,0.0015607923722044,0.0005690508883051,0.0014019263428017,0.0022424716278519,0.0014395792819056,0.0024154805357293,0.0014535256085387,0.0023646571414485,0.0009049462630055,0.0009936939005761,0.0055396334469289,0.0007290764346434,0.0038286644486004,0.0008030650539559,0.0015024321549583,0.0005637801887844,0.002579724497959,0.0007344273698901,0.0070490303351641,0.0099885202752707,0.0007196355530656,0.0005817786122552
34,0.0010131106445037,0.0141563253176619,0.0006844978102386,0.0068719050823406,0.0008442543142339,0.0013268654941483,0.0021371471837043,0.002837518844984,0.0116042331453119,0.0014409191411865,0.0017750073900037,0.0041623801818153,0.0059230075964278,0.0019407743141003,0.0043742461033727,0.0019548766512286,0.0012206880607908,0.0028657088061696,0.0013867949082482,0.0187562723665023,0.0049957366484427,0.0008973200713978,0.0074317109174465,0.0023952261759038,0.002443539337451,0.0014511015832027,0.002412852540407,0.0012540811174822,0.0036841518413219,0.0026960979857608,0.0147505481806641,0.0041096395529172,0.0003812394940152,0.0033772198917942,0.0005404788255235,0.001845373699168,0.0022566882342625,0.0039404634783653,0.0018476279661659,0.0045744948930237,0.0006770943731293
35,0.0011949927365123,0.0026425809689043,0.0009793953184865,0.0075784355484834,0.0055582275553833,0.0126141102173945,0.0014464250998998,0.0037634738368542,0.0014294393721902,0.0007909644727443,0.0018578296482877,0.0009573510371871,0.0008703638712741,0.0080512268194921,0.0044987782343921,0.0017568393688386,0.0008952161311169,0.0019009354765902,0.0012680816807233,0.0011667399244399,0.0005369384365226,0.0013940192096818,0.0019268858788218,0.0015503059854908,0.0018456174540177,0.0014486775578667,0.0027198693097266,0.0009512717975357,0.0009915732520213,0.0070134018049765,0.0006862353370424,0.003501432376353,0.0008290491677352,0.0014909148736577,0.0005171774622627,0.0021532777197267,0.0007357425742403,0.0073073885551939,0.0101880016472799,0.0008254320251656,0.0005385090080121
36,0.0011380877371622,0.0030456990844739,0.0010206852204904,0.0081337939887338,0.0066719627453371,0.0179076123672644,0.0015995010100067,0.0036938643919804,0.0011721229374306,0.0008082352357435,0.0024704699340451,0.0008407136151603,0.0009393301229986,0.008993726107415,0.0034722902215563,0.0013562047472732,0.0008248658094524,0.0015952107636005,0.0013971238964647,0.0081729834712056,0.000508703089343,0.0012142347530732,0.0019523134425029,0.0014565535344218,0.0018396786042531,0.0011187572150549,0.0022052671167291,0.0009231580117232,0.0009039240426873,0.0065283509025119,0.0006453024517521,0.0030750578934704,0.000904896138865,0.0011613186747942,0.0005924007060185,0.0022712742525961,0.0008092025353206,0.0078330969972574,0.0112719607816564,0.0008189068154906,0.0006289981338215
37,0.0015423816572011,0.0167595674807588,0.0005896234616755,0.0085424034699592,0.0013707129358092,0.0021710037574758,0.0026629502106027,0.0037493688939849,0.0089487937938107,0.00139811699067,0.0030831102198025,0.004150834346286,0.0009554173652848,0.0026818637143703,0.0036224041020665,0.0027323939584521,0.0015110993814535,0.0026763635822929,0.0015787655730493,0.0151792270179714,0.0070927594089427,0.0009738524061129,0.0057289056556618,0.0025551055858676,0.0024371495525976,0.001167455671763,0.0079727978455428,0.0010574530086022,0.0052299189760164,0.0044730402322456,0.01650468712123,0.0026486834105879,0.000363248792888,0.0032228186768866,0.0018167564363162,0.0025833555937981,0.0012059130423968,0.0023802760944298,0.0017726272594746,0.0045701175176148,0.0006736220005296
38,0.0010262992368002,0.0035391467202595,0.0010370043992123,0.0084292882101039,0.0065725946170443,0.0177477091848668,0.0013580191638495,0.0038048733959893,0.0013742924050484,0.001455111472565,0.002682419926987,0.0008273619388017,0.0009715046075709,0.0074053869785799,0.0037725179825766,0.0018885607407922,0.0008846902830062,0.0021035356750656,0.0011400823313769,0.0015117631776928,0.0005926813828121,0.0011714483840641,0.0021733280281609,0.0014263221096983,0.0014660320596767,0.0012161541284711,0.00262235230313,0.0009794013469929,0.0009711663917171,0.0076264960722989,0.0007314202008449,0.0024531606691169,0.0009893166934006,0.0007711562500721,0.0001833384405144,0.0016786870057381,0.0009031973698983,0.0078152766092847,0.0106748103978858,0.0008277493629726,0.0006307194443996
