,12,12.1,12.2,6,6.1,6.2,6.3,3,3.1,3.2,1.5,1.5.1,1.5.2,0.75,0.75.1,0.75.2,0.75.3,0.38,0.38.1,0.38.2,0.38.3,0.19,0.094
27,0.1442796412401819,0.001054483282574784,0.2140792656656435,0.1420592248401868,0.2329475986738627,0.2451042114649274,,0.08127817868555585,0.1505924894592492,0.1177419958825179,0.1165115368951779,0.07719029095229835,0.1109190069554545,0.06972468589503426,0.0004294219830850457,0.2204967685452816,0.0003365730042379192,0.07801390677259981,0.0963458816146782,0.1725133981833244,0.000393185777226836,0.1150693176729501,0.1119926190838685
30,0.1967490839818278,0.01748946036592976,0.2329778019625784,0.1684642804635287,0.2229270202269932,0.203939489655746,,0.08467808693916733,0.08752118583863648,0.1179726336125764,0.1208997870851302,0.03429348719090985,0.09740935934483475,0.07599032739236454,0.0003688968502554136,0.2265380039473122,0.0003616706051070025,0.07698900840953983,0.09812339232703689,0.166941164056289,0.0003953696189009377,0.119273081286253,0.0004227456100743552
32,0.2474592560986677,0.03392443744928474,0.2550401048986224,0.1652513344950228,0.2129064417801236,0.001893977677581347,,0.07112389767792406,0.02444988221802371,0.1117178293211342,0.1301890716258968,0.0731363591684823,0.06381756738246758,0.08351652036739209,0.03104278421879704,0.2140306690015058,0.03620781357628702,0.07594122391762294,0.07310068482419027,0.1697986820895803,0.0004616263551083333,0.1225543597743287,0.01356286891669055
35,0.2205115373902382,0.000997160739159141,0.2526233281063334,0.1620383885265169,0.2550472821757889,0.2305221041235543,,0.08034065325963617,0.1515932754864819,0.1171304778521215,0.1111668403406933,0.07278678039914657,0.04297330306699013,0.06824125810434498,0.0007575901804408693,0.1620249180914802,0.000542034667095772,0.07619734240732834,0.06794233618230186,0.1840768664768331,0.0003333523553249666,0.1421992737402419,0.02670299222330673
38,0.2147246268161474,0.001002447381503991,0.1543734302996457,0.158825442558011,0.238064221259238,0.2183190493137052,,0.00331588793603582,0.1635828190886009,0.1328353502545469,0.1095707774272701,0.06876798627430006,0.04219269835413525,0.087138155363248,0.0004384298286029067,0.2117198655327063,0.04824717022441354,0.001188144507457074,0.07243740523228573,0.1753800799381652,0.0003364686465804713,0.1243901047136987,0.03984311552992292
40,0.1057875609471935,0.001147163915431012,0.2819650675699145,0.1759200703241181,0.2667537734810771,0.2129113177651807,0.08899662079376913,0.07045121796549825,0.1948558609825663,0.1391962908681672,0.1054611543374933,0.06474919214945356,0.008318863283540472,0.07636568981335605,0.003317311326015961,0.02243446475937298,0.04468670140945962,0.08017737238534299,0.05839636540879704,0.166142860305345,0.0003949578691791087,0.1266124217845804,0.03193193706690572
43,0.2421882706794056,0.01727127284840348,0.1846612539063271,0.1729925823709484,0.001427140609468114,0.2210187039038935,0.09935833405172316,0.06767789114289544,0.1824857943371873,0.1624242132576949,0.07507278412683871,0.0550563955236649,0.001302295778372102,0.06166797377845033,0.0004128890993410292,0.2123726650220659,0.0008622701497680655,0.07935819168503669,0.06743938922247959,0.003009515425876984,0.0005108545234815341,0.1252141171936961,0.02402075860388851
45,0.2219229693868638,0.03339538178137594,0.1775290639222167,0.1833579971711669,0.1699131015176197,0.08406760109722958,0.1181655444142273,0.08056218825207641,0.1998659782025206,0.1287844925348621,0.0745121603932907,0.05851716464482552,0.0007619560396431848,0.06913937578853888,0.000613219970642155,0.08898887095009911,0.04406317006061068,0.07855153975823989,0.07251001692019429,0.1767422543072491,0.0004693141319795325,0.1174567149352327,0.01610958014087131
48,0.1901431318192383,0.03283200571884575,0.1864516787334732,0.1581333550146399,0.1367080605448137,0.1752028414854389,0.1178028475087154,0.09844303197315116,0.174416128685784,0.1443129947803168,0.07395153665974268,0.0609212269996271,0.0006715511871597423,0.07964527317784666,0.000429870599592908,0.1927258957922433,0.04825526615373427,0.08533446283010442,0.07758064461790898,0.1954307800980727,0.0004095748439480042,0.1332314725783219,0.0081984016778541
51,0.1887023733804607,0.008468760148081638,0.1856630878268417,0.1780694018866393,0.21555785261187,0.08562708450135223,0.1174401506032035,0.07771502877133461,0.001236455147869102,0.1337520012162713,0.07142854574385937,0.06332528935442869,0.002518433976891588,0.0712178392397445,0.0004911611326786597,0.1808229021839472,0.04725907980317667,0.09211738590196894,0.07547147825327101,0.1775857529741207,0.0004614676380336777,0.1314826769932643,0.0002872232148368969
53,0.1573507440454777,0.001016767900641911,0.1471370126073741,0.1875515386735285,0.1705673776732045,0.07392503631411115,0.1170774536976917,0.08262085690144752,0.2047688516083587,0.08959330717881116,0.0777029033443615,0.06595410406694009,0.004365316766623434,0.07531658494672026,0.000473575216321135,0.2459763132187945,0.04331664316798413,0.07568959859228405,0.07498616376684966,0.1527006589094766,0.0004790673661886947,0.1334034081695941,0.0003523391223563708
56,0.1587237656549372,0.001026935649207321,0.1407241518638422,0.1845340999069238,0.166680126317772,0.06929299851249386,0.1167147567921798,0.0714101265374275,0.1555033253342604,0.1207037671813018,0.08805989773669391,0.06730030130966223,0.04280242209178255,0.08285661762651818,0.0005385144427888517,0.09843530774802206,0.04318820675178946,0.06787453991751313,0.06154672104412432,0.2111323380132224,0.0003889919662158973,0.1147482694861936,0.0002966200209915078
59,0.1208562516616255,0.03843491100178928,0.08157045117153082,0.1962620052660043,0.1960514380557996,0.08171198390243099,0.1033487149540371,0.08511159882677942,0.1062377990601621,0.1353662301145617,0.0809728303484554,0.06864649855238437,0.04881042531289703,0.08329318361567226,0.0004247381932327164,0.2472882194249327,0.05520820219679437,0.07967605529571677,0.05994942977169899,0.1909702887146394,0.0003843041563260528,0.1260360775969525,0.0003761729732908301
