,12.1,12.2,12,6.3,6.2,6,6.1,3,3.2,3.1,1.5,1.5.2,1.5.1,0.75,0.75.3,0.75.1,0.38.2,0.38,0.38.3,0.19,0.094
53,0.0206688367383659,0.1619747137121765,0.1708786566560391,0.1100230556276952,0.1092493876677527,0.1771558130932709,0.1858747208000335,0.0786419563258196,0.1286046932120265,0.171931112400695,0.0844947202538018,0.0288143464542464,0.0640407714817021,0.0752916722606693,0.0459652506489605,0.0013505538574945,0.1843919058166659,0.0762759252955302,0.0004338030627481,0.1265567667697276,0.0070723771280523
56,0.0222858934339364,0.1561913774040216,0.1621244499832756,0.112730866934928,0.0921457485387057,0.1774791374243773,0.1820818508436263,0.0797008464722736,0.1268295717395045,0.1699415318841129,0.0852350726262462,0.0344977710643795,0.0641809941663207,0.0751600347383539,0.0463243290855691,0.0009257311497417,0.1852825299332555,0.0747039390274105,0.0004301065466109,0.1267191527021179,0.004458539043361
59,0.0231023234486593,0.150935912342528,0.1544043699806549,0.114724024022169,0.0784195454726609,0.177191716032345,0.1806588923828365,0.0810735597185711,0.124767231964182,0.1674446900235179,0.0872312540836253,0.0418715461250335,0.0642265657049298,0.0746664045028599,0.0466332376086684,0.0005249164486767,0.1858481999654846,0.0732553068839875,0.0004236450963045,0.1268887573231013,0.002505851412568
61,0.0235172236914829,0.1462180436021654,0.1482568395045654,0.1158739205758019,0.0689511131569417,0.1763905058378615,0.1802594651367462,0.0826508521187109,0.1227312917837293,0.1650440036571257,0.0899494985387169,0.0496782555248013,0.0639939814403765,0.0735275465825595,0.0467584774631704,0.0004214314442686,0.1861752005320687,0.0720620164739526,0.0004167986961887,0.12706442570746,0.001268610596615
64,0.0236987555451669,0.1419862458064144,0.1438720093530845,0.1167335759103995,0.0621136690386225,0.1752328670232829,0.1797364617080623,0.0842824995016176,0.1206644024181408,0.163291769382265,0.0928751121779735,0.0570429531133528,0.063511488726072,0.0714139264183994,0.0466755553123807,0.0004172381857412,0.1864443809121219,0.0712126428758334,0.0004123495685739,0.1272341492250849,0.0006563651862357
66,0.0235183279363562,0.1385270712991771,0.141271469588379,0.1178511535729566,0.0568319096107792,0.173833975430549,0.1788025287395741,0.0859428278163612,0.1185591494533517,0.1628906629429235,0.0957421396611878,0.063665109206747,0.0629296948420882,0.0683889359415848,0.0464596487907894,0.0004171839217126,0.1864753938721886,0.0708165120374062,0.0004103375933679,0.1275202910582981,0.0004619930254166
69,0.0226286367386211,0.1361336540554598,0.140259847501675,0.1193848703145402,0.0528248845726812,0.1723794242062066,0.1778467073311642,0.087648192592395,0.1165690572529051,0.1637784578965181,0.0984421555056906,0.0693951404762959,0.0622285600007287,0.064570513857904,0.046200487715119,0.0004201916050791,0.1862173317051957,0.0708133100845775,0.0004093226383366,0.1280440718288365,0.0004438922300228
72,0.0207429170940501,0.1346273601998969,0.1406658318303443,0.1213877744820046,0.0496479659259368,0.1710065442033395,0.1771669622732139,0.0893926134969631,0.1146577448734554,0.1653463476729915,0.1009092815263715,0.0741363382601153,0.0614373365420994,0.0597423494284089,0.0458551597264155,0.0004244404410086,0.1857508266230732,0.0710019631966117,0.0004088081623243,0.1287529760018607,0.0004540412237792
74,0.0179851261868582,0.1336354381323436,0.141791362670889,0.1237388119574234,0.0472189299120313,0.1698106596951487,0.1764938655181844,0.0911909171763824,0.1127152762658071,0.1661396555350194,0.10292705390221,0.0779199257174686,0.0606302310269932,0.0538571222552931,0.0453396500977693,0.0004288636607886,0.1854317226786188,0.0713652340202754,0.0004083868509141,0.1295550478082803,0.0004580244119295
77,0.0148103268920811,0.1333719622963148,0.1428386014576889,0.1261698476131278,0.0456228374172929,0.1689869819945501,0.1759348467246231,0.092879984319829,0.1103150531569299,0.1653277704091845,0.1042596266896754,0.0808915055130244,0.0598711119991722,0.0471883434054838,0.0446997250836332,0.0004330530506328,0.1854138657870084,0.0721516363545814,0.000406133835203,0.1303225639560133,0.0004536725220196
80,0.0120116884126805,0.1345461335434987,0.1423476835350475,0.1284066250056435,0.0457275787776938,0.1692923367038617,0.176414995264807,0.0938115350000562,0.106236595078683,0.1634322498546354,0.1041631771099301,0.0826963299781435,0.0596263534534118,0.0394905067270277,0.0440342398875273,0.0004315121510799,0.1860195156643908,0.0736954055297279,0.0003994158250358,0.1313348046764809,0.0004384632685741
82,0.0092515957201981,0.1359409069527734,0.1417023295655885,0.1306102277023365,0.0458490373261625,0.16997349911072,0.1769264817978535,0.0945986009001318,0.102043303819842,0.1621843105529727,0.1038159944870747,0.0844068069580328,0.0595443302995398,0.0319538510709134,0.0434029970034066,0.0004292117466339,0.186626114925928,0.0754393228680232,0.0003916569547471,0.1325133314058034,0.0004243045835006
85,0.0064736402684787,0.1373664155931068,0.1409887214345896,0.1328511037373635,0.0459954863715161,0.1707779339708997,0.1774831397810387,0.0953014506420558,0.0978987877530922,0.1610077528050607,0.1034006655959955,0.0861474435980341,0.0595375113809467,0.0244082544942741,0.0427841665849214,0.0004266923679216,0.1872359596464694,0.077198126988364,0.0003841756570208,0.1337342524003249,0.0004104084139428
88,0.0037057438666256,0.1387901262568878,0.140187316940115,0.1351188634878473,0.0462033271582674,0.1716496840193913,0.1780975237671818,0.0959334741025109,0.0937475856332048,0.1597213497487913,0.1029433487226437,0.0878987742122767,0.0595684524801985,0.0167896617858712,0.0421797868055938,0.0004237848548463,0.1878685248644932,0.0789144732650735,0.0003766464160909,0.1349507761185668,0.0003965238903264
90,0.0009826362248381,0.1402279060995212,0.139283690411809,0.1373974283901139,0.0464904170719842,0.1725604681911585,0.1787616335266047,0.096492667733737,0.0895409453726701,0.1582752601937678,0.1024141939854014,0.0896117617016119,0.0596300985678206,0.0090702485842593,0.0415956339325037,0.0004202471384216,0.1885308925139378,0.0805844743535936,0.0003686140718297,0.1361552969458212,0.0003825089649379
93,-0.0016657817152169,0.1417250079532628,0.1382521816676243,0.1396719116126517,0.0468632071596607,0.1735323121444154,0.1794646075836115,0.0969796307799904,0.085238293124249,0.1566741734172635,0.1017538260155719,0.0912442578614091,0.0597271806236767,0.0012670839790658,0.0410376423479067,0.0004159448943124,0.1892221789464155,0.0822328349310341,0.0003599088853756,0.1373628262826409,0.0003682358461771
96,-0.0042201497910202,0.143329953879658,0.1370764372280019,0.1419306627499202,0.0473245569461013,0.1746147455585514,0.1801903008581389,0.0973922129801341,0.0808134181257989,0.1549759465776242,0.1009097173902126,0.0927697329521418,0.0598665781426545,-0.00657997109025,0.0405109422802771,0.0004107934275965,0.189932352484084,0.0838942798244301,0.0003504710419806,0.1385887292595112,0.0003538632589048
