,12,12.1,12.2,6,6.1,6.2,6.3,3,3.1,3.2,1.5,1.5.1,1.5.2,0.75,0.75.1,0.75.3,0.38,0.38.2,0.38.3,0.19,0.094
53,0.17087865665603913,0.020668836738365906,0.1619747137121765,0.17715581309327091,0.1858747208000335,0.10924938766775276,0.11002305562769528,0.0786419563258196,0.17193111240069506,0.12860469321202658,0.08449472025380188,0.06404077148170213,0.028814346454246444,0.07529167226066932,0.0013505538574945359,0.04596525064896052,0.07627592529553029,0.18439190581666598,0.0004338030627481095,0.12655676676972766,0.007072377128052385
56,0.1621244499832756,0.022285893433936492,0.15619137740402161,0.1774791374243773,0.18208185084362635,0.09214574853870575,0.11273086693492808,0.07970084647227364,0.16994153188411298,0.12682957173950454,0.08523507262624623,0.06418099416632071,0.03449777106437951,0.07516003473835392,0.0009257311497417441,0.04632432908556913,0.07470393902741056,0.18528252993325553,0.0004301065466109481,0.1267191527021179,0.004458539043361013
59,0.1544043699806549,0.02310232344865934,0.15093591234252807,0.17719171603234501,0.18065889238283656,0.07841954547266096,0.11472402402216902,0.08107355971857112,0.16744469002351794,0.12476723196418209,0.0872312540836253,0.06422656570492982,0.041871546125033535,0.07466640450285998,0.0005249164486767033,0.04663323760866843,0.07325530688398757,0.18584819996548463,0.00042364509630456534,0.12688875732310131,0.002505851412568007
61,0.1482568395045654,0.02351722369148296,0.14621804360216545,0.1763905058378615,0.18025946513674626,0.06895111315694176,0.11587392057580197,0.08265085211871094,0.16504400365712574,0.1227312917837293,0.08994949853871691,0.06399398144037659,0.04967825552480139,0.0735275465825595,0.00042143144426869545,0.046758477463170404,0.0720620164739526,0.1861752005320687,0.0004167986961887744,0.12706442570746004,0.0012686105966150016
64,0.1438720093530845,0.023698755545166927,0.14198624580641447,0.17523286702328295,0.17973646170806237,0.06211366903862258,0.11673357591039951,0.08428249950161762,0.163291769382265,0.12066440241814086,0.09287511217797353,0.06351148872607201,0.057042953113352876,0.0714139264183994,0.00041723818574123924,0.046675555312380775,0.07121264287583345,0.1864443809121219,0.00041234956857392373,0.12723414922508494,0.0006563651862357281
66,0.14127146958837905,0.023518327936356224,0.13852707129917713,0.17383397543054904,0.17880252873957417,0.056831909610779205,0.11785115357295667,0.08594282781636128,0.1628906629429235,0.11855914945335175,0.09574213966118786,0.06292969484208827,0.06366510920674706,0.06838893594158482,0.00041718392171269717,0.046459648790789454,0.07081651203740628,0.1864753938721886,0.00041033759336797307,0.12752029105829812,0.00046199302541668943
69,0.140259847501675,0.02262863673862117,0.13613365405545985,0.17237942420620667,0.1778467073311642,0.05282488457268126,0.11938487031454029,0.08764819259239501,0.16377845789651818,0.11656905725290512,0.09844215550569069,0.062228560000728794,0.06939514047629597,0.06457051385790408,0.00042019160507918683,0.046200487715119025,0.07081331008457753,0.18621733170519572,0.0004093226383366891,0.12804407182883654,0.00044389223002284635
72,0.1406658318303443,0.020742917094050187,0.13462736019989696,0.1710065442033395,0.1771669622732139,0.0496479659259368,0.12138777448200469,0.08939261349696319,0.16534634767299158,0.11465774487345548,0.10090928152637157,0.06143733654209948,0.07413633826011536,0.0597423494284089,0.0004244404410086283,0.04585515972641556,0.0710019631966117,0.1857508266230732,0.00040880816232431223,0.12875297600186075,0.00045404122377924185
74,0.141791362670889,0.01798512618685829,0.13363543813234366,0.16981065969514875,0.1764938655181844,0.04721892991203134,0.12373881195742342,0.09119091717638242,0.16613965553501947,0.11271527626580717,0.10292705390221009,0.060630231026993206,0.07791992571746863,0.0538571222552931,0.00042886366078867365,0.045339650097769364,0.07136523402027545,0.1854317226786188,0.0004083868509141183,0.1295550478082803,0.0004580244119295701
77,0.1428386014576889,0.014810326892081118,0.13337196229631487,0.16898698199455017,0.1759348467246231,0.04562283741729295,0.12616984761312786,0.09287998431982908,0.16532777040918453,0.11031505315692998,0.10425962668967544,0.0598711119991722,0.08089150551302442,0.04718834340548386,0.00043305305063289146,0.04469972508363328,0.0721516363545814,0.18541386578700844,0.0004061338352030665,0.13032256395601338,0.0004536725220196226
80,0.14234768353504754,0.012011688412680502,0.13454613354349873,0.16929233670386173,0.17641499526480708,0.04572757877769388,0.12840662500564354,0.09381153500005622,0.16343224985463545,0.10623659507868309,0.10416317710993017,0.05962635345341181,0.08269632997814359,0.0394905067270277,0.00043151215107994494,0.044034239887527346,0.07369540552972792,0.18601951566439082,0.0003994158250358903,0.13133480467648098,0.0004384632685741704
82,0.14170232956558854,0.009251595720198123,0.13594090695277342,0.16997349911072007,0.17692648179785359,0.04584903732616258,0.1306102277023365,0.09459860090013182,0.16218431055297278,0.10204330381984203,0.10381599448707476,0.05954433029953984,0.08440680695803283,0.03195385107091345,0.0004292117466339322,0.043402997003406614,0.07543932286802321,0.18662611492592807,0.0003916569547471077,0.13251333140580343,0.0004243045835006915
85,0.1409887214345896,0.006473640268478758,0.13736641559310686,0.17077793397089977,0.1774831397810387,0.04599548637151618,0.1328511037373635,0.09530145064205582,0.1610077528050607,0.09789878775309223,0.10340066559599553,0.05953751138094675,0.0861474435980341,0.024408254494274112,0.0004266923679216904,0.04278416658492148,0.07719812698836404,0.1872359596464694,0.0003841756570208444,0.13373425240032497,0.0004104084139428118
88,0.14018731694011505,0.0037057438666256936,0.1387901262568878,0.17164968401939135,0.17809752376718185,0.046203327158267464,0.13511886348784735,0.09593347410251099,0.15972134974879135,0.09374758563320484,0.10294334872264378,0.05956845248019855,0.08789877421227674,0.016789661785871202,0.00042378485484638635,0.042179786805593894,0.0789144732650735,0.18786852486449324,0.0003766464160909038,0.13495077611856685,0.0003965238903264138
90,0.139283690411809,0.0009826362248381976,0.1402279060995212,0.1725604681911585,0.17876163352660476,0.04649041707198421,0.13739742839011398,0.09649266773373705,0.15827526019376786,0.08954094537267016,0.10241419398540146,0.059630098567820686,0.08961176170161195,0.009070248584259376,0.0004202471384216729,0.04159563393250377,0.0805844743535936,0.18853089251393784,0.0003686140718297226,0.13615529694582126,0.000382508964937929
93,0.1382521816676243,-0.0016657817152169454,0.14172500795326282,0.1735323121444154,0.17946460758361152,0.04686320715966079,0.1396719116126517,0.09697963077999043,0.15667417341726353,0.08523829312424903,0.10175382601557191,0.05972718062367676,0.09124425786140919,0.0012670839790658672,0.0004159448943124456,0.04103764234790679,0.08223283493103414,0.1892221789464155,0.00035990888537563135,0.13736282628264096,0.00036823584617716747
96,0.1370764372280019,-0.0042201497910202565,0.14332995387965808,0.17461474555855144,0.18019030085813892,0.04732455694610135,0.14193066274992022,0.09739221298013417,0.1549759465776242,0.08081341812579897,0.10090971739021261,0.05986657814265455,0.0927697329521418,-0.006579971090250092,0.0004107934275965432,0.04051094228027718,0.08389427982443014,0.18993235248408402,0.00035047104198064383,0.13858872925951127,0.0003538632589048184
