,12.0,12.0.1,6.0,6.0.1,6.0.2,3.0,3.0.1,1.5,1.5.1,0.75,0.75.1,0.75.3,0.38,0.38.2,0.38.3,0.19,0.094
27,55.84454579464544,40.60987695877966,28.408597328190485,45.69166783122434,28.86933734083511,46.1439583809475,39.482210864989185,42.869715592482656,31.417124997719284,20.1251878865922,39.03730417226933,39.88883322970322,6.546393043144861,4.938469668644903,25.993755012702934,26.65926360727123,14.505810339135119
30,57.00665028624083,43.51145449862248,32.268007737540536,48.6422712725649,32.057185502270144,46.889317425328116,42.592399945610666,45.90270945094067,35.08286072818826,24.63730868219257,41.385298344398635,41.392880890023896,8.258712018792588,6.1997788155515785,27.16856585421496,27.697364290285215,16.198218777547027
32,58.357584271963546,46.100757270483264,36.16570279906732,49.9068465294166,35.39385636505409,47.41625994489108,44.76512590070772,46.6833867479489,38.2071622065037,28.487575151272697,43.83523559924078,42.72872762564756,10.242584963060715,7.696439820870166,28.003082160030143,28.68057654051392,18.069174160731464
35,59.95454350700548,48.58588585421567,39.97179941310271,50.7525896656044,38.816961776635814,47.807123801759765,46.80213973935584,47.19272577590739,40.80082136065668,32.55345312562871,46.034855136828575,44.07804069282426,12.517858656987766,9.481020224084162,28.747156476875762,29.576761617838528,20.003805585212405
38,61.76043357773731,51.05896738692934,43.88634582365443,51.56897501039063,42.27230192249594,48.12768755571934,48.74013331909192,47.520853261350055,42.96178686388116,37.983757074393104,47.868113050894394,45.57815848267152,15.153826668725973,11.370347406129499,29.466715018629582,30.377014349934477,20.978288600614416
40,63.63778475632594,53.57758553171818,48.45857932493874,52.42610162864796,45.63013939491663,48.38201597216268,50.52849197629491,47.69776635311219,44.78134476565633,44.497048705906764,49.3815632454317,46.911978419285404,17.381175870402416,13.01961880926614,30.18791160423817,31.087499009857122,20.61912158801414
43,65.52074277799137,56.13784615330489,53.54925342201144,53.34420461013102,48.744197739197354,48.56047029269077,52.091930613830485,47.73810806726219,46.33584508022105,47.904091856467595,50.601770376870824,47.12659206491915,18.91967494343168,14.447370096831685,30.638441619053733,31.711467777948698,20.42192404640803
45,67.46056339912576,58.696835448831436,55.580813345366934,54.30277959191759,51.61960810310787,48.66706780443199,53.43698465451939,47.64815701442612,47.58927224806572,49.11973925220926,51.360388457325996,46.965854492401455,20.504488902684194,15.743769162332864,30.503705123110805,32.24217409895524,20.905098280120736
48,69.50604263570351,61.24225398699563,56.382805832340296,55.28363910929025,54.35098518324812,48.72046446920793,54.61887720276199,47.449362804484,48.273634608361476,49.7101513464662,51.45990780798074,46.780153369188646,22.068011094805293,16.892875870799315,30.174176712737783,32.67438291445415,21.702953590379796
51,71.4863469357953,63.791794415277316,57.20735908791123,56.288494532043224,57.0137815385764,48.73886618898326,55.6814638016976,47.230873691810125,48.380558894833406,49.85959814054113,51.123830755394515,46.55509899329936,23.462587612087756,17.89688651089838,29.8211289842733,33.008718180577596,22.453032305680892
53,73.15962187369836,66.33251348027126,58.0834850767618,57.329823435015015,59.58735361363851,48.72134786552585,56.63952600263072,47.02195127630789,48.1934213963317,49.609049233001905,50.72097538565567,46.29248641459997,24.869518124212117,18.81995298483163,29.491976987098514,33.242703866298335,22.719137944042984
56,74.50125182295737,68.76114934886355,59.01511394708411,58.41211565592474,62.00920937281028,48.669500814335386,57.49144998995355,46.83201907274125,47.84313867758479,49.05542877473051,50.379117007490855,46.006345154447075,26.508955404868445,19.49185735585768,29.22040149998607,33.38485642559138,22.317635677313366
59,75.58796834297448,70.91529884974,59.98595561585708,59.5139935746579,64.21436589525258,48.58933695134671,58.219897801985574,46.67193890239377,47.34306264748182,48.358205319782826,50.10882593429849,45.70770251265486,27.308462592887288,19.334175736958922,29.00018916211656,33.46231096938727,22.095673849765603
61,76.43036905110003,72.69589122033932,60.97367655405558,60.59071173152635,66.12809883096894,48.478428845635456,58.7953471731268,46.54159507120721,46.754308090543645,47.5656534960671,49.873261152291086,45.40032496436849,26.584236721968633,18.412320187781383,28.812002284959185,33.4942574057423,22.268867928757636
64,77.00845000007193,74.09436020239282,61.963847915551355,61.60237320345753,67.74689046538288,48.33982680077087,59.20542598379162,46.432111624057654,46.1495940179727,46.70306351763428,49.64470805248325,45.07951111383041,25.540431929908525,17.30659909779346,28.643844979977313,33.47703273849884,21.939643824724033
66,77.37533312849783,75.16280379576749,62.94751053201913,62.53676848893712,69.16998926714888,48.19100840123597,59.49690346562,46.32815289798353,45.53455214971615,45.80367539515434,49.443475884444155,44.75603358020075,24.506311053007902,16.205736456820613,28.49283030191714,33.41405151858697,21.20793134265844
69,77.61364050314899,75.99411283515776,63.914967923076794,63.384988156248035,70.47454633299941,48.05720357580576,59.73040436238623,46.22598864901195,44.88180803648409,44.901689353245345,49.26482797403543,44.452330117869735,23.478435444186843,15.139519619806869,28.387815178575437,33.3157855906202,20.307842827665
72,77.77147496942733,76.66059968843074,64.85464063975373,64.14689545542244,71.67050462971537,47.948371032821626,59.94423611258437,46.127702528474785,44.195897648908684,44.05192589807711,49.07326683094413,44.18329743731998,22.44603994887835,14.122129732996237,28.362782073186946,33.179764755265595,19.350371560121708
74,77.8808390862776,77.20629912959062,65.74275314775858,64.82003741269602,72.75286372151186,47.85930437730013,60.15584390690478,46.02980604480427,43.50413902665835,43.33988097607647,48.860045988494946,43.982043288468184,21.42577792784748,13.197750871756904,28.43062557398389,33.01426195118492,18.38284438108582
77,77.96332497201742,77.64772816525735,66.55002298668049,65.40613628154198,73.6996430330228,47.78179496883637,60.372839940323125,45.9342470211758,42.83568516483171,42.81707656715781,48.65243048058624,43.866520463986724,20.45264710756068,12.381251379915449,28.56651081419083,32.829868604059925,17.463933806253156
80,78.05641894065562,77.89473724047748,67.1544897257962,65.85155775749095,74.29650155421407,47.7390184901161,60.626613040468925,45.81302562716695,42.24989583416663,42.70244119402566,48.52405002091347,43.895855574967236,19.580634361734308,11.695729216597309,28.766842791412532,32.57854621894961,17.100694260063015
82,78.1528305956141,78.12731310447916,67.74336866630934,66.29081239024745,74.87765585001662,47.69669119742512,60.887067110465225,45.685015600379685,41.67741165628581,42.591738507943475,48.41911507669493,43.92747043978092,18.74443954449937,11.005113162632927,28.969547703313708,32.32537153217987,16.72785561199995
85,78.25031594747713,78.35199082062151,68.32179862174127,66.72565917587434,75.43934618007835,47.6565809971016,61.15211698831309,45.55232678122326,41.10168713439932,42.48390753470559,48.3232671238735,43.964743625160686,17.910542579417292,10.318694532898599,29.17269145629887,32.067925462458206,16.37685938463441
88,78.3497010103534,78.56806915689523,68.88823419529949,67.15462895929505,75.97967434496864,47.62082353186583,61.42031118434847,45.415677449606534,40.521908375669184,42.393202721890916,48.231978288051636,44.01072670748176,17.073419877106826,9.64265744325025,29.379235631372655,31.80500833601794,16.08140159970897
90,78.45178507595105,78.77383955124071,69.44127456285338,67.57633499278512,76.49831016742779,47.59058956562207,61.690121333807916,45.275565445699534,39.941533614441994,42.33148112859441,48.144816554197554,44.06545541967496,16.236003484302213,8.979737978571462,29.59191310773671,31.536007840457962,15.861716687295152
93,78.55717974129692,78.96803833437224,69.9792311884845,67.99017095999825,76.99780389867504,47.566413269639675,61.96147659404727,45.13193766973242,39.36429122491349,42.30802972846276,48.06438859260853,44.1299589809592,15.405449520581726,8.330788541132993,29.812318467281443,31.26199015339047,15.729405957832963
96,78.6664606966886,79.15006103427092,70.50124561561532,68.39666365315698,77.48219208247627,47.548194168757824,62.23481438416374,44.98471688932641,38.79289897662358,42.32570134619775,47.99465847361407,44.20437250998094,14.589489567232455,7.694628145296324,30.04085579975755,30.984761687901443,15.681543270806326
