Time,2,2.1,2.2,1,1.1,1.2,1.3,0.5,0.5.1,0.5.2,0.25,0.25.1,0.125.2,0.125,0.125.3,0.125.1,0.0625.1,0.0625,0.0625.3,0.0625.2,0.0312,0.0312.1,0.0312.3,0.0312.2,0.0156.3,0.0156,0.0156.1,0.0156.2
35,0.10893586626058,0.0003687334108258,0.0389634932871371,0.013286905257211,0.0004999433211254,0.0412538735570079,0.0351538908034551,0.0557104035791528,0.0003495238789952,0.0006967713322309,0.0649481286654007,0.0795046366810235,0.141187453360068,0.1143961966743057,0.0637961260437429,0.0489244760127305,0.0838090321269601,0.0004735422220086,0.0228827416953219,0.0005437569694183,0.1763922133076934,0.0921921681761301,0.0785059928217115,0.0004979866223009,0.1803977738511221,0.1345266294302923,0.1360054697361607,0.068951933630943
38,0.1064085945329868,0.0038672257347712,0.0452136052477101,0.0005168886550936,0.0006356720723739,0.0424737459116379,0.0015074093556397,0.0520620364966551,0.0003104510081881,0.0006183485505396,0.1544580739714735,0.0862319337072035,0.1368341846342026,0.1249334868971428,0.0654789004207035,0.05365248113922,0.0734332621409,0.0003755291758541,0.0493332877444638,0.0004450759767834,0.1738805966515295,0.1011465415130534,0.076274902718445,0.0004169628074699,0.1679361103028485,0.1499828058131125,0.1236037981589979,0.0724055852587351
40,0.119818056241607,0.0004479497538416,0.0432524032125947,0.0269104559014645,0.0012509313109143,0.0414187622701929,0.0341215953264607,0.0535025579777796,0.000271378137381,0.0005592871452368,0.1346789724057455,0.08205061461631,0.1573321313666104,0.1090863532933845,0.0716068055353873,0.0455658104392527,0.0370081209977879,0.0320301669299641,0.0386233134814706,0.0004566871434559,0.193539419082948,0.0865809061103655,0.0745193766492636,0.0004124096837576,0.1521794016635587,0.1438217752225615,0.1502938535166047,0.0773236629278166
43,0.107822622663803,0.0004983287895165,0.0046288259376623,0.0004868054737178,0.0006419130926335,0.0398857417695184,0.0014097910962682,0.0570543788566394,0.000232305266574,0.0004805827999777,0.1393073062724327,0.0790088027596479,0.1374766308493206,0.1230352783953959,0.0621885221782554,0.0451794756667006,0.0696621463928768,0.0006120866797437,0.045349663023223,0.0004075885776929,0.1486965213962724,0.0860538459647261,0.0337612242681527,0.0004078565600453,0.1364226930242689,0.1329400267043459,0.1249764580266332,0.0814971223059081
45,0.1245815254777619,0.0004377821669903,0.0410928896093612,0.0005632229312694,0.0005625819599005,0.0415904125472949,0.0344088332073099,0.0581817188953717,0.0007146345715716,0.0004018784547186,0.1227813903908051,0.0896196797782061,0.1443170827302233,0.1078863342094583,0.0633645253062993,0.0393382164550633,0.0616225602629265,0.0400688174686168,0.0228930774916378,0.0004080883856912,0.1735733621952733,0.0903018267651165,0.0642949755819513,,0.1466790091968343,0.1478668692626786,0.1285500565550142,0.080807544387358
48,0.118260029251599,0.0004654887087053,0.0189627598546296,0.0005489555938438,0.0005979152037201,0.0424744829890558,0.0345554964211717,0.0549763064228674,0.0005306260841756,0.0005129703941743,0.1307549794060263,0.0826583997229605,0.1673461768400264,0.1076422700069704,0.0687075037055561,0.0431075774949189,0.0779187846010577,0.0399758919805152,0.0436098066048873,0.0003740176106288,0.1774332351979635,0.0855103089699765,0.062003767775975,,0.1557006798889532,0.145795418894688,0.1278878341134957,0.0324599415929723
51,0.1046548324308298,0.0004457196369925,0.0375135131133909,0.0006068850119495,0.0006818451861843,0.0410110473090083,0.0015571960501135,0.0518682272227592,0.0453156573780167,0.0004853360489418,0.1330562324091248,0.0812570610525122,0.1538046368872086,0.1076991826820833,0.0568436748695121,0.0007116124151651,0.0673014679485386,0.040884954722877,0.0447229798213646,0.0004451835641587,0.1611833670391283,0.0764771738501727,0.0656877373447099,,0.1457635060661763,0.1686174864929592,0.1254979539967964,0.0254748074480091
53,0.1135927543005234,0.0004161515422476,0.0389076251418222,0.0004990084962028,0.0005893523973262,0.0198512530192011,0.0028445798177215,0.0541182046113551,0.0431825241437678,0.0004577017037092,0.1445536437177266,0.0812870939108761,0.0653639047614362,0.1220479309951624,0.0669698959777861,0.0005877889062574,0.0760627615764122,0.0460589014462951,0.000652668468353,0.0005051392198889,0.1659681419182701,0.0781022024636973,0.067552821215306,,0.1403919855541731,0.1849304863745169,0.1452624443167374,0.041769799124916
56,0.1238120349485987,0.0004842834407004,0.0327145413135258,0.000556653136739,0.0006479814859837,0.0430700010147702,0.0017116199968493,0.0510398701712848,0.0406672338782648,0.0003472350802356,0.1402991275204342,0.0969056463668601,0.1573847372928026,0.1064900533439026,0.0629863064635894,0.0370769748794321,0.0774447716505909,0.0512328481697133,0.006598984930478,0.0004315554691054,0.1950558009566922,0.0748405152141006,0.0769281296980044,,0.1462234279416108,0.1559364708595912,0.1402839218451238,0.0340659835154764
59,0.1083568958949398,0.0007514173709105,0.0412532949339258,0.0005553342088704,0.0006586486396825,0.0397116543993497,0.0030148959245145,0.0502020424651682,0.0410228788389893,0.0005156923743114,0.1457977105808817,0.0838494547637587,0.1357026875990796,0.1016392061428665,0.0771517176426504,0.0492116644260973,0.0771935661272749,0.0464210041674626,0.0454938717083268,0.0004286569759948,0.1805974870087712,0.076254469262797,0.0782255277306371,,0.1458916340606578,0.1560716012263823,0.1455903254405786,0.0007002047652556
