Time,250,250.1,250.2,250.3,125,125.1,125.2,125.3,62.5.3,62.5.1,62.5,62.5.2,31.25,31.25.1,31.25.2,15.625.1,15.625,15.625.3,15.625.2,7.8125.2,7.8125,7.8125.1,3.90625.1,3.90625.3,3.90625,3.90625.2,1.95312.2,1.95312.3,1.95312,1.95312.1,0.976563,0.976563.1,0.976563.2,0.488281.1,0.488281.2,0.488281.3,0.488281,0.24414063,0.24414063.1,0.24414063.2,0.24414063.3,0,0.1,0.2,0.3
32,0.0027105934909481,0.0143942494547978,0.0013814154487247,0.0015571221130552,0.0008080917928546,0.0024684734373922,0.0069482071618035,0.0018996482502537,0.0137432288395258,0.0025095813658877,0.000802348818116,0.0020874905225467,0.0017654368982947,0.0068198913652685,0.0027503053051813,0.0007733371082847,0.0040133811486706,0.0017735094423899,0.0010801662388917,0.0021501875737973,0.0018595121329322,0.001596392464127,0.0010225527847162,0.0015666027586957,0.0011834015060354,0.0014362400048426,0.008133278987357,0.0047624423192627,0.0010103567331845,0.0013362587371416,0.0193842424894804,0.0054882231949452,0.0011802535395928,0.0007374613469,0.0018611048416348,0.000490135797747,0.0014062648030163,0.0040820534653317,0.0014114150477357,0.0084233446185556,0.0015166896520607,0.00203038027521,0.0011443000955249,0.0013705181901161,0.013257579830768
33,0.001377908819933,0.012564790499351,0.00170424637192,0.0013566835237739,0.0022679552546842,0.0026184191568805,0.0090695510079547,0.0031717317642557,0.0134016385083648,0.0014466990950453,0.0008608944421392,0.0022105323067506,0.0015591764710669,0.0062959420484002,0.0034775082102052,0.0008855140382151,0.0035346322356547,0.0018324563513021,0.0012513775563075,0.0014547971710147,0.0024304918669629,0.0016106218051358,0.0013776648514925,0.0017606366224992,0.0013830876132697,0.0021158230735297,0.0075337033042285,0.0049477024197021,0.001061858972374,0.0017230664904399,0.0177969680672783,0.006150367389982,0.0024152917934393,0.0007861938948733,0.0021044514126652,0.0005647260061327,0.0014059355999407,0.0037727376028035,0.0011581965877518,0.0076476248504481,0.0011804719831473,0.0018098462672256,0.0011397489977086,0.0013486918421322,0.0124309064880399
34,0.0015465104087733,0.0018252493018778,0.001982669550969,0.0011087736166452,0.0037278187165138,0.0010848203860516,0.0084094344534749,0.0013758501318945,0.0042000066826998,0.004424480509368,0.0006618214597075,0.0023335740909546,0.0073157185884955,0.0028316911349128,0.0012637849945655,0.0064696603148687,0.0030558833226388,0.0018914032602143,0.0014225888737233,0.0262913352458236,0.0018808708051476,0.0012064171156081,0.0069281611822291,0.0018362936712296,0.0020481695885494,0.0008641093067739,0.0069341276211,0.0016500821447241,0.0011133612115636,0.0028818139323377,0.0162096936450763,0.0068125115850188,0.0008568765591116,0.0044624143830291,0.0018908038267704,0.0006393162145185,0.0010059826914184,0.0036975884700473,0.0031377542937636,0.0068719050823406,0.0008442543142339,0.0033025651116511,0.0035889763969326,0.0013268654941483,0.0116042331453119
35,0.0012228772618167,0.0015357970488634,0.0016149256800609,0.0013056298898787,0.0034372476341284,0.0028529197076285,0.0077493178989951,0.0034126164285182,0.0154452758543992,0.0009532091034692,0.0007583140005675,0.0020878230750319,0.0014422602902018,0.0069274732087155,0.0027888184023175,0.001301473961831,0.0025005110035658,0.0018265822054785,0.001583779358377,0.0016658882148282,0.0022663035054792,0.0011574572998744,0.0011302870359991,0.0019119507199599,0.0014638970346454,0.0020986247123344,0.0073949770710174,0.0051288130533298,0.0010692275609093,0.0027729611495033,0.0153918853149265,0.0061756028176647,0.0032726530790108,0.0011351303926877,0.0016771562408757,0.0005706663045148,0.0016425031605397,0.0038565431831755,0.0010494801730192,0.0065159638815474,0.0009634183841466,0.0013359083930299,0.0013703574540318,0.0014307264776377,0.0089228401958397
36,0.0011376184453934,0.001246344795849,0.002240993802153,0.0010258401928496,0.0031466765517429,0.001145032612437,0.0072985142839867,0.0015850456675257,0.0040594427246987,0.0040095903033176,0.0027001722115429,0.0018420720591092,0.0062985289966827,0.002337811480231,0.0012481625345772,0.0071272793202513,0.0019451386844927,0.0017617611507426,0.0017449698430306,0.0293495764971532,0.0014617598794594,0.0012306883592262,0.012245315291646,0.0021913178509493,0.0019316536315997,0.0008980675703851,0.0078558265209347,0.0012109723836339,0.001025093910255,0.0026641083666689,0.0145740769847768,0.0055386940503105,0.0011998972034761,0.0035080149416969,0.0025515353067007,0.0005020163945112,0.0009814340789913,0.0031880024750808,0.0026279273831295,0.0015739784526042,0.0010956513164455,0.0019720266771517,0.0043320181261295,0.0017243011379728,0.001099611236834
37,0.0012880457088922,0.0010357508870805,0.0021011730068468,0.0013992068075125,0.0026985808657497,0.0033770748802657,0.0068477106689784,0.0030048842001651,0.0166623213651796,0.0017978170860178,0.0007598099736141,0.0015123023764491,0.0014760375098574,0.0062359044557862,0.005043005528641,0.0007918808239868,0.0027155405527863,0.0018339812817398,0.0016534580481563,0.0014391261354076,0.002168410973903,0.0014945497691096,0.0012724343771249,0.0024706849819386,0.0013836513712396,0.0016588660629332,0.0083791608251932,0.0062809477836994,0.0009738439426746,0.0010290188554803,0.0143754876180845,0.0048000172794446,0.0026585607737919,0.0011624423563275,0.0015423816572011,0.000561022069719,0.0015043252733514,0.0050926686534518,0.0010915047943318,0.0085424034699592,0.0013707129358092,0.0021296508800731,0.0011456339079572,0.0021710037574758,0.0089487937938107
39,0.0011824013149593,0.0008176104827701,0.0014732687899468,0.0009322266417711,0.0022504851797565,0.0006044995889878,0.0007087188758927,0.0018370759274678,0.0048705692733676,0.0038652751540355,0.0026345241891752,0.0019131630126673,0.0048434004354149,0.0025594368822714,0.0010159195031963,0.0067501343716319,0.0037213975581968,0.0018223618743598,0.0015843439204488,0.0271471256776754,0.0015529362868807,0.0010850001422313,0.0060288091857957,0.0018268336854137,0.0020069025322503,0.0008826166372358,0.006564083426349,0.0013500108932022,0.0010533731232136,0.0013202177879152,0.0145139416241831,0.0045179885697787,0.0008330020240046,0.0022059456200077,0.002979149296731,0.0005147069784423,0.001332561976898,0.0047288603018144,0.0033336630369915,0.0021180343765513,0.0010452658765026,0.002102224449111,0.0066102570258664,0.0011270907798343,0.0011490165029496
40,0.0013237141040232,0.0008297744995014,0.001526298190386,0.0011385598657712,0.0021153307222199,0.000775627164521,0.0014737575655228,0.0011616820519183,0.0044180367236977,0.0041317922441569,0.0029288434435875,0.0019241473397399,0.0041099739353711,0.0027953502573074,0.0016034703406653,0.0068987226176647,0.002878885635873,0.0010068162753678,0.0016306866080306,0.0007755811398027,0.0015132233711671,0.0013901449875533,0.005378146838214,0.0011829823888889,0.0020869805524325,0.0013435140938903,0.0017787080273625,0.0013938835407768,0.0009668936400879,0.001511076549207,0.0141257087563045,0.0047546213380996,0.0011987001139835,0.002397276802291,0.0011117150552842,0.0008449355390934,0.0013553079008938,0.00489144013492,0.0028060066308945,0.0011792885385933,0.0009686690782707,0.0021696583414699,0.0050448971684175,0.0008064218311952,0.0011837692559047
41,0.001465026893087,0.0008419385162327,0.0015793275908252,0.0013448930897713,0.0019801762646834,0.0009467547400542,0.0022387962551529,0.0004862881763689,0.0039655041740278,0.0043983093342783,0.0032231626979998,0.0019351316668126,0.0033765474353272,0.0030312636323433,0.0010029586873799,0.0070473108636976,0.0020363737135492,0.0016981634502136,0.001124897597737,0.0279366569903678,0.0014735104554534,0.0011315931629431,0.0047274844906322,0.0008325615015397,0.0021670585726146,0.0009014425188968,0.006797113473949,0.0014377561883514,0.0008804141569623,0.0017019353104988,0.0137374758884259,0.0049912541064204,0.0006252770175747,0.0025886079845743,0.0026400056322792,0.0006823163163486,0.0013780538248896,0.0050540199680256,0.0022783502247976,0.0017033904390033,0.0010664228063183,0.0022370922338287,0.0034795373109686,0.0008423263388985,0.0012185220088598
42,0.0017019056927609,0.0033451923094415,0.001362565729003,0.0019370659533911,0.0021475136237479,0.0036507799775451,0.0030340980580712,0.0008957157965159,0.0122934919487461,0.0007912562288873,0.0029641623870886,0.001825165409279,0.0056646811622905,0.0033740662868815,0.00111490477028,0.0024103398179422,0.00141509596142,0.0034716350614659,0.0010815689347259,0.0027434820791343,0.0023292275983293,0.0045722980778512,0.0015476284417051,0.0032699195373644,0.0015052012603257,0.0021124844952308,0.0012227626341133,0.0016290883604878,0.0008123383269444,0.0021475136237479,0.0009531009445594,0.0029641623870886,0.0010008240681157,0.0028074166589162,0.0040375404140313,0.0018452518668068,0.0050775545676923,0.0022892557473446,0.0019568316235719,0.0048948054666146,0.0010446707597788,0.0064641961551899,0.0032699195373644,0.0015457383822939,0.0009303624184649
