Time,250.0,250.0.1,250.0.2,250.0.3,125.0,125.0.1,62.5.2,62.5,62.5.1,62.5.3,31.25.1,31.25.2,31.25,15.625.1,15.625.2,15.625.3,15.625,7.8125.2,7.8125,7.8125.1,3.90625,3.90625.1,1.95312.1,1.95312.2,1.95312,0.976563,0.976563.1,0.488281,0.488281.1,0.244141,0.244141.1,0.0,0.0.1
56,67.3908,62.67841,40.77073,26.57126,59.0875,50.68068,53.23523,52.505,46.20568,39.48391,49.52727,41.59405,34.81412,52.18588,43.90235,46.17176,42.46136,51.46118,44.18,41.14767,45.02069,41.75568,49.98605,50.91705,32.67381,46.77294,38.8375,42.09881,34.54023,44.94886,26.27614,34.48977,35.7131
57,66.94535,62.31818,41.32235,25.95059,58.61477,50.11412,47.52,53.14286,45.55882,40.71818,49.93409,41.75057,34.78202,53.01176,44.36538,46.18395,42.12299,50.58116,44.19302,41.01541,46.10941,42.22841,50.05439,46.84793,32.16453,46.43765,39.09091,42.14659,34.93864,44.40115,23.73908,34.53295,37.26092
58,66.36738,62.31078,41.10549,22.01052,59.08267,50.12908,47.22471,53.07086,45.87826,40.08467,50.12045,42.02874,34.57234,54.32017,44.82841,46.19614,41.93479,49.70115,44.30276,40.88315,45.70414,42.93523,50.12273,42.77882,31.65525,46.67529,39.11835,42.70836,35.29886,44.7841,30.30248,34.10739,35.53046
59,65.78941,62.30337,40.88864,18.07045,59.55057,50.14405,46.92941,52.99886,46.1977,39.45116,50.30682,42.3069,34.36265,55.62857,46.66932,46.20833,41.74659,49.11395,44.4125,39.65647,45.29886,43.64205,48.76854,39.6975,31.14598,46.91294,39.14578,43.27013,35.65909,45.16705,36.86588,33.68182,33.8
61,67.00471,63.05412,39.67386,23.175,59.29205,49.91163,55.23412,53.26705,46.22093,40.73827,49.4814,42.04205,33.10455,56.75663,45.73864,46.53409,43.09535,49.04756,44.76742,39.22874,45.29659,43.45581,47.81176,48.55506,33.85059,46.80909,38.3,43.56905,35.38506,44.38523,37.26706,33.16897,35.74886
62,66.57126,61.80114,39.63256,24.66932,59.34773,49.32963,55.00967,51.7954,45.68161,40.57709,49.48046,42.40242,32.74,54.18588,46.15146,46.49495,42.73333,48.96071,44.25814,38.13472,43.86824,43.14419,48.74324,48.86146,35.07614,47.63488,37.95568,34.27442,35.27586,43.36163,36.91294,31.68471,34.41667
64,67.4092,63.06824,40.36471,14.79432,59.63765,50.27471,55.94432,53.27683,47.30588,41.42857,49.47614,42.98824,33.37229,49.24706,47.31034,46.44091,39.99048,49.72588,43.01176,36.67683,44.06552,43.14302,50.94368,42.43295,34.07356,47.53218,37.63614,35.99878,35.96897,42.70976,28.33605,31.36512,33.32824
65,67.6546,62.92482,39.79982,16.66153,58.50037,48.76804,55.66591,52.18501,46.96425,41.26088,48.63554,43.10617,31.84262,49.46824,46.43813,44.94069,41.10936,49.57033,41.15361,36.48603,43.95575,42.83344,50.04713,43.45441,33.95751,47.99713,37.53474,35.69468,35.53625,42.25147,24.31632,31.13744,33.52037
66,67.9,62.7814,39.23494,18.52874,57.3631,47.26136,55.3875,51.09318,46.62262,41.09318,47.79494,43.2241,30.31294,49.68941,45.56591,43.44048,42.22824,49.41477,39.29545,36.29524,43.84598,42.52386,49.15057,44.47586,33.84146,48.46207,37.43333,35.39059,35.10353,41.79318,20.29659,30.90976,33.7125
73,48.97284,42.16739,38.65795,22.91011,57.44954,34.34593,54.23793,43.04388,43.79448,42.50235,33.64138,45.19773,28.02679,52.83697,47.88276,46.17126,33.82033,47.20588,33.39022,29.94353,35.68929,49.74119,49.73864,54.4427,45.14588,47.7908,37.9092,47.75488,33.0647,42.37791,33.59765,31.89875,30.15682
74,68.58333,63.42273,38.03563,21.52353,56.82118,47.39875,55.78523,50.17011,45.78256,43.66941,46.58046,46.26235,31.72299,52.72045,47.20345,48.95,39.51477,46.91529,36.80455,30.2931,44.33333,43.63295,49.6241,54.96118,45.35244,49.59765,37.17882,49.66471,37.38736,41.54659,31.31744,30.475,27.04545
76,68.3382,62.22644,36.99318,23.79205,56.456,46.86706,53.72099,50.35618,46.30115,43.58851,45.9,43.21807,32.98118,52.12644,48.59773,49.16322,39.375,44.94419,37.03902,29.03256,44.13977,43.16471,49.88977,53.58488,39.86207,49.47727,37.72353,48.37381,36.96364,42.24167,30.92841,31.13176,30.47412
77,67.58941,62.9869,37.68031,24.38051,56.43182,47.08554,53.97831,50.25682,45.62614,43.76897,46.48605,43.88347,31.1378,51.02759,48.1483,48.53039,38.97045,44.77209,38.32187,29.38663,44.00012,43.47781,49.25293,50.59303,37.79092,49.14481,37.91631,49.28749,37.45764,42.32987,31.06932,30.71886,29.66412
78,68.62057,62.40915,38.36744,24.96897,57.15269,47.04689,54.23563,50.20682,45.24601,43.94943,46.61624,44.54886,31.94163,50.84344,47.69886,47.89756,38.46591,44.6,39.60471,29.7407,43.86047,43.79091,48.61609,47.60118,35.71977,48.81235,38.10909,50.20118,37.95165,42.41807,31.21023,30.30595,28.85412
