Drug,R0_Contractility,E_benefit_Contractility,E_tox_Contractility,kappa_b_Contractility,kappa_t_Contractility,tau_b_Contractility,tau_t_Contractility,n_b_Contractility,n_t_Contractility,m_b_Contractility,m_t_Contractility,R0_O2,E_benefit_O2,E_tox_O2,kappa_b_O2,kappa_t_O2,tau_b_O2,tau_t_O2,n_b_O2,n_t_O2,m_b_O2,m_t_O2
Daunorubicin,0.3846694871917088,-0.6676396206310193,-1.6276038819564442,-0.6455805488575347,1.9877460488771426,0.7062917156962267,-1.0643232124745692,-1.5331332608312263,-1.2168910313725247,-0.7120633973700674,-0.5230482211874868,0.1733631676020337,-0.8538322224903204,-0.2307407998270621,0.8109560237969183,1.1581873456913194,-0.7514447959369531,-0.13972048137812168,-0.8075783963493528,-0.06324939172161288,-0.9995644489544299,-0.25111077794866593
Ibuprofen,-2.1001791143835176,-1.8810560652265713,-1.6424708108400101,-0.6371193011572146,-0.131191470721583,0.1199377695143576,-0.4280461605033173,0.7393421748360732,0.31576754329226103,1.4652901362847033,2.8023098230870462,1.0359200758307052,1.2437044695823358,-0.19883870977703083,-1.0706324892934032,0.14872698546604973,0.5301265925305046,-0.5798188093336434,-1.155421309712728,-0.7554085730157903,-0.419074774394008,4.8558664164031295
Rosiglitazone,-2.1236789968535574,-1.642991328306672,-1.4361629156054054,-0.5579321447542286,-0.4994414867022562,1.1133324500616968,0.5195936545558497,0.7395142212330466,0.4824807866845007,-0.5223197283090664,-0.5767165595026741,-0.8939549188129695,-0.5845286355616834,-0.19158706885438254,0.6100645150058447,0.6482277843671936,-0.27772915828365696,-0.6399863267749315,1.3264199811935766,-0.9647449074389922,0.3142083602369496,-0.23030912137444992
Vioxx,-2.1229073766085524,0.7736129101154553,0.2858834882073718,-0.5439282733668463,0.7934949042706047,-1.1645629789562206,-0.7475862504907355,0.6079782184514406,1.8703656371750987,2.259725686852827,1.9167848801306993,-1.488048206540881,1.082321750719257,4.897012448089019,-1.1033243176322194,-2.3677168072119605,1.761432304354389,1.3465766507399453,-1.2194569297355338,-0.35822247255278333,-0.4641652756672996,-0.23678832588117293
Mexiletine,0.8178963496355193,0.7736175317369636,0.2869793244374376,-0.15252992591714193,2.7955954947023636,-0.29805963462351664,-1.2777819920888387,-1.6440239369098542,0.4077401744551586,-0.7120636955913948,-0.5068952705327671,-0.5547875366990926,0.3029167621340298,-0.17749472112778364,0.5121993141591114,-1.3614785950093173,-0.5364529658303696,-0.3880561806019005,-0.4134070049118873,-0.6686055825050902,-1.1339927574578315,-0.13653116140872182
Amiodarone,0.6932191596964081,0.5120262672429691,2.214571079829992,-0.6129931545594619,-0.5147675512312594,0.9619588117404044,1.2048866983892237,0.7395142212330466,-0.8703499102122453,-0.5543690648941875,-0.7924572335465402,1.0359200758307052,0.1141693926284964,-0.2138904151607011,1.4396587691332885,0.8992496491320776,-0.956212723736863,-0.32339024199747296,0.6570866362252591,-0.6908898573643981,-1.051618636561183,-0.1638120224896609
Chlorpromazine,2.0998416954665577,-1.4906673585477679,-0.5215697559804254,-0.4999386593467659,2.7954673966602557,1.286437416334515,-1.2777805080480726,0.7395142031186875,1.8703656290349178,-0.7120335177688402,0.06086122214068592,-0.6332164525848524,-0.8538322227768167,-0.236330542695905,-1.1109959554119735,1.415332926859064,2.3560778474936295,1.9494733310415964,-1.2349580503722655,-0.3230763067783319,1.3120937820130978,-0.17404234539501304
Gemcitibine,-0.2730976084116622,-1.3104517448396908,-0.985395005208288,2.3304117373526214,-0.5003933004346709,-1.421645564635123,0.21294029978176846,0.28459963280315,-0.8303067684996727,-0.698299647049683,-0.04519517093318966,-1.0307295448995426,-0.23108419954652554,-0.13938860065199227,1.4396587691332885,-1.2345356232640947,-0.9562127237368637,1.298579371521183,-0.00781350674514955,-0.01834525856060296,-1.1339927574579542,0.42272649075052937
Nifedipine,-0.1478681048863551,0.7736175317367332,0.43548419458961396,2.330930566926385,-0.18959796472780688,-1.4216899065178084,-0.8767275651504726,0.7395142212319595,-0.1561444417511581,-0.3256039183661124,-0.5872541832858699,0.8241322956508687,-0.8318867979094926,-0.23695209930692696,-1.004429024457506,0.9727684379237462,0.10858634935388274,0.7641148178953744,1.3264121279508214,-0.7618174983255357,1.0589027474507064,-0.2459956164959899
Vincristine,-0.1485953968895386,0.7736168609516169,0.3392118432865565,-0.6395478141983161,-0.5258269286313113,0.2381018161224721,0.2434895477076239,-0.9775561913016974,0.3809947835159955,0.9940408222834473,0.7367799675575432,-1.4009457550600701,-0.06321276469221686,-0.23682610189164136,-0.8537182730531937,1.0608125992011823,-0.7039265281343049,3.577684112416238,0.4243458385780406,-0.33813114736960137,1.2343228055381754,-0.25714666846282375
