Drug,R0_Contractility,Emax_Contractility,kappa_Contractility,n_Contractility,m_Contractility,tau_Contractility,k_elim_Contractility,R0_O2,Emax_O2,kappa_O2,n_O2,m_O2,tau_O2,k_elim_O2
Amiodarone,-0.04188298116882952,-0.028563113609142102,0.013246758187249085,0.006660431779806209,0.006095523507154296,0.008926068757214748,0.039591073462393635,-0.026935592098013307,-0.0037342014436450243,0.006813093611039946,-0.11216881507659307,0.0031625388350990206,-0.022806117385884284,-0.037177736654116424
Chlorpromazine,0.0369288303385287,-0.025874984863254586,0.008011916845027396,0.010232944231736867,-0.003160733791703464,0.022233346532114583,0.02581181831174971,-0.027583887185393965,-0.004854422454852553,0.003347461716687243,-0.14103686402854967,0.003770022352046572,-0.0406466906680333,-0.033763376784346016
Gemcitibine,0.008289735697441175,-0.018058181764858235,0.005723014072695479,0.002387014017923659,-0.0060965850021483005,0.015811835528650377,0.0069772941037768085,0.0011123273823323964,0.000908779576127885,-0.03116815923711339,-0.13039652447055133,-0.0335596537473275,0.04141919010312252,-0.005172800946409234
Nifedipine,-0.005168794344635115,-0.026518887561763963,-0.004966985803590653,0.005409759029768368,0.002519326453581645,0.008395562470488562,0.029154961915733198,-0.027602004346974195,0.0038375183806275835,0.006039301605777635,-0.11345670885512303,0.001140268200192255,-0.03840752171330827,-0.03581553139370746
Vincristine,0.012152553043909354,-0.02774949963899644,-0.04027668847035013,-0.0060122067549378735,-0.002089771113129489,-0.009934042575689247,-0.007667809836297083,0.026358677231559016,0.002348586479288845,-0.017635009954223044,-0.09622465264826159,-0.02835622096958871,-0.012419368753585836,-0.011301387710162536
Vorinostat,-0.051589119408276776,-0.02905730215895291,0.026675857953488424,-0.012725634092177088,-0.010685907147238051,0.01201708818838743,0.04809679206590368,-0.01227593265642883,0.0033843632683099364,-0.02454144208829859,0.03507410852404407,-0.05208706381067262,-0.004842242282880939,0.00981019803493364
Dactinomycin,-0.027047374920182353,-0.033490225439726955,-0.047030962907784406,-0.00498196095406921,0.0041103893363866805,0.005315015191408421,-0.028792876512397036,-0.018942495912299642,-0.003428131285618482,0.007331535670288503,0.06869285192985672,0.00915649796896493,-0.022904235186343925,-0.027857027306043385
Erlotinib,-0.07487799275472949,-0.044780688827751436,0.020481695172686023,-0.014565258591751794,-0.01567865900339469,0.005564988573227288,-0.005460895649909592,0.012900352963874807,0.005233633876274998,0.010700918276155057,0.03394966918736267,0.003970724547353976,-0.021512661865754935,0.01058815249220132
Etomoxir,-0.05712160102680849,-0.03502526181655295,-0.06483226540986446,-0.015841461820271227,-0.015935229970383966,-0.036848477625364036,-0.014501850418965484,-0.004948832162962639,0.0011228747393483135,0.008305778041989474,0.022571418246182355,0.015253010561106973,0.02077442159036009,0.024732311395728238
Plicamycin,-0.046041536333311164,-0.030506084774120517,-0.02021834190105065,-0.006706724789687299,0.000933567087595196,-0.03524875288727898,-0.03399262075918405,-0.017768495523462456,-0.003108805091413023,0.01330499122262413,0.024712010045740154,0.005936483113984396,-0.00525091654443834,-0.028151175495597577
