Drug,R0_Contractility,Emax_Contractility,kappa_Contractility,n_Contractility,m_Contractility,tau_Contractility,k_elim_Contractility,R0_O2,Emax_O2,kappa_O2,n_O2,m_O2,tau_O2,k_elim_O2
Rosiglitazone,0.0294333672952469,-0.002904727573106905,-0.047303834163430085,-0.03134956111204026,-0.024733762698320887,-0.03901815904107529,-0.09685328479033727,-0.02037501381443306,-0.0007689069446165854,0.007602587489026971,-0.015464156786266487,0.010433408456537105,-0.012603523456168926,-0.01389955072933473
Sotalol,-0.07989869826319497,0.01136279202178189,-0.04133492450631129,-0.03225789633041089,-0.015671486444830823,-0.037591109862535034,-0.08599056344121707,-0.012266758735772989,-0.006746403633120925,0.005920127318703189,0.022291399895379982,0.01164376627112082,-0.023810333814016215,0.006544971656104848
Sunitinib,-0.009946229413551558,-0.012082679332549041,-0.008036050591037885,0.0027702713386661007,-0.02158509894503716,-0.023759197268483526,-0.10782531484728926,-0.002538148972089784,-0.003526208042152089,0.003854311523997387,0.023454030115221233,-0.007656461611549908,-0.036604682014495744,-0.004964242853614607
Vandetanib,-0.07778248304897757,0.014438615396714177,-0.03673108151462523,-0.016179825618632668,0.01587666966744292,-0.03747720919908229,-0.0717458091653512,-0.01674734361825211,-0.0006002857247469124,-0.02226392884317547,-0.008088493889871023,0.002336033501408868,-0.009418970230627731,-0.007091891656492649
Vioxx,0.02799645790569942,0.002805201869652897,-0.04530460041905817,-0.027222840376929076,-0.019299391619114856,-0.037124756841388495,-0.09075416260778651,-0.019195341165075343,-0.006270169894978787,-0.024880939987623925,-0.015314318241236979,0.010012770970568559,-0.017169284483480873,-0.022750409644234006
Amiodarone,0.02366070725593861,0.014452701978727294,-0.06424159806798184,-0.028744446905711426,-0.026753802564527567,-0.02611653066977833,-0.09486995498387973,0.001821952974358396,-0.005047308541362284,0.009729225219375174,-0.038671471072167556,0.006287053469597383,-0.04527331460839927,-0.001181188495365462
Chlorpromazine,-0.07215219731957073,0.0098714268462406,-0.04963999381143689,-0.02561158929456691,-0.015081360324138014,-0.03138209808121548,-0.06860989020515451,0.0027387394325827314,-0.0038637386940886297,0.0026574499281644677,-0.03899320985074791,0.011663791209377033,-0.028641712862337233,-0.0040940681747613375
Gemcitibine,-0.06177624229042923,-0.0013152549997053585,-0.05089377294015572,-0.0195538607991273,0.004569540828119573,-0.029586839801544106,-0.037259477716371024,-0.006098171376208506,-0.004155815168080722,-0.024815874541595964,-0.03142838183693011,-0.024192337608814833,-0.01751512442014114,-0.007116838530668402
Nifedipine,-0.05421359102745187,0.01305235362806004,-0.057362186789558345,-0.021832925270348042,-0.01670025486091442,-0.02728997578511378,-0.07379362179846208,0.002328782045646898,0.0011243656911991535,0.0021211592927005926,-0.03910030262354808,0.012763922863825697,-0.030673661156500037,-0.0053720392207123775
Vincristine,-0.09201336910805052,0.014219095500520557,0.06555936752013959,0.0028057712999276963,-0.004421993794616993,-0.002144814661651045,0.02759158560683515,-0.028152735693371518,-0.009218329311630337,-0.026093748325742336,-0.05861105546340227,-0.04024099215740782,0.006925541317996084,-0.0006761072645323601
Vorinostat,0.03528200776572691,-0.0071862943621673545,-0.02723501639520013,0.006533768113541655,-0.018193313739055878,-0.03051604671202435,-0.10304696120199375,-0.005305601787501429,-0.0018198032525062657,-0.037159354978238406,0.011177846545481523,-0.043191825037483665,9.629417490425301e-05,-0.027543847304832923
Dactinomycin,0.008793122884678158,0.02599999060857641,0.08368760665307723,0.019223880080004217,0.00021018480300659528,-0.01194575677213066,0.06451407669160114,0.021358805073635613,0.004743295546506512,0.022926206760206725,0.019938031138278724,0.02180113113583819,0.029676330706944764,0.013960727109143933
Erlotinib,0.07077855068671911,0.04328577228041856,0.009593794646940244,0.02305654319654041,0.03085239917913013,-0.007782544683131895,0.026599855661376768,0.0059049809906649795,0.0004802812592773452,0.02322371650785408,0.04884457372643409,0.022866883877761916,0.03355484095177226,0.023151793661419076
Etomoxir,0.061383572200205565,0.03444620774213493,0.09341287764285669,0.01706848656448935,0.010974281764937466,0.061189590511727766,0.045160541374325604,0.005819517147733173,-0.0034998047137678617,0.01955585441490237,0.048841644904230354,-0.003853419135843144,0.006487074712774152,-0.004602779952168224
Plicamycin,0.07552476668857362,0.025122198624367372,0.06107789862381598,0.016881650985040044,0.011034074716059973,0.06341627497418309,0.06888111079889492,0.01998479733246517,0.00357386734403169,0.010468275418258316,0.059343559869742754,0.023799338216744428,0.01858317950269876,0.011170555703471106
