Drug,R0_Contractility,Emax_Contractility,kappa_Contractility,n_Contractility,m_Contractility,tau_Contractility,k_elim_Contractility,R0_O2,Emax_O2,kappa_O2,n_O2,m_O2,tau_O2,k_elim_O2
Sotalol,0.21826432932922446,-0.09892039318871015,0.0,0.0,0.014685997802626154,0.028599023131955552,0.014398942056778564,0.016073442900516023,-0.015913393646315693,0.0,-0.06660245152270532,0.0,0.0849646651589048,-0.057738442576069304
Sunitinib,-0.18494444654781658,0.02857634870861334,0.0,0.0,-0.0616211783077893,-0.08511756125553606,0.0,-0.025982767769375286,0.023508476313795934,0.013531110485176814,0.06206194590465084,0.0,-0.15334540250627646,-0.10303447720360981
Vandetanib,0.1461049263913147,-0.03520376863063751,0.0,0.01013457448537683,-0.007849773688906103,0.012609090619712814,0.0,0.04053384177505149,0.0,0.0,0.10014436818174992,0.008087953406275949,-0.04016433285782841,0.026666201712581397
Vioxx,0.11264805469404839,0.010581964998942596,0.0,0.0,0.014049399708507137,0.013275420240133716,0.014959815420725811,0.0,0.0,-0.09144355669714707,0.05950207747471188,0.003149209456345614,0.03013390782190292,0.0942073155899019
Amiodarone,-0.10837728925381163,-0.10735850420146252,-0.0014045738481137078,0.0,0.027060584710306368,0.0,-0.005408812461738615,-0.017976061354317868,-0.012230567459668931,0.0,-0.35113495120272237,0.0,-0.07706903918978524,-0.08503645165945047
Chlorpromazine,0.062001986277127004,-0.04778706832972017,0.01353198321779161,0.0178034461896186,0.027669899877912126,0.0,0.0,-0.012820678452336936,-0.027369574005870256,0.0,-0.6480145216088853,0.0,-0.07817089124261871,-0.045780973214945286
Gemcitibine,-0.056822002723059956,0.0,0.02421312100400086,-0.015033556975760825,0.0,-0.013894195451770215,0.0,-0.005543223293285173,-0.0016357014691248293,-0.23574811783821473,-0.3916955692901923,0.0,-0.017775027715603076,-0.02500211753891695
Nifedipine,-0.07840379650518364,-0.08184583075935017,-0.04333758252629963,0.029143059966179607,0.03094162676390118,0.0,0.0,-0.027026873504044684,0.0,-0.0358667552181207,-0.4106950637300751,0.0,-0.0646989566533562,-0.05714621910684253
Vincristine,-0.04926464305975439,-0.039997696911004625,0.0,-0.0337694847371525,-0.006837727175301355,-0.02292813303268978,0.0,0.0,-0.007801644798375993,0.0,-0.4407959509180715,-0.005757037744752225,-0.08269382636396842,-0.0490902465508563
Vorinostat,-0.1327765696924219,0.0,0.0,-0.04240724732076861,-0.019600344215896386,-0.05368055768657975,-0.005940496717782018,0.0,0.0,-0.30461787208426644,0.07820019439705206,-0.0558347279003586,-0.06120657300327048,0.14578726974655337
Dactinomycin,-0.21307386683151386,-0.10402392765034466,0.008304335993800316,0.0,0.0,-0.04980179573272395,0.0,-0.045703462690347696,-0.01553872645075178,0.018491993504130666,0.07991119238139383,0.0,-0.11360131980337913,-0.12943109119670743
Erlotinib,-0.18088209036112754,-0.1440422607852307,0.015476650595230623,0.0,-0.01632629767376123,0.020719716297157822,0.0,0.0,0.026736893048503876,0.0,0.08625435395200609,0.012787785076757527,-0.11161438737704535,-0.0908797427280682
Etomoxir,-0.16407888042923607,-0.13266132435305739,0.0,0.0,-0.04366803199905811,-0.086097198351113,-0.017194063714301745,-0.0237694808695117,-0.017759143022070097,0.0,0.0760639405854709,-0.01512608879326131,0.03137009693859938,0.0
Plicamycin,-0.06272872791096601,-0.1351124557252753,0.0,0.0,0.0,-0.07710134205827396,-0.005622522949681186,-0.05032913065722797,-0.027897732107667505,-0.0015593759576592531,0.08261726171014086,0.0,-0.07952342938823656,-0.1178732373738058
