Time,0.496.1,0.496.2,0.496,0.496.3,0.248.1,0.248.3,0.248,0.248.2,0.124.2,0.124.1,0.124,0.062.2,0.062.1,0.062,0.031.2,0.031.1,0.031,0.0155.1,0.0155.2,0.0155,0.0077.1,0.0077
30,31.10959,10.94247,26.06027,17.46714,8.205479,12.80556,5.294899,5.884932,15.88194,4.069444,3.850704,48.4,16.63151,13.35405,6.740278,9.652055,8.656757,29.08028,4.408219,1.042466,36.43676,9.527778
32,29.80417,16.49726,27.56571,19.43562,8.775342,14.20135,5.783019,5.175676,16.79859,3.902703,3.964789,49.11301,17.16522,14.79867,7.709459,10.50282,9.402703,30.72361,4.552703,1.330263,38.18971,71.63562
35,31.58356,23.908,27.84167,21.525,10.16216,15.824,6.432432,5.631081,18.10274,4.82973,4.77973,49.82603,17.50563,15.93836,8.408219,10.68169,9.260294,32.16486,4.486667,1.572973,39.53239,10.12083
37,32.49014,31.01351,28.56111,23.44861,11.29189,17.60933,7.27973,5.104225,19.64865,59.88267,5.102703,50.53904,18.95278,16.89863,8.831081,11.34167,9.959722,33.54459,2.965753,2.358108,41.62794,10.71467
40,34.28611,37.76622,29.65139,25.41096,12.43288,18.7411,8.243836,5.824,20.92083,4.6,5.327397,51.25205,90.88356,15.94324,9.952703,12.04444,10.6875,35.53194,3.225333,3.331081,42.56176,11.4375
43,34.50685,41.11944,30.63919,27.34167,78.32432,19.99067,8.823288,5.143836,20.2,4.448611,5.459459,51.79583,20.16757,16.82083,10.64384,12.24932,10.71507,35.76528,3.314865,5.044595,46.70294,11.35915
45,36.09427,42.72933,31.41467,30.2527,14.53562,20.46027,9.065753,5.989189,20.86944,4.878082,5.29589,52.50959,20.05342,16.91233,12.40946,11.62083,10.936,36.56926,4.916438,7.469444,43.74203,12.43108
48,37.68169,43.98133,32.11918,31.28472,15.66,20.68611,10.7,5.461644,20.9,6.439189,5.395946,52.88649,21.39041,18.43699,13.52361,11.69726,10.88333,37.37324,7.152703,9.989333,44.56522,13.98219
51,39.42304,44.18514,32.87945,32.98493,17.13243,21.12297,10.96892,5.123611,19.5726,9.854795,4.672973,54.26056,21.8589,87.98267,15.32353,11.72254,10.58378,37.36438,10.38784,16.99444,43.4194,15.92535
53,41.16438,45.05993,32.64521,34.23378,17.93239,21.47778,11.12027,6.230137,19.40541,18.81351,5.0,55.00411,22.34189,18.6527,18.48056,11.432,10.16933,37.72162,13.87838,22.92873,43.80435,82.13562
56,42.77733,45.93472,33.31067,35.00915,20.21067,22.50417,12.78378,5.841892,19.28451,25.58676,5.213699,56.11081,23.03699,20.60137,19.81127,11.42877,10.20811,38.78904,18.00139,28.86301,45.525,13.63514
59,44.55,45.62466,33.09041,35.78451,21.33014,23.52778,14.43784,5.252703,19.86164,26.74054,4.904,55.77808,24.54324,21.43699,21.79041,11.2973,10.00141,38.82329,22.26,35.85616,42.25797,13.59583
61,45.57361,46.332,33.37042,35.74085,22.49718,24.14583,15.27671,5.313889,20.45946,26.24789,4.749315,56.04861,25.26197,23.11918,25.23288,12.92083,10.46027,40.0942,26.43288,36.67808,40.94348,15.21507
64,47.26389,46.08333,33.85541,35.575,23.72973,23.89863,81.664,5.965753,20.86027,14.70137,4.819444,56.35556,25.78493,23.65753,28.73562,9.857534,10.71972,39.65522,27.30946,36.93067,42.82353,14.525
66,47.57167,46.60857,33.78082,37.11644,26.97568,24.50278,16.65694,64.40986,21.75352,7.747945,6.321918,56.7411,27.51096,24.11892,30.52973,13.31507,10.95811,40.41096,111.3032,38.06933,42.94118,14.17361
69,47.87945,47.15352,33.53333,38.43514,29.13919,25.05278,18.19589,7.658108,21.72113,8.139189,5.844444,56.19315,28.00267,24.9,32.8875,14.10137,11.20282,39.72162,32.71972,41.71918,40.92029,13.1726
