Time,10,10.1,10.2,10.3,5,5.1,5.2,2.5.1,2.5,1.25.3,1.25.2,1.25.1,1.25,0.625,0.625.2,0.625.1,0.3125.1,0.3125.2,0.3125,0.15625.2,0.15625.3,0.15625.1,0.15625,0.078125.2,0.078125.1,0.078125,0.0390625.1,0.0390625.2,0.0390625,0.01953125.2,0.01953125.1,0.01953125,0.009765625.2,0.009765625.3,0.009765625.1,0.009765625,0,0.1,0.2,0.3
28,0.0014881766538574,0.0010494781686911,0.0011482809612351,0.0012903066569883,0.0006032851354673,0.0016478230143253,0.0041928363503612,0.0014518633740301,0.0027157655937256,0.0007604275113381,0.0012219521077065,0.0016521179349205,0.0008381693013811,0.0014759438056492,0.0078080168878671,0.001261377963613,0.0005952029156618,0.0065890531573536,0.001579168183538,0.005563042732574,0.0109801406292756,0.0013029761453852,0.0008438174992425,0.001051029748474,0.0014288948315487,0.0010117801549953,0.0015886343517755,0.0006621796051266,0.0011692187887723,0.0012640437977732,0.0011709117503082,0.0012915133913147,0.0021906765092114,0.001555262018208,0.001221479811445,0.0011148043397112,0.0009202048796044,0.0004084671475504,0.0015932887088614,0.0016320882380863
29,0.0028874775919935,0.0005938644946886,0.0027650925291349,0.0043989774722224,0.0008268630901051,0.0035345222364439,0.0035574988159447,0.0012135594796987,0.0029335667630869,0.0160715145085992,0.0124716660430487,0.0014806341431691,0.0008348261710412,0.001852716790965,0.0069875868049738,0.0020143398371377,0.0050155005969524,0.0019694694396311,0.0016826536769541,0.0020647002235159,0.0027317681018024,0.0016513452626481,0.0033182451771903,0.0021222295729421,0.0050754454277916,0.0027957101391549,0.0165205883077912,0.0005737858070444,0.0024284654505354,0.0101486648746427,0.0051995836134335,0.0024864732821239,0.0013663594957422,0.0008931034538418,0.0018091084701559,0.0067471823799367,0.0050010035407471,0.0040373728559117,0.0032387431766568,0.0019686465161859
30,0.0042867785301295,0.0012865828102582,0.0006439542053854,0.001088483296186,0.0010504410447429,0.0008759266453884,0.0001483824944453,0.0009752555853673,0.0034916216976725,0.0009646452715114,0.0013833619026011,0.0016154830495542,0.0008314830407012,0.0013338175527669,0.0021085327514994,0.001858501385898,0.0049781763147199,0.001932828763133,0.0042298766503122,0.0007724883570244,0.0028320488741263,0.0016109865852258,0.0057926728551382,0.0024538263752863,0.0051031474599138,0.0021776568243834,0.0009237370423755,0.008830780408692,0.0022407355517882,0.0096050185545709,0.0049329751731375,0.0014566634296703,0.0013003498376786,0.0169169171844434,0.0006837428631627,0.0123795604201622,0.0012255807059821,0.0008703002800313,0.0027185689772287,0.002241596625388
31,0.0012390398755928,0.0017366033338792,0.0007429561095486,0.0007692105576879,0.0063460306698879,0.0006963413087407,0.0006986796454284,0.0010390229855824,0.0015895190067865,0.0008883937049689,0.0034706333444108,0.0016884511155317,0.0008727643117472,0.0007504389167513,0.001733011009917,0.0017882641847838,0.0049408520324874,0.001896188086635,0.0011739254556103,0.0020928430377727,0.0029323296464502,0.0007432247458032,0.000720989390085,0.0027854231776304,0.005130849492036,0.0012093410716195,0.0089433025376149,0.0098652005716243,0.0012656283312104,0.0090613722344991,0.0046663667328415,0.0013965312333417,0.0012343401796151,0.0094800738238139,0.0007617295058526,0.006594814116005,0.0011061367887538,0.0008052782477282,0.0022623176401441,0.0025145467345901
32,0.0045142684217368,0.0054020169487744,0.0008419580137118,0.0004499378191898,0.0007326381147597,0.000516755972093,0.0012489767964116,0.0125355383609745,0.0023349608809579,0.0008121421384263,0.0055579047862206,0.0017614191815093,0.0012524052674211,0.001944793451553,0.0004930321224411,0.0017180269836695,0.001048970707176,0.0010408548280743,0.0016285773670619,0.0013502766882683,0.0007138177418958,0.002748721628,0.0010431289645752,0.0008138321737419,0.0049763960361578,0.0027904578821758,0.0169628680328543,0.0108996207345566,0.0002905211106327,0.0061856552605468,0.002488785452847,0.0013363990370132,0.0028653302858586,0.0020432304631844,0.0008397161485425,0.0008100678118478,0.0009866928715256,0.0007402562154252,0.0040395640018415,0.0066264515348697
33,0.0011391449907041,0.0015990969673885,0.0009161350930795,0.000508235211593,0.0010815526328205,0.0004252135297466,0.0009689015303108,0.0009528315179359,0.0017124564728901,0.0005888327657102,0.0058982836033157,0.001747956756826,0.0009386913710527,0.0007533880549678,0.0005173651192984,0.0014665432886646,0.0012191879798821,0.0013691625223684,0.0012109556500605,0.0013137841177811,0.0008953737571483,0.0006662124542555,0.0007039963670768,0.000856409656648,0.0011593723060967,0.0010731566339989,0.0171976111427526,0.0108904561689451,0.0007769483997183,0.0069288601917693,0.0022917002953925,0.0011598186446953,0.0038669594451118,0.0024544542527845,0.0007976397698989,0.0008919370775904,0.0009277020512059,0.0006992681420312,0.0015023829680754,0.0055013800871339
34,0.0030294703884463,0.0047866021902624,0.00313694567702,0.0042029056459398,0.0007220284286368,0.0034783651893157,0.0027741322962304,0.0109484527825192,0.0015785224870536,0.0114444662052316,0.0062386624204107,0.0017344943321427,0.0014692779783886,0.0029237284880106,0.0056518407728843,0.0021577958355825,0.0027471110366381,0.0016584821625234,0.00190024419423,0.0030693599464169,0.0029243580562304,0.0026048263758222,0.0006618052815117,0.0025358574533681,0.0053794598836942,0.0024638618415608,0.0174323542526509,0.0007464917949984,0.0012633756888039,0.0068901680777206,0.005398794008312,0.0030221952063932,0.0011379245017193,0.0021232144844702,0.0012616897840242,0.0009364067800147,0.0052311907865364,0.0046536188141302,0.0027294545287701,0.001341928596358
35,0.0012030403440691,0.0016915643283307,0.0007610930131035,0.0004662992244548,0.0010564034450289,0.0003878413333502,0.0016220677840657,0.0011340511397112,0.00149772750361,0.000678638966946,0.003912336185586,0.0013528390061025,0.0009857290051843,0.0007902727841994,0.0005874900491269,0.0015157988634822,0.0009984031515969,0.0010742862323845,0.0010428339765766,0.0013333844288455,0.0007315798244539,0.0006885081112574,0.0008880675559344,0.0006984116595202,0.0010639600343135,0.000891433524763,0.016251189370343,0.0115705556169161,0.0003978308531965,0.0061539262706262,0.0014720728845831,0.0012521917311851,0.0029631064780058,0.0020367596512305,0.0008288736809353,0.0008507763488357,0.0009511926760666,0.0008021548360213,0.0011129576356695,0.0057648935114952
36,0.0012660733655946,0.0018567260154737,0.0008028142217633,0.0004775857380514,0.0012648689882446,0.0004109076094466,0.0014771018640372,0.0009702289132695,0.0016798218630798,0.0006969519799079,0.0015860099507614,0.0014793137631418,0.0009152699386104,0.0007741682882045,0.0005441094648124,0.0015042913329922,0.0010318149615047,0.0010965576859206,0.0010820140488131,0.0013456309393514,0.0007491484439968,0.0006512322127872,0.0008573353407735,0.0007455624847055,0.0009856228425093,0.0008917745556699,0.0165187173153152,0.01131798836719,0.0006045603873631,0.0062099536542162,0.0017946406445989,0.0011895748854788,0.00410103285901,0.0015711754770265,0.0008580318997014,0.0008472732288432,0.0009842053713134,0.0007839090992412,0.0011653690171429,0.0062120596655092
37,0.0010109407378444,0.0051239471084337,0.0008445354304231,0.0004888722516479,0.0006996377508797,0.000433973885543,0.0013321359440088,0.0083413446121425,0.0012722979648267,0.0007152649928698,0.0040748819538072,0.0016057885201812,0.0015476337194178,0.0006206588364829,0.0005007288804979,0.0014927838025021,0.0010652267714126,0.0011188291394567,0.0011211941210496,0.0013578774498573,0.0007667170635397,0.000613956314317,0.0008266031256127,0.0007927133098907,0.0009072856507051,0.0008921155865768,0.0167862452602873,0.0110654211174639,0.0008112899215297,0.0062659810378062,0.0021172084046147,0.0011269580397725,0.0052389592400143,0.0011055913028225,0.0008871901184674,0.0008437701088507,0.0010172180665603,0.0007656633624611,0.0012177803986163,0.0066592258195233
38,0.0011354779287076,0.0014676860232043,0.0015918628943058,0.0015350113997967,0.0011401321127693,0.0022862841414258,0.0023049641713646,0.0010365687864751,0.0018176358436779,0.0074166496328047,0.0061812804359301,0.0015346088853029,0.0007918352646982,0.000741696498884,0.0022443506541224,0.0013633264900088,0.0033363580114039,0.0015310496222685,0.0011743709400574,0.0015901324600481,0.0017858711274202,0.0017184104952002,0.0007918000654726,0.0017952162993154,0.0021298350721367,0.0013124056256841,0.0173941252587027,0.005908588478443,0.0007435555174271,0.0043718538289709,0.0033571541653869,0.0039632438394959,0.0031890622590649,0.0016139929283083,0.0011154395352845,0.0008982844268362,0.0027801298428102,0.0028121688895466,0.0020936989333692,0.0041334436404925
39,0.001210332145041,0.0052111870613359,0.0023391903581884,0.0025811505479454,0.0008468045359337,0.0041385943973086,0.0032777923987204,0.0096007265020459,0.0013702472122129,0.0141180342727396,0.0082876789180529,0.0014634292504247,0.0013480212990559,0.001844798552206,0.0039879724277468,0.0012338691775156,0.0056074892513953,0.0019432701050802,0.0017087037966448,0.0018223874702389,0.0028050251913007,0.0028228646760835,0.0007569970053325,0.0027977192887401,0.0033523844935682,0.0017326956647914,0.0180020052571181,0.0007517558394221,0.0006758211133245,0.0024777266201357,0.0045970999261591,0.0067995296392193,0.0011391652781156,0.0021223945537942,0.0013436889521016,0.0009527987448218,0.0045430416190601,0.004858674416632,0.0029696174681222,0.0016076614614617
40,0.0010026280482972,0.0035273005997793,0.0024618989555465,0.0028673000301651,0.0008183903175529,0.0038437478804282,0.0035607598390394,0.0073978294979826,0.0012056457823441,0.014530676334732,0.0069009067464427,0.0017833810264348,0.001799928166523,0.0017731903334644,0.0030680003210996,0.0017075074562025,0.0052983749739768,0.0018866674710969,0.0017549860144372,0.0020236176669475,0.002455310216397,0.0030445149708256,0.0007752330747004,0.0033916008006714,0.0039494637436765,0.0020372888424652,0.018459886331214,0.0008325488289309,0.0006392440155311,0.0026597833821513,0.0047985402657348,0.0064391767834796,0.0012168309342031,0.0021444678956085,0.0017368603842934,0.0013040822944241,0.0052623924147905,0.0049580647317325,0.0027026788825073,0.0013634794860734
41,0.0020363737135492,0.0070473108636976,0.0025846075529046,0.0031534495123848,0.0014735104554534,0.0035489013635479,0.0038437272793585,0.0047274844906322,0.0021670585726146,0.0149433183967244,0.0055141345748326,0.0017019353104988,0.0008804141569623,0.0137374758884259,0.0021480282144525,0.0021811457348894,0.0049892606965583,0.0018300648371136,0.0025886079845743,0.0022248478636562,0.0021055952414934,0.0050540199680256,0.000805128005852,0.0039854823126027,0.0045465429937847,0.0022783502247976,0.0015793275908252,0.0009133418184398,0.0034795373109686,0.0028418401441668,0.0049999806053106,0.0013448930897713,0.0012944965902907,0.0021665412374228,0.0004862881763689,0.0010933222272468,0.005981743210521,0.0050574550468331,0.0024357402968923,0.001119297510685
42,0.0011296669220416,0.003705911193995,0.0023280164290286,0.0036270312484392,0.0007217416248803,0.0030629867042154,0.0038547877729663,0.0075607462641635,0.0020404051280125,0.0141653999779634,0.0021773132000436,0.0016015278951413,0.0011325828124956,0.0019846284286989,0.0023280164290286,0.0048759528715353,0.0036270312484392,0.0030629867042154,0.0015320904125739,0.0024881117222961,0.0038547877729663,0.0024914053946188,0.0008350229370036,0.0036507799775451,0.0033451923094415,0.0017895392643707,0.0185562076455806,0.0141653999779634,0.0004887769978083,0.0045994966841926,0.0011354832138132,0.0049648770482225,0.00141509596142,0.0042488649138691,0.0013712712913395,0.0008825621600695,0.0046113639949164,0.0048759528715353,0.0023562298239454,0.0024881117222961
44,0.0014080234597801,0.0021657235611724,0.0051407062852404,0.0028578257879137,0.0035659452121433,0.0036988590682591,0.0082159149616479,0.0074318694951838,0.0018033434450655,0.0023822927410971,0.0022491504256893,0.0016170016602236,0.007467633448313,0.0030800450021371,0.0014229593809878,0.0032868404927156,0.0018003614985548,0.0200171323182774,0.0083123165844081,0.0006537068665179,0.0032569782123732,0.0010190515440264,0.0009795184337384,0.0028953720437464,0.0039502853856739,0.0026257790193152,0.001901075069468,0.0052587030704531,0.0013537111491521,0.0030637040803156,0.0035561950503031,0.0051093786314971,0.0013435423129492,0.0036726901266837,0.0072718937610139,0.0016038774794814,0.0042160942082596,0.0019655492243903,0.0014130979014252,0.008869413734853
45,0.0010039015970319,0.0024341116295863,0.0036040116438427,0.0138718541062279,0.0071265280301303,0.0024332426558289,0.0066029786694519,0.0010040269093754,0.0015675812649783,0.0014419952985563,0.0021433865479903,0.0024558547291683,0.0012426365396286,0.0013294749956003,0.0027243008319055,0.0013342109724173,0.0032954502643662,0.006579896449947,0.0005018699211165,0.0027871539051075,0.0025669461806829,0.0021993839985095,0.0007182193018978,0.003157659714906,0.0019467001548262,0.001723667969166,0.0011135555766473,0.0008859748943229,0.0044636169155733,0.0074647765289847,0.0027124867970574,0.0014528652779309,0.0013219390330183,0.0017706777715074,0.0008271923686146,0.0016489772291227,0.0041603930212937,0.0030725959608082,0.0093407307348612,0.0017961497881927
46,0.0010522730331012,0.0019901376100676,0.002067317002445,0.003764383936284,0.0066465426929064,0.00323643626895,0.0037456097603045,0.0009665485062323,0.0014737965020075,0.0161634816800372,0.0019687434144132,0.0027905528217324,0.0011243265931913,0.001422601173872,0.0021348342804684,0.0015981915290675,0.0047905390301776,0.0034463095714202,0.0011789863663352,0.0031294879419988,0.0018769141489927,0.0020894292282932,0.0008749105966586,0.0034199473860655,0.004170209138365,0.0017899480351363,0.0159782803934262,0.0006544474758738,0.0049566920597434,0.0039148717753926,0.0040672071552802,0.0056636503297169,0.0011142381301338,0.0017119017480383,0.0012608153957597,0.001694388017071,0.0041046918343279,0.0074260942394426,0.0014333914716891,0.0011547660230112
47,0.0011006444691705,0.001546163590549,0.0015746298932184,0.0142696074814417,0.0061665573556825,0.0024696017833926,0.0059155438073422,0.0009290701030893,0.0013800117390368,0.001752085955313,0.0020044816733289,0.0031252509142964,0.0010060166467541,0.0015157273521438,0.0026942734844793,0.0013272569875917,0.0043902947818574,0.0065204892686845,0.001856102811554,0.0028755008204455,0.0017977249574729,0.001979474458077,0.0010316018914195,0.0025362178996623,0.00155995672568,0.0018562281011066,0.001033676465608,0.0008094009328694,0.0054497672039134,0.0025945549216157,0.0024538599331315,0.001160744386868,0.0014166132621848,0.0011385260434316,0.0010587940394274,0.0015218638965932,0.0124409270246376,0.0033749809807803,0.0015611530871045,0.0025161086087056
48,0.0085810247200091,0.004672818627566,0.0009554005042163,0.0013810639533547,0.0035175583919156,0.0011890793960567,0.0014572134459182,0.0040068465502322,0.0016949662220313,0.0072896586261245,0.0029026971185014,0.0016698735921301,0.0008877067003168,0.0013940408836569,0.0023758667998672,0.0071801176547591,0.0030062841774554,0.0048095645822261,0.001701128969643,0.0030184677058435,0.0017617461748927,0.0024552052903265,0.0009316155661136,0.0021855350148512,0.0018775270866306,0.0030723442812803,0.0070162846966552,0.0007206253693844,0.0011629655972175,0.0031385795971839,0.0031262013512596,0.0016274499545087,0.0041226141862937,0.0052751795258283,0.0016761590568859,0.0017100588835298,0.0012497441598648,0.0045223488201253,0.0014254034176284,0.0019136259057554
