Time,8,8.1,4,4.1,4.2,4.3,2,2.1,2.2,2.3,1,1.1,1.2,0.5.2,0.5,0.5.1,0.5.3,0.25,0.25.1,0.25.2,0.125.2,0.125,0.125.1,0.125.3,0.0623,0.0623.2,0.0623.1
35,0.0307519606416803,0.0532465513088824,0.117473398981653,0.1325830918824652,0.0004908041831866,0.0505524168745251,0.0886731817960422,0.1223051065987219,0.0005979450778745,0.0502608377097436,0.1201640483896682,0.0526596866432997,0.0974375224700747,0.1117272540600493,,0.0377369141939228,0.0003984646012653,0.181012374531792,0.0843259899101984,0.0574407003196177,0.1909740699370728,0.1920318611537917,0.0467059106811475,0.0004367108380927,0.0754746227821287,0.0242406503198228,0.0366364088128766
37,0.031536762175358,0.0627410055126409,0.1035255200547194,0.143749004607969,0.0006323952288679,0.0454055714558371,0.1078629910306287,0.1212250315266947,0.000674900701084,0.0612765776513268,0.0978392263934526,0.0463317279278061,0.1096951698363419,0.1055846449333254,0.0006224577422496,0.0360051595004728,0.000330961507015,0.1725194298947961,0.0836660113393896,0.0551675048568675,0.1767601812912477,0.1742205769752894,0.030509946427123,0.0003248961473836,0.0672328014085083,0.0686409519265086,0.0006518248398845
40,0.0291929137915833,0.0533425207451839,0.1096701006520805,0.1214080877666862,0.0007739862745491,0.0441501039170608,0.0767466350226603,0.1126277735998256,0.0007059667620632,0.0568132640881527,0.1023514724676258,0.0464193266940465,0.0660431266858069,0.1179052511188203,0.0006996467261032,0.0378968072002887,0.0002991318661735,0.1513081094746504,0.0802346177865146,0.0624522994573917,0.2071517729394645,0.1981580113565655,0.0618711908871652,0.0003502100210209,0.0771123388963812,0.0807399098831873,0.000606959563895
42,0.030036458408872,0.0625319996156229,0.1046628029405303,0.1348063034352356,0.0006879738614835,0.0433400406813758,0.0739654675736549,0.1287863857750885,0.0042969500526055,0.0576485235930523,0.106863718541799,0.0456657572338411,0.0766126608698741,0.1057613787502783,0.0007416958110009,0.033488766968619,0.0008075070272558,0.1413567031615164,0.1033038822081691,0.0580120358319707,0.1861306444401002,0.1725914478974087,0.0652900069214667,0.0003438679077009,0.0692777943716345,0.0299920807660255,0.0006112782559796
45,0.0308027835576919,0.0580513462263709,0.1033104525501804,0.1224979303452477,0.000582868197636,0.0427775637997637,0.0652237272843914,0.1301425044746662,0.000585326899835,0.0562983005480985,0.0775240532710722,0.0480537963976511,0.0744357649268644,0.1161390120994354,0.000700191789583,0.0380253712096779,0.0003624760528488,0.1622947949685958,0.1022156813232347,0.053135004314386,0.1732315623363644,0.176492444959913,0.0615541114616874,0.0002992381312177,0.0723140175498087,0.0560815149616675,0.0005976909035233
48,0.0012402791476471,0.0614125104446871,0.0964438574591302,0.1351596910684292,0.0004777625337885,0.0482386299443626,0.0020500826728191,0.1237685729064917,0.0005325605755951,0.0469878621984612,0.0843846826829331,0.0510533792116513,0.0686230561565336,0.1193263243298326,0.0006810620224986,0.0372521039254175,0.0003132278395264,0.1430260495263511,0.1011274804383002,0.060964732294373,0.1837151878464947,0.1955225183713087,0.0581994003701316,0.000305793488476,0.0628702881041116,0.0538092744826046,0.0011603666808664
50,0.0360054841195389,0.0560034574275322,0.1231060644328988,0.127957179837322,0.0004853742193648,0.0421290482558793,0.0017062625796951,0.1496688129807208,0.0005017260256788,0.054193100952443,0.0871761996625667,0.0443799830178882,0.0621144520592649,0.1322461173772909,0.0199151130392114,0.039315343536901,0.0002984885792308,0.1931615664399871,0.0909534825386883,0.0620662559144615,0.2118237973385801,0.1870533939743792,0.0519234014458436,0.000320885517536,0.0676812110632524,0.052190964298351,0.0004129602045429
53,0.0481933347250527,0.0535215640176346,0.0926292259422272,0.1269469188922418,0.0503560037562956,0.0422771002834154,0.0014742006791852,0.1436358293291997,0.0004520471920895,0.054212725911855,0.0954490213809528,0.0501714211239432,0.061857727796366,0.1308549966216234,0.0391491640559241,0.0409207421021913,0.0002908730161106,0.1774554633709909,0.0834694444763433,0.0576043184994051,0.2002803449979277,0.1758507673654646,0.0546927382170804,0.0003056472730656,0.0696092049117837,0.0505726541140975,0.0005668637437258
55,0.04749078705037,0.0520588692933584,0.0434870361378167,0.1155055761914044,0.1220722232377702,0.0407760946711154,0.0229276059640148,0.1276717890083116,0.0005877992008842,0.0528346258417324,0.0013139846989141,0.0516051999207109,0.0581873875963477,0.1472644567847778,0.059551820633519,0.0400414177422435,0.0002997134165614,0.1661213195308347,0.0804715441663892,0.0589595471501622,0.1887368926572754,0.1546199759602185,0.0457293901417503,0.0002904090285952,0.0666583058137492,0.0447782281511191,0.0006307297289285
58,0.0592349350127922,0.0517324163426383,0.0903054212501796,0.1067340843434667,0.120971414328687,0.0195986370387116,0.0261801783850618,0.1412005751715101,0.0005805092729364,0.051599893492175,0.083465546247411,0.0547738598810788,0.0648943795348801,0.1449828971516775,0.0738366480555254,0.0398418996033856,0.0002956720835724,0.1495191928344826,0.0799624134258265,0.0595157064263216,0.1693661965984603,0.1650251427647396,0.044152524945797,0.0002594102516584,0.0754796408283549,0.0230301343307158,0.0005076306024899
61,0.0492550988321201,0.0521400709596583,0.0964162317459321,0.1263149014672693,0.1028049910755553,0.0424963896890359,0.0294327508061089,0.1265911454895779,0.000490394629684,0.0516670071271594,0.0840134135480905,0.0484446353828114,0.0666534350095422,0.1551548669669476,0.092911147162885,0.0181495733484417,,0.161592180110542,0.0870296268785325,0.0635238480174034,0.207045259998812,0.1887533099125996,0.051196929458679,0.0003183704780531,0.06501793665872,0.0006008293095491,0.0005041655759868
63,0.0542765444342745,0.0546846647880904,0.0927243797361868,0.1094886963184523,0.1034081110145821,0.0417591384322397,0.0006016469858854,0.1063057142284603,0.000784917539851,0.0494100765971939,0.0883394915331454,0.0009336753796195,0.0762334019711614,0.1312500282733407,0.1405094192552666,0.0375081135312043,,0.002890663044324,0.0978546150131817,0.0224901414239129,0.1633420386157454,0.0934901583487509,0.0411550440484028,0.0002984626269203,0.0644409929269909,0.0479258909525121,0.0005007005494837
66,0.0451514411114191,0.0560187971588344,0.0892208476295637,0.122967837042544,0.0020149092381877,0.0405313294493754,0.0006101234648474,0.1270787516190399,0.0009121723797365,0.0506913189555268,0.0886445715301557,0.0489375894532209,0.0662028818878195,0.1380923099432007,0.1395786829160157,0.0396122413066898,,0.1546436584392055,0.0894007256065942,0.0557345356714708,0.1890724178141333,0.1729883395335859,0.0449050923760418,,0.0633927279563395,0.0008346222908243,0.0005439809523856
69,0.0473968733963267,0.0589924588752294,0.0957702495370089,0.1076772681011339,0.0913013702720505,0.0435377602844676,0.0005462139178375,0.128805677684669,0.0004840779544302,0.0449530477034809,0.0862548414115446,0.0441148079841996,0.0604547850631026,0.1416485604867753,0.2282510784749153,0.0392461690973765,,0.1583461934147585,0.0828113730901648,0.0587178650415531,0.151909576235709,0.16908194229801,0.0486551407036808,,0.0675924430246256,0.0447788981145547,0.0005313751272875
